scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI439239;KI439348	-;-	KI439032	-	-44674.319	0	1.0	6
KI439239;KI439348	-;-	KI439550	-	10611.822539	0.250680113101	0.666666666667	9
KI439239;KI439348	-;-	KI439482	-	-76684.2820318	0.197919432707	0.4	5
KI439491	-	KI439032	-	-33548.3425383	0.481435581987	0.25	8
KI439491	-	KI440298;KI439262;KI439514;KI439331;KI439539;AXCQ01011117;KI439700;KI439038;KI440164;AXCQ01008439;AXCQ01009392;AXCQ01005973;KI439244	+;+;+;+;+;+;+;+;+;+;+;+;+	-62480.8734218	0.000340012832102	0.444444444444	9
KI439491	-	KI439208	-	-5007.86988449	0.407856330532	0.813953488372	43
KI439491	-	KI439555	-	-59176.6688629	0.755104001841	0.5	6
KI439491	-	KI440075;KI439379;KI440417	-;-;-	-32186.4651891	0.717563671761	0.5	6
KI439491	-	KI439965;AXCQ01010978;KI440065;KI440587;KI439164	-;-;-;-;-	-55617.5800149	0.711309933953	0.4	5
KI439491	-	KI439439;AXCQ01006958	+;+	-52202.580194	0.516680435747	0.5	6
KI439312;KI439397;KI440114;KI439882	+;+;+;+	KI439032	-	-64222.6943876	0.12454308779	0.25	8
KI439312;KI439397;KI440114;KI439882	+;+;+;+	KI439156	+	11036.2954543	0.000689998198796	0.454545454545	11
KI439312;KI439397;KI440114;KI439882	+;+;+;+	KI439149	-	-28810.1407641	0.000445569942556	0.4375	16
KI439312;KI439397;KI440114;KI439882	+;+;+;+	KI440059;KI439359	-;-	-72108.6358168	0.000731851357284	0.428571428571	7
KI439312;KI439397;KI440114;KI439882	+;+;+;+	AXCQ01009899;KI439008	-;-	-80019.0050886	0.000454925889174	0.5	8
KI439312;KI439397;KI440114;KI439882	+;+;+;+	KI439895;KI439520;KI439337;KI439453;KI439169;KI439748;AXCQ01010344;KI439327;KI440731;KI439474	-;-;-;-;-;-;-;-;-;-	-2139.4943506	0.451769091384	0.822222222222	45
KI439312;KI439397;KI440114;KI439882	+;+;+;+	KI439392;KI439915	-;-	-78716.3365996	0.000760259201763	0.466666666667	15
KI439477;KI439216;AXCQ01007602	-;-;-	KI439086	-	-54009.17152	0.000862886831303	0.375	8
KI439477;KI439216;AXCQ01007602	-;-;-	KI439203;KI439285;AXCQ01008119;KI439464	-;-;-;-	10644.3697405	0.764608375377	0.333333333333	18
KI439477;KI439216;AXCQ01007602	-;-;-	KI439134;KI439098;KI439333;KI439198	+;+;+;+	-16385.2869921	0.00106364252371	0.428571428571	7
KI439477;KI439216;AXCQ01007602	-;-;-	KI438983;KI439735;KI440352;KI439368	+;+;+;+	-50884.0235656	0.00138698892106	0.4375	16
KI439477;KI439216;AXCQ01007602	-;-;-	KI439508	+	-63210.2456238	0.0367411811687	0.454545454545	22
KI439477;KI439216;AXCQ01007602	-;-;-	KI439004	-	-70711.3454278	0.00105895917397	0.466666666667	15
KI439477;KI439216;AXCQ01007602	-;-;-	KI439222;AXCQ01007326;KI439229	+;+;+	-8672.07142678	0.663555509406	0.30303030303	66
KI439477;KI439216;AXCQ01007602	-;-;-	KI439014	-	-26985.469988	0.629873246963	0.269230769231	26
KI439477;KI439216;AXCQ01007602	-;-;-	KI439458	+	-62090.5746031	0.656652668013	0.323529411765	34
KI439477;KI439216;AXCQ01007602	-;-;-	KI439386;KI439323;KI439435	-;-;-	2480.27481037	0.681264120707	0.272727272727	22
KI439477;KI439216;AXCQ01007602	-;-;-	AXCQ01010295;KI439163	-;-	-3972.96360409	0.615570475529	0.56	50
KI439477;KI439216;AXCQ01007602	-;-;-	KI439136	-	-78167.5823244	0.0388741488047	0.4	30
KI439477;KI439216;AXCQ01007602	-;-;-	KI440298;KI439262;KI439514;KI439331;KI439539;AXCQ01011117;KI439700;KI439038;KI440164;AXCQ01008439;AXCQ01009392;AXCQ01005973;KI439244	+;+;+;+;+;+;+;+;+;+;+;+;+	41713.2519504	0.894479462859	0.324324324324	37
KI439477;KI439216;AXCQ01007602	-;-;-	KI439181	+	-58775.7116153	0.000459235078802	0.4	5
KI439477;KI439216;AXCQ01007602	-;-;-	KI439171	+	4782.60686535	0.702740020026	0.291666666667	24
KI439477;KI439216;AXCQ01007602	-;-;-	KI439151	-	-60577.2097039	0.000393927404219	0.5	8
KI439477;KI439216;AXCQ01007602	-;-;-	KI439426;KI439167	+;+	-17032.4982172	0.000820350951606	0.5	12
KI439477;KI439216;AXCQ01007602	-;-;-	KI439299	-	-57426.9166827	0.00347333515002	0.285714285714	7
KI439477;KI439216;AXCQ01007602	-;-;-	KI439056;AXCQ01011609;AXCQ01006350;KI439314;KI439084;KI440348;AXCQ01011490;AXCQ01011145;KI439440;KI439936;KI439992;KI439759;KI439643;KI439217	+;+;+;+;+;+;+;+;+;+;+;+;+;+	-80268.0392456	0.000348819528359	0.6	5
KI439477;KI439216;AXCQ01007602	-;-;-	KI439318;KI439486;KI439048;KI439306;KI440264	-;-;-;-;-	-62492.4406857	0.000739762843233	0.428571428571	14
KI439477;KI439216;AXCQ01007602	-;-;-	KI439251;KI439313;KI439300;KI439654	+;+;+;+	-55190.9005897	0.751318547719	0.4	5
KI439477;KI439216;AXCQ01007602	-;-;-	KI439061	+	-69895.9359398	0.000796668100134	0.5	12
KI439477;KI439216;AXCQ01007602	-;-;-	KI439751;KI439064	-;-	-42858.2029257	0.752595361937	0.285714285714	7
KI439477;KI439216;AXCQ01007602	-;-;-	KI439627;AXCQ01007467;KI439041	+;+;+	-33178.7423387	0.0264868751168	0.0833333333333	12
KI439882;KI440114;KI439397;KI439312	-;-;-;-	KI439524;AXCQ01009800;KI439040	-;-;-	-49588.9083674	0.891491896215	0.6	5
KI439882;KI440114;KI439397;KI439312	-;-;-;-	KI439221;KI439558;AXCQ01011496;KI439507	-;-;-;-	-37993.0066436	0.622212365507	0.25	8
KI439882;KI440114;KI439397;KI439312	-;-;-;-	KI440764;KI439071;AXCQ01011484;KI439226	-;-;-;-	-46207.4050281	0.293803345615	0.285714285714	7
KI439882;KI440114;KI439397;KI439312	-;-;-;-	KI438979;KI439173;KI439246;KI439254	+;+;+;+	-60153.1961861	0.60414457017	0.0769230769231	13
KI439882;KI440114;KI439397;KI439312	-;-;-;-	AXCQ01007472;AXCQ01011661;KI439006;KI439278;AXCQ01006478;KI439547;KI439276	+;+;+;+;+;+;+	14522.9158034	0.000826643156893	0.5	22
