scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
64849__len__33157	-	76443__len__17005	+	119.731573741	0.00261942333437	0.5	6
46721__len__8458	-	144446__len__17610	-	-2241.63007882	0.921057720299	0.285714285714	7
46721__len__8458	-	61287__len__14771	-	-4271.63007882	0.00262115846764	0.5	6
46721__len__8458	-	49643__len__7893	-	-4270.63007882	0.00262115846764	0.5	6
28035__len__40790	+	38083__len__14213	+	-2019.05073102	0.00557305072164	0.5	10
103687__len__23522;3173__len__57205	+;+	42853__len__12614	+	-893.84695598	0.00436360190698	0.4	5
31489__len__47557	-	79297__len__9655;2772__len__33266	+;+	-5100.63007882	0.00484380297021	0.428571428571	7
31489__len__47557	-	17450__len__22876	-	-3334.63007882	0.00630010040821	0.5	14
31489__len__47557	-	38083__len__14213	+	-3076.63007882	0.758994441942	0.454545454545	11
31489__len__47557	-	24545__len__11485;6821__len__38666	-;-	-4690.63007882	0.00302665309376	0.571428571429	7
31489__len__47557	-	95424__len__9916	-	-1120	0.42053118126	0.458333333333	24
31489__len__47557	-	50113__len__14594	-	-3423.63007882	0.00663068515651	0.461538461538	13
2147__len__25149	+	2966__len__44840	+	-4974.63007882	0.00332292484687	0.6	5
47305__len__12695;147050__len__7978	+;+	46628__len__9347	-	-4964.63007882	0.00406327013208	0.5	8
64583__len__10975	+	94715__len__12113	+	-2972.63007882	0.00221528323125	0.6	5
35626__len__34291	+	92050__len__16461	+	-3252.63007882	0.00221528323125	0.6	5
96412__len__16568;151074__len__7311	+;+	43301__len__33558	-	-4311.63007882	0.00221528323125	0.6	5
133255__len__15205;99195__len__10972	+;+	24560__len__8941	+	-3113.63007882	0.0635912525307	0.733333333333	30
133255__len__15205;99195__len__10972	+;+	6050__len__25085	-	-857.266517583	0.44817589925	0.4	5
2966__len__44840	-	57918__len__16956	-	-3764.63007882	0.0141004623519	0.428571428571	7
2966__len__44840	-	4740__len__8653	+	-4452.63007882	0.0075774344997	0.5	12
