scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
7312__len__10551	-	9281__len__13640	-	-411	0.793300578061	0.805019305019	518
2332__len__9960	-	11184__len__31715	-	-1403.00554766	0.00424901729271	0.5	6
2332__len__9960	-	8878__len__16663	-	-3489.32293956	0.00436441179979	0.4	5
2332__len__9960	-	19918__len__30267	+	-3963.32293956	0.0021096180703	0.6	5
3886__len__10953	-	8537__len__24405	+	-4122.32293956	0.0021096180703	0.6	5
3886__len__10953	-	14536__len__21779	-	-747.456007851	0.0021096180703	0.6	5
3886__len__10953	-	2413__len__13920	-	-5105.32293956	0.00923647331042	0.538461538462	13
6691__len__19417	+	1695__len__12038	-	-3803.32293956	0.892436201629	0.4	10
6691__len__19417	+	177__len__46086	+	-1438	0.9744608524	0.421052631579	19
33325__len__21057	-	47989__len__8591	-	392.317751436	0.232453546011	0.266666666667	15
6036__len__14534	-	4870__len__21368	+	-4292.32293956	0.175479141943	0.111111111111	9
6036__len__14534	-	9161__len__11070	-	-4979.32293956	0.0111450944955	0.333333333333	6
6036__len__14534	-	3353__len__19426	+	-4900.32293956	0.309382623541	0.285714285714	7
6036__len__14534	-	8239__len__26616	+	-3326.32293956	0.0021096180703	0.6	5
6036__len__14534	-	19084__len__23908	+	-3176.32293956	0.0021096180703	0.6	5
6036__len__14534	-	33684__len__19372	-	-5257.32293956	0.0103198928029	0.2	5
5099__len__30459	+	6224__len__18329	-	-3640.32293956	0.732266099687	0.285714285714	7
18919__len__13026	+	3619__len__15717	+	-3835.32293956	0.0172759436615	0.285714285714	7
18919__len__13026	+	14212__len__13920	+	-450.416131389	0.47868786261	0.545454545455	11
28277__len__42949	-	6150__len__23969	-	582	0.730890519033	0.44	25
10729__len__12248	-	5686__len__49130	-	-3130.32293956	0.00591822133143	0.333333333333	6
19592__len__33039	+	4164__len__10612	-	-1949.32293956	0.787776393119	0.493333333333	75
19592__len__33039	+	2433__len__18015	+	-3395.32293956	0.0168458366983	0.125	8
14880__len__20477	-	3263__len__21385	-	-201	0.85124334754	0.758503401361	294
5358__len__12706	+	21783__len__11987	-	-4922.32293956	0.00281458156069	0.4	5
5358__len__12706	+	9142__len__22094	-	-390.653888589	0.0679419031393	0.125	8
23035__len__13483	-	4361__len__28625	-	-241	0.927987865959	0.703363914373	327
23035__len__13483	-	22956__len__8715	-	-302.873915836	0.00342029628222	0.428571428571	7
23035__len__13483	-	3277__len__10855	-	-2680.32293956	0.00288228700033	0.5	6
23035__len__13483	-	11480__len__20769	+	-3125.32293956	0.00288228700017	0.571428571429	7
23035__len__13483	-	6848__len__8564	+	-2703.32293956	0.00276673816138	0.4	5
23035__len__13483	-	11298__len__21925	-	-315.509361488	0.00288228700017	0.571428571429	7
23035__len__13483	-	14102__len__17021	+	-2702.32293956	0.0032159115867	0.428571428571	7
23035__len__13483	-	30527__len__12714	+	-2697.32293956	0.0021096180703	0.6	5
23035__len__13483	-	3303__len__26144	-	-2682.32293956	0.00376255121943	0.428571428571	7
