scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
scaffold_18787	-	scaffold_21648	-	-0.00803402428951	0.926363556993	0.625	8
scaffold_15002	+	scaffold_00234	-	-18.0703361394	0.802972346528	0.785714285714	28
scaffold_15002	+	scaffold_03144	+	-43.436926683	0.761610712854	0.809523809524	21
scaffold_14083	-	scaffold_22274	+	-135.688940663	0.737703388973	0.454545454545	11
scaffold_14083	-	scaffold_10022	+	-146.688940663	0.840853051765	0.5	8
scaffold_14083	-	scaffold_06047	+	84.9040890301	0.989754640037	0.8	5
scaffold_14083	-	scaffold_17011	+	79.4135294918	0.805891903056	0.714285714286	7
scaffold_01525	+	scaffold_13281	+	-141.688940663	0.575526496665	0.666666666667	6
scaffold_01529	+	scaffold_06891	-	51.1023608712	0.803892155813	0.428571428571	7
scaffold_11394	-	scaffold_20409	-	-124.317305369	0.0936532200797	0.4	5
scaffold_11394	-	scaffold_22226	-	-148.688940663	0.0726387988863	0.625	8
scaffold_10293	+	scaffold_01714	-	-113.688940663	0.739186573201	0.714285714286	7
scaffold_07267	+	scaffold_04224	+	-102.389864604	0.683184917681	0.75	8
scaffold_19943	-	scaffold_14727	+	76.6242062867	0.489016501155	0.285714285714	7
scaffold_04913	-	scaffold_07522	-	-124.688940663	0.786038941025	0.666666666667	6
scaffold_17906	-	scaffold_02081	+	-188.688940663	0.508388418418	0.5	10
scaffold_17906	-	scaffold_11048	-	-243.688940663	0.290842829836	0.5	6
scaffold_14574	+	scaffold_13871	+	-223.688940663	0.0749825861463	0.75	8
scaffold_14574	+	scaffold_12059	-	-218.688940663	0.0797889305388	0.6	5
scaffold_14574	+	scaffold_12453	+	-200.688940663	0.0356988514901	0.666666666667	6
scaffold_14574	+	scaffold_15713	-	-132.688940663	0.763397299227	0.5	10
scaffold_14574	+	scaffold_19620	+	-212.688940663	0.0603947959849	0.772727272727	22
scaffold_14574	+	scaffold_20433	+	-170.688940663	0.00588211799924	0.6	5
scaffold_14574	+	scaffold_20667	-	-184.688940663	0.719345798349	0.642857142857	14
scaffold_14574	+	scaffold_18728	+	-222.688940663	0.0347546644513	0.75	8
scaffold_14574	+	scaffold_15936	-	-256.688940663	0.0791743725015	0.777777777778	18
scaffold_14574	+	scaffold_20633	+	-18	0.0938377586233	0.6	10
scaffold_17147	-	scaffold_22768	-	-72.6245733892	0.716638713443	0.7	10
scaffold_16857	-	scaffold_02082	-	-179.688940663	0.875655558038	0.8	5
scaffold_17735	+	scaffold_18802	+	-119.688940663	0.649008494686	0.6	5
scaffold_17735	+	scaffold_15650	-	-121.688940663	0.811818711359	0.6	10
scaffold_09674	+	scaffold_02025	+	-119.688940663	0.624650283179	0.666666666667	6
scaffold_08763	-	scaffold_18045	-	-75.2043403088	0.974622755687	0.4	5
scaffold_00353	-	scaffold_04963	+	54.0007713868	0.586416236369	0.5	6
scaffold_00369	-	scaffold_00821	-	-79.6847538313	0.673108389077	0.625	8
scaffold_00211	+	scaffold_20997	-	-196.688940663	0.0748795172506	0.625	8
scaffold_00211	+	scaffold_06918	-	-109.688940663	0.996860415892	0.8	10
scaffold_00211	+	scaffold_08545	-	-199.688940663	0.0268480726167	0.5	6
scaffold_00211	+	scaffold_10135	+	-135.688940663	0.373564665119	0.333333333333	6
scaffold_20947	-	scaffold_20583	-	-105.364844338	0.9105887964	0.5	6
scaffold_13991	+	scaffold_00982	+	31.1161133142	0.455957349387	0.6	5
scaffold_19088	-	scaffold_19765	-	102	0.431804506127	0.6	5
scaffold_12947	+	scaffold_11646	-	77.6108994279	0.713059601969	0.428571428571	7
scaffold_17319	+	scaffold_13008	+	-91.9265412678	0.713084000021	0.8	5
scaffold_11826	-	scaffold_01222	+	-53.9748331188	0.835743888746	0.666666666667	6
scaffold_23455	+	scaffold_23230	-	17.6036844509	0.98514716567	0.666666666667	6
scaffold_12892	+	scaffold_10176	+	-257.688940663	0.0705854159888	0.2	5
scaffold_12892	+	scaffold_17894	-	-258.688940663	0.0648368446706	0.4	5
scaffold_12892	+	scaffold_08333	+	-266.688940663	0.0352927079946	0.4	5
scaffold_12892	+	scaffold_23231	-	-19	0.0271683392812	0.5	6
scaffold_12892	+	scaffold_19537	+	-22	0.146463557024	0.571428571429	7
scaffold_12892	+	scaffold_18636	+	-284.688940663	0.0307792481801	0.571428571429	7
scaffold_10714	-	scaffold_06566	+	-73.4538153242	0.340248877251	0.6	5
scaffold_10336	+	scaffold_15901	+	64.7818459282	0.960984503604	0.583333333333	12
scaffold_22197	+	scaffold_04964	+	-135.688940663	0.907929346265	0.666666666667	6
scaffold_02921	+	scaffold_02296	+	-75.8722328513	0.716698161982	0.714285714286	14
scaffold_02921	+	scaffold_04797	-	-74.3307309902	0.565876871761	0.8	5
scaffold_02921	+	scaffold_17150	-	-177.688940663	0.26479332711	0.8	5
scaffold_21935	-	scaffold_17306	-	-259.688940663	0.0635795011784	0.666666666667	6
scaffold_21935	-	scaffold_01180	+	-272.688940663	0.0398944652694	0.818181818182	11
scaffold_20508	-	scaffold_14227	+	-146.688940663	0.260735905804	0.307692307692	13
scaffold_20594	-	scaffold_12592	-	-8.13711057639	0.685798792086	0.666666666667	6
scaffold_20386	-	scaffold_10932	-	-102.688940663	0.824598679435	0.8	5
scaffold_16113	+	scaffold_20098	-	-285.688940663	0.0301880964681	0.625	8
scaffold_16113	+	scaffold_00230	+	-267.688940663	0.0255268560329	0.5	6
scaffold_05910	-	scaffold_20916	-	-125.688940663	0.428500622	0.833333333333	6
scaffold_03501	-	scaffold_20844	-	-15	0.931089235153	0.644736842105	76
scaffold_01134	+	scaffold_19537	+	-260.688940663	0.0851045788689	0.666666666667	6
scaffold_21888	-	scaffold_11957	+	-274.688940663	0.0699700126479	0.6	5
scaffold_19492	-	scaffold_22164	+	-23	0.529390619916	0.2	5
scaffold_19492	-	scaffold_06918	-	-138.688940663	0.529390619916	0.2	5
scaffold_19492	-	scaffold_20997	-	-126.688940663	0.529390619916	0.2	5
scaffold_19492	-	scaffold_04419	-	-100.02973912	0.529390619916	0.2	5
scaffold_03103	+	scaffold_00088	+	-166.688940663	0.161998698358	0.6	5
scaffold_02737	-	scaffold_07364	+	-14.780782134	0.673144304203	0.808823529412	68
scaffold_00443	-	scaffold_07228	-	-147.688940663	0.437279199854	0.6	5
scaffold_02761	+	scaffold_06665	-	-4.93533574389	0.879631183375	0.6	5
scaffold_18712	+	scaffold_15217	-	-127.410348251	0.583785061666	0.2	5
scaffold_00832	+	scaffold_07774	-	48.4797112152	0.268081376653	0.5625	64
scaffold_13542	+	scaffold_22209	+	-14.6903491963	0.821719463297	0.5	6
scaffold_18960	+	scaffold_14051	-	-180.688940663	0.103314509145	0.6	5
scaffold_13230	-	scaffold_03419	-	-214.688940663	0.0635795011786	0.666666666667	6
scaffold_05228	-	scaffold_19608	-	-1.60540737736	0.952482439452	0.666666666667	6
scaffold_02866	-	scaffold_17769	+	-105.041973716	0.498819559924	0.833333333333	6
scaffold_21173	-	scaffold_15575	-	-225.688940663	0.662202146065	0.4	5
scaffold_10569	-	scaffold_03486	-	-109.688940663	0.572336428884	0.833333333333	6
scaffold_00934	+	scaffold_06128	+	15.1967875028	0.822014865576	0.491620111732	179
scaffold_00934	+	scaffold_19576	-	-142.688940663	0.603870392102	0.5	6
scaffold_00934	+	scaffold_00005	-	9.37998352202	0.848855309348	0.506849315068	73
scaffold_04333	+	scaffold_15838	+	-31.4272073254	0.531315149297	0.8	5
scaffold_00214	+	scaffold_20409	-	-230.688940663	0.0843217566696	0.5	6
scaffold_00214	+	scaffold_16504	+	-24	0.0765507731091	0.571428571429	14
scaffold_00214	+	scaffold_03590	-	-162.688940663	0.0488605417356	0.6	5
scaffold_00214	+	scaffold_22226	-	-236.688940663	0.0928907100557	0.7	10
scaffold_22416	-	scaffold_18285	-	-172.688940663	0.0738199950177	0.6	5
