#species	assemblySIZE(bp)	assemblySIZE(#gene)	#newADJ(#scaffADJ)	#scaffolds(initial)	#scaffolds(final)	minSIZE(initial)	minSIZE(final)	maxSIZE(initial)	maxSIZE(final)	N50_bp(initial)	N50_bp(final)	N50_bp(fold_improvment)	L50_bp(initial)	L50_bp(final)	L50_bp(fold_improvment)	N50_#gene(initial)	N50_#gene(final)	N50_#gene(fold_improvment)	L50_#gene(initial)	L50_#gene(final)	L50_#gene(fold_improvment)	N90_bp(initial)	N90_bp(final)	N90_bp(fold_improvment)	L90_bp(initial)	L90_bp(final)	L90_bp(fold_improvment)	N90_#gene(initial)	N90_#gene(final)	N90_#gene(fold_improvment)	L90_#gene(initial)	L90_#gene(final)	L90_#gene(fold_improvment)
Acanthisitta_chloris	1035876403	5767	3925(0)	53875	49950	200	200	568132	2066165	64469	85443	1.33	4486	2674	1.68	1	9	9.0	2090	178	11.74	13909	14978	1.08	17413	13836	1.26	1	2	2.0	4397	639	6.88
Anas_platyrhynchos	1105052351	6209	700(0)	78488	77788	100	100	5998093	20315277	1233631	3425089	2.78	268	87	3.08	9	26	2.89	204	67	3.04	195458	291868	1.49	1097	499	2.2	2	6	3.0	731	270	2.71
Aptenodytes_forsteri	1254347440	6878	294(0)	10672	10379	200	200	28260285	65653460	5071598	20069083	3.96	71	17	4.18	31	108	3.48	60	22	2.73	1143832	4723315	4.13	270	64	4.22	7	27	3.86	241	65	3.71
Calypte_anna	1105676412	6484	269(0)	54736	54468	200	200	23311805	78412866	4052191	13202672	3.26	81	21	3.86	31	94	3.03	67	22	3.05	480475	972297	2.02	352	121	2.91	7	20	2.86	232	79	2.94
Chaetura_pelagica	1119188094	6430	353(0)	19072	18719	200	200	19535321	56729909	3841852	14823361	3.86	78	21	3.71	23	83	3.61	70	22	3.18	554877	1156568	2.08	366	123	2.98	5	14	2.8	288	92	3.13
Charadrius_vociferus	1219859583	6695	414(221)	15167	14754	200	200	21921334	77934418	3657050	16880805	4.62	98	22	4.45	23	95	4.13	83	22	3.77	643534	1484369	2.31	393	98	4.01	5	18	3.6	321	74	4.34
Columba_livia	1107989085	6763	379(187)	14923	14545	200	200	25666195	49974591	3148738	11860022	3.77	82	26	3.15	28	84	3.0	59	24	2.46	636870	1394509	2.19	389	123	3.16	5	15	3.0	308	96	3.21
Corvus_brachyrhynchos	1091312783	6631	195(122)	10547	10352	200	200	25919742	96498736	6953989	28509155	4.1	49	11	4.45	47	192	4.09	38	13	2.92	1168119	3297664	2.82	195	50	3.9	11	36	3.27	151	40	3.77
Corvus_cornix	1042281180	6431	43(27)	113	70	16946	16946	59109413	123292531	21080102	38542577	1.83	14	7	2.0	131	240	1.83	15	9	1.67	5308065	8408611	1.58	52	29	1.79	31	55	1.77	51	30	1.7
Cuculus_canorus	1153894225	6702	404(255)	14930	14527	200	200	14000334	43380923	2989832	13087945	4.38	119	28	4.25	21	84	4.0	96	28	3.43	810175	2555452	3.15	398	95	4.19	6	24	4.0	320	82	3.9
Egretta_garzetta	1206501934	6580	480(188)	11791	11311	200	200	14638873	37559075	3067157	15709971	5.12	113	26	4.35	20	90	4.5	93	25	3.72	665857	1692890	2.54	432	96	4.5	4	17	4.25	367	81	4.53
Falco_peregrinus	1171973431	6856	370(252)	7021	6651	200	200	18327016	69781782	3935757	23684933	6.02	90	18	5.0	27	150	5.56	75	15	5.0	938520	4132136	4.4	322	54	5.96	7	39	5.57	273	48	5.69
Ficedula_albicollis	1118343587	6673	18(0)	21428	21410	200	200	157563209	157563209	64724594	64724594	1.0	6	6	1.0	256	256	1.0	8	8	1.0	7944683	8009359	1.01	25	24	1.04	98	98	1.0	23	23	1.0
Gallus_gallus	1065365425	5150	0(0)	464	464	87	87	197608386	197608386	91315245	91315245	1.0	4	4	1.0	195	195	1.0	6	6	1.0	10762512	10762512	1.0	19	19	1.0	107	107	1.0	20	20	1.0
Geospiza_fortis	1065292181	6482	254(121)	27239	26985	131	131	30495534	97544256	5255844	22112085	4.21	54	15	3.6	49	144	2.94	39	16	2.44	655882	1396826	2.13	272	78	3.49	7	24	3.43	179	52	3.44
Haliaeetus_leucocephalus	1178409481	6939	159(82)	1023	864	204	204	30461450	82816624	9145499	24674467	2.7	40	14	2.86	62	154	2.48	33	16	2.06	2388667	7626163	3.19	133	43	3.09	14	67	4.79	122	40	3.05
Manacus_vitellinus	1213420527	6527	66(35)	15315	15249	400	400	64048162	109468893	16644750	52544013	3.16	19	8	2.38	127	236	1.86	18	10	1.8	258968	279864	1.08	146	87	1.68	23	49	2.13	64	30	2.13
Melopsittacus_undulatus	1117373619	6522	185(54)	25212	25027	228	228	39887635	84986938	10614383	16601107	1.56	28	18	1.56	70	101	1.44	31	20	1.55	907416	1359572	1.5	164	90	1.82	9	15	1.67	142	81	1.75
Nipponia_nippon	1223863029	6859	295(145)	59555	59260	200	200	27015053	74001063	5211696	25774424	4.95	66	16	4.13	40	145	3.63	54	17	3.18	658228	1248877	1.9	299	80	3.74	8	32	4.0	198	53	3.74
Opisthocomus_hoazin	1203712246	6077	487(220)	10256	9770	200	200	13337801	48166883	2937227	10129424	3.45	122	32	3.81	16	53	3.31	110	34	3.24	478150	899911	1.88	508	170	2.99	3	9	3.0	428	131	3.27
Picoides_pubescens	1167323935	6135	485(250)	31254	30769	200	200	8694517	33381450	2093929	7834173	3.74	168	42	4.0	16	63	3.94	96	30	3.2	310327	448051	1.44	690	266	2.59	4	13	3.25	390	113	3.45
Pygoscelis_adeliae	1216617519	6518	318(157)	19265	18947	200	200	22859560	61755068	5118896	19037153	3.72	72	20	3.6	28	88	3.14	66	23	2.87	970345	2610727	2.69	278	79	3.52	6	15	2.5	268	80	3.35
Struthio_camelus_australis	1225041896	6256	187(156)	6915	6728	200	200	19375980	33620377	3593425	5969501	1.66	101	60	1.68	21	36	1.71	87	52	1.67	574516	789724	1.37	409	274	1.49	5	7	1.4	332	218	1.52
Taeniopygia_guttata	1232135591	5735	11(0)	37096	37085	783	783	156412533	156412533	62374962	63198271	1.01	7	7	1.0	221	221	1.0	7	7	1.0	8529	8531	1.0	4628	4618	1.0	110	110	1.0	22	22	1.0
Tinamus_guttatus	1047056493	5414	1283(383)	82514	81232	200	200	1986275	5968430	246268	412090	1.67	1147	556	2.06	3	8	2.67	535	193	2.77	32748	33967	1.04	5271	4003	1.32	1	2	2.0	1853	683	2.71
Zonotrichia_albicollis	1052600561	6199	274(77)	6018	5744	755	755	45240865	93107848	4866725	23978231	4.93	52	12	4.33	32	138	4.31	44	13	3.38	543549	966413	1.78	284	90	3.16	6	17	2.83	207	63	3.29
Zosterops_borbonicus	1222501712	5618	465(212)	97537	97072	100	100	11984413	29017061	1762991	4562749	2.59	174	64	2.72	16	41	2.56	102	43	2.37	115799	127022	1.1	1084	640	1.69	3	9	3.0	423	163	2.6
All species	30963010723	171530	12313(3144)	732426	720120	87	87	197608386	197608386	4292465	15732494	3.67	1516	475	3.19	31	102	3.29	1190	464	2.56	239947	392416	1.64	12167	5038	2.42	4	11	2.75	7472	2417	3.09
