scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_004829500.1	+	NW_004829037.1	-	-18.0434951782	0.37964353826	0.777777777778	9
NW_004846095.1	-	NW_004830734.1	+	67.8036499023	0.645258908672	0.821428571429	56
NW_004846238.1	+	NW_004846239.1	+	-84.1243591309	0.246241215365	0.8	5
NW_004828640.1	-	NW_004830046.1	+	-81.0101318359	0.43549973182	0.666666666667	15
NW_004831789.1	-	NW_004831755.1	-	-15.8455657959	0.569703536395	0.428571428571	14
NW_004840157.1	+	NW_004826054.1	+	-138.682888031	0.0951079871297	0.6	5
NW_004824616.1	-	NW_004841994.1	+	-72.0547161102	0.302227310178	0.6	5
NW_004844819.1	-	NW_004844818.1	-	-51.4517364502	0.651555898537	0.666666666667	6
NW_004830236.1	-	NW_004847833.1	+	42.4106407166	0.201567068014	0.8	5
NW_004843989.1	-	NW_004824055.1	-	-85.0150146484	0.302183729414	0.4	5
NW_004843989.1	-	NW_004836076.1	-	-138.23387146	0.713829392012	0.2	5
NW_004843989.1	-	NW_004847643.1	+	76.8561525345	0.620810669199	0.428571428571	7
NW_004843989.1	-	NW_004829780.1	-	-219.615020752	0.905675147102	0.6	5
NW_004843989.1	-	NW_004829554.1	-	-199.544296265	0.528208855065	0.333333333333	6
NW_004830427.1	+	NW_004831607.1	+	119.828071594	0.983843931486	0.666666666667	6
NW_004846333.1	-	NW_004830740.1	+	0.348510742188	0.383039157624	0.769230769231	13
NW_004846333.1	-	NW_004843175.1	+	-130.786636353	0.373617721724	0.6	5
NW_004839865.1	-	NW_004839864.1	-	-11.9829559326	0.472025200294	0.789473684211	19
NW_004840602.1	-	NW_004847954.1	+	-37.213871479	0.477562423353	0.714285714286	7
NW_004846797.1	+	NW_004843523.1	+	50.1890716553	0.608825043931	0.6	5
NW_004829139.1	+	NW_004833349.1	+	-5.83198547363	0.40369400485	0.666666666667	6
NW_004836228.1	-	NW_004844694.1	+	-78.9914093018	0.620954758671	0.545454545455	11
NW_004839292.1	+	NW_004843147.1	-	54.5972595215	0.485129360967	0.8	5
NW_004839292.1	+	NW_004830194.1	+	-210.466308594	0.250023762945	0.6	5
NW_004834538.1	+	NW_004847010.1	+	-86.089630127	0.240698343879	0.666666666667	6
NW_004830590.1	-	NW_004843088.1	-	-1.32594299316	0.30509321933	0.833333333333	12
NW_004844946.1	-	NW_004829430.1	-	-76.0128326416	0.339788930289	0.7	10
NW_004844946.1	-	NW_004844945.1	-	-90.3413848877	0.33259473805	0.75	8
NW_004832596.1	-	NW_004847560.1	+	-257.896677732	0.450982378863	0.4	5
NW_004846529.1	+	NW_004833253.1	-	-40.3389985561	0.215480863887	0.833333333333	6
NW_004827840.1	-	NW_004841059.1	+	-79.6545715332	0.23497853053	0.666666666667	9
NW_004827840.1	-	NW_004841059.1	-	-173.596588135	0.229898366913	0.714285714286	7
NW_004846423.1	+	NW_004831792.1	+	-61.9374237061	0.398240621548	0.75	8
NW_004843609.1	+	NW_004831925.1	-	8.98176574707	0.292527924525	0.777777777778	9
NW_004845027.1	-	NW_004829642.1	+	-20.5229110718	0.424170478446	0.4	5
NW_004827312.1	-	NW_004846442.1	-	31.3984832764	0.870418529271	0.6	5
NW_004830630.1	-	NW_004844962.1	-	-44.8684463501	0.62052225574	0.5	14
NW_004829646.1	-	NW_004829656.1	-	55.4539260864	0.716750998093	0.666666666667	6
NW_004844077.1	-	NW_004848260.1	-	-183.298301362	0.318876850867	0.7	10
NW_004846123.1	-	NW_004829904.1	-	-261.757354736	0.165394435154	0.714285714286	7
NW_004847727.1	+	NW_004837083.1	-	-12.1475524902	0.305753553789	0.75	8
NW_004847392.1	-	NW_004831663.1	+	39.3847808838	0.409837561036	0.625	8
NW_004842840.1	-	NW_004831245.1	-	-74.7036170959	0.355442561999	0.818181818182	11
NW_004830799.1	-	NW_004843686.1	-	-26.8801422119	0.32452059332	0.6	5
NW_004847718.1	-	NW_004841859.1	+	-92.069817543	0.173801088313	0.714285714286	7
NW_004847712.1	+	NW_004826584.1	-	-16.2700471878	0.200580743799	0.8	10
NW_004828741.1	+	NW_004829403.1	-	27.9229736328	0.514915655579	0.733333333333	15
NW_004831292.1	+	NW_004830527.1	-	-90.6857147217	0.79906707805	0.533333333333	15
NW_004838763.1	-	NW_004835231.1	-	-45.6705627441	0.35879372301	0.785714285714	14
NW_004828899.1	+	NW_004838989.1	-	-230.814956665	0.379587299553	0.6	5
NW_004842533.1	-	NW_004842532.1	-	-126.411422729	0.286186716033	0.714285714286	7
NW_004829586.1	+	NW_004830106.1	-	-70.3987579346	0.969857438231	0.583333333333	12
NW_004835448.1	+	NW_004830153.1	-	-79.9273681641	0.328475045142	0.615384615385	13
NW_004825638.1	-	NW_004848221.1	-	-44.029319115	0.473116191735	0.666666666667	6
NW_004830044.1	+	NW_004830466.1	-	-11.2069702148	0.799552741077	0.571428571429	14
NW_004832564.1	-	NW_004830975.1	-	15.0846557617	0.552591950588	0.666666666667	6
NW_004841241.1	-	NW_004827761.1	+	118.683319092	0.894495421701	0.6	5
NW_004841241.1	-	NW_004841240.1	-	-38.0464630127	0.320855827918	0.833333333333	12
NW_004830934.1	+	NW_004830488.1	-	63.9672698975	0.891516283501	0.714285714286	7
NW_004841861.1	+	NW_004830128.1	-	-63.8315467834	0.335729898156	0.823529411765	17
NW_004830950.1	-	NW_004845608.1	+	83.7401733398	0.5430860797	0.769230769231	13
NW_004828961.1	-	NW_004830367.1	+	-157.728973389	0.464543364515	0.318181818182	22
NW_004830506.1	+	NW_004829404.1	-	-38.3731079102	0.902412844135	0.75	28
NW_004829565.1	-	NW_004830577.1	+	11.3790874481	0.35904912389	0.727272727273	11
NW_004845392.1	-	NW_004845391.1	-	-93.1211090088	0.204565328917	0.5	6
NW_004847287.1	-	NW_004833992.1	-	-134.848997593	0.207565651037	0.833333333333	6
NW_004830371.1	-	NW_004844599.1	+	-195.863418579	0.188174597033	0.4	5
NW_004848281.1	-	NW_004844652.1	+	-129.287995206	0.439352755554	0.4	5
NW_004839691.1	+	NW_004831985.1	+	-236.134033203	0.809080198657	0.472222222222	36
NW_004836570.1	-	NW_004836569.1	-	-114.53125	0.165951498127	0.714285714286	7
NW_004832087.1	-	NW_004846933.1	-	48.0833957195	0.711637200856	0.6	5
NW_004835175.1	+	NW_004835176.1	+	-63.7102508545	0.427648186395	0.777777777778	9
NW_004839797.1	+	NW_004835430.1	-	-194.163818359	0.336274521207	0.6	5
NW_004838285.1	-	NW_004838284.1	-	-118.705291748	0.288846845509	0.8	5
NW_004827846.1	+	NW_004841026.1	-	-5.67047119141	0.294972416546	0.7	10
NW_004840906.1	+	NW_004844113.1	-	-150.087997437	0.30127685049	0.6	5
NW_004830783.1	-	NW_004846559.1	+	-134.106155396	0.151873514808	0.6	5
