scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_004777619.1	-	NW_004777282.1	-	340.348896027	0.57428219923	0.315789473684	19
NW_004776176.1;NW_004794335.1;NW_004790598.1;NW_004776124.1	-;-;-;-	NW_004776463.1;NW_004783547.1;NW_004781172.1;NW_004779749.1;NW_004777822.1	+;+;+;+;+	107.461013317	0.251947814721	0.5	8
NW_004776176.1;NW_004794335.1;NW_004790598.1;NW_004776124.1	-;-;-;-	NW_004776822.1;NW_004776251.1;NW_004777459.1;NW_004787210.1;NW_004778270.1	-;-;-;-;-	-472.515305042	0.698014558296	0.666666666667	6
NW_004777008.1	-	NW_004776915.1;NW_004788345.1;NW_004791346.1;NW_004776846.1	+;+;+;+	-836.93321228	0.507969598442	0.472222222222	36
NW_004776212.1	-	NW_004776300.1	+	-867.074911594	0.200942589901	0.5	6
NW_004776818.1;NW_004778129.1	+;+	NW_004776419.1;NW_004776554.1;NW_004777635.1	+;+;+	-220.042991638	0.52521497477	0.727272727273	11
NW_004776957.1	-	NW_004775999.1	-	-874.893456459	0.131372787215	0.666666666667	12
NW_004780081.1;NW_004776343.1;NW_004776039.1	-;-;-	NW_004777377.1;NW_004776640.1	-;-	-832.750881195	0.344321421983	0.769230769231	13
NW_004778270.1;NW_004787210.1;NW_004777459.1;NW_004776251.1;NW_004776822.1	+;+;+;+;+	NW_004777823.1	-	-112.720290184	0.042406675408	0.6	5
NW_004776670.1	+	NW_004776146.1	-	-846.109343529	0.59804453243	0.166666666667	6
NW_004776872.1;NW_004776666.1;NW_004776725.1;NW_004777846.1	+;+;+;+	NW_004775949.1;NW_004784252.1;NW_004776408.1	+;+;+	-195.813584089	0.390749619171	0.4	5
NW_004777961.1;NW_004777256.1	+;+	NW_004778095.1	+	-779.837062836	0.284597039256	0.5	8
NW_004775922.1	+	NW_004776097.1	-	-435.019465923	0.26927614483	0.892307692308	65
NW_004777142.1	+	NW_004777685.1	+	-564.816478729	0.380768226437	0.5	10
NW_004777071.1	+	NW_004778052.1	-	-581.978317261	0.829597206447	0.545454545455	11
NW_004776844.1	+	NW_004776979.1	-	-410.107463837	0.21177671203	0.826086956522	23
NW_004777112.1;NW_004778536.1	-;-	NW_004777322.1	-	-129.649673462	0.328820468937	0.2	5
NW_004776631.1;NW_004777557.1	-;-	NW_004777855.1;NW_004776875.1	-;-	-513.492895126	0.26659949441	0.4	5
NW_004776758.1	-	NW_004776423.1;NW_004777660.1	+;+	51.9845466614	0.853057457909	0.777777777778	36
NW_004776758.1	-	NW_004779255.1;NC_021689.1	-;-	524.950925093	0.598018753146	0.411764705882	17
NW_004776758.1	-	NW_004776429.1	+	-40.7146167755	0.494269251305	0.633333333333	30
NW_004776758.1	-	NW_004776400.1	-	83.1671247482	0.711353347647	0.6875	16
NW_004776758.1	-	NC_021677.1	+	-305.852217003	0.791368773432	0.68	25
NW_004776698.1	-	NW_004776867.1;NW_004777645.1	+;+	-539.75305748	0.492158737465	0.666666666667	6
NW_004775982.1	+	NW_004779433.1;NW_004776219.1	-;-	-877.133721113	0.216669677986	0.5	6
NW_004777302.1	-	NW_004776176.1;NW_004794335.1;NW_004790598.1;NW_004776124.1	-;-;-;-	19.8595762253	0.23087261139	0.625	8
NW_004776556.1	-	NW_004778252.1	+	-867.655897141	0.198773451128	0.714285714286	7
NW_004777791.1	+	NW_004777527.1	-	397.047409058	0.220584313022	0.5	6
NW_004776431.1	-	NW_004776620.1	-	-7.41211986542	0.479277575637	0.375	8
NW_004777646.1	-	NW_004777109.1;NW_004776775.1	-;-	-153.577423096	0.575118230887	0.454545454545	33
NW_004777646.1	-	NW_004779220.1	-	-233.649787903	0.523744526685	0.5	34
NW_004777646.1	-	NW_004779237.1	-	-333.11870575	0.768624015115	0.333333333333	9
NW_004778125.1	+	NW_004776431.1	-	-16.2329063416	0.952347334909	0.545454545455	11
NW_004777264.1	+	NW_004776790.1	-	-787.7289505	0.53265896979	0.466666666667	15
NW_004775895.1	-	NW_004776012.1	-	29.9418668747	0.0618677047544	0.4	5
NW_004779691.1	-	NW_004776625.1	+	-570.075893402	0.539143574772	0.5	8
NW_004777114.1	+	NW_004778223.1	-	256.381507874	0.0977955890052	0.6	5
NW_004777114.1	+	NW_004776431.1	-	44.199005127	0.684130464535	0.704545454545	220
NW_004777037.1	+	NW_004776896.1	-	-575.093582153	0.46756081719	0.692307692308	13
NW_004776346.1;NW_004776929.1;NW_004776940.1	-;-;-	NW_004776832.1;NW_004776038.1	+;+	37.4451961517	0.515699049717	0.615384615385	13
NW_004776346.1;NW_004776929.1;NW_004776940.1	-;-;-	NW_004776774.1	-	-183.680492401	0.424965901304	0.483870967742	31
NW_004776346.1;NW_004776929.1;NW_004776940.1	-;-;-	NW_004777078.1	-	-470.531015396	0.41198958954	0.636363636364	11
NW_004776346.1;NW_004776929.1;NW_004776940.1	-;-;-	NW_004776774.1	+	-683.595539093	0.373808257974	0.615384615385	13
NW_004777544.1	+	NW_004777922.1	+	-728.880867004	0.39092733733	0.825396825397	63
NW_004776510.1	-	NW_004776114.1	-	-851.469596386	0.230960301069	0.8	5
NW_004778168.1;NW_004777175.1	-;-	NW_004777523.1	-	264.775218964	0.771183087662	0.333333333333	6
NC_021687.1	-	NW_004776595.1	-	-797.42326295	0.322131649709	0.777777777778	9
NW_004778609.1	+	NW_004777920.1	+	-284.199638367	0.455268529174	0.571428571429	21
NC_021698.1	-	NW_004776595.1	-	-882.424453832	0.2921612105	0.636363636364	11
NW_004776143.1	+	NW_004776384.1	+	-840.03032589	0.445016055874	0.6	5
NW_004776431.1	+	NW_004776400.1	+	-68.0070114136	0.597779855046	0.601307189542	153
NW_004776431.1	+	NW_004777029.1	+	-195.259075165	0.81244291482	0.636363636364	33
NW_004776431.1	+	NW_004778302.1;NW_004776048.1	-;-	-42.446615696	0.675237621893	0.615894039735	151
NW_004775999.1	+	NW_004776903.1	-	524.974886179	0.496296771079	0.5	6
NW_004778133.1;NW_004775993.1	-;-	NW_004776086.1;NW_004777275.1	-;-	-299.493884087	0.527839775594	0.5	6
NW_004778223.1	+	NW_004778302.1;NW_004776048.1	-;-	149.570284367	0.147447866799	0.555555555556	9
NW_004776271.1	-	NW_004775883.1	-	-91.6281509399	0.178390694998	0.583333333333	12
NW_004777602.1;NW_004777543.1	+;+	NW_004776342.1	-	-354.33661747	0.198653455703	0.5	6
NC_021692.1	-	NW_004777091.1;NW_004776297.1	+;+	513.138999492	0.283235713593	0.6	5
NW_004776979.1	+	NW_004776417.1	-	-502.151126862	0.294191379753	0.739130434783	23
NW_004777842.1	-	NW_004776459.1	-	-621.499013901	0.49438164305	0.636363636364	11
NW_004778863.1	-	NW_004779482.1	+	95.8198242188	0.490697431845	0.666666666667	6
NW_004777738.1	+	NW_004778637.1	+	-653.565338135	0.055909665013	0.571428571429	7
NW_004777029.1	-	NW_004776620.1	-	-203.974205017	0.0649665177227	0.6	5
NW_004776260.1	-	NW_004776086.1;NW_004777275.1	-;-	-416.430519104	0.247547319876	0.666666666667	9
NW_004776331.1	+	NW_004777663.1	+	178.423368454	0.279394696081	0.666666666667	9
NW_004776331.1	+	NW_004777020.1	-	13.0611553192	0.125806667501	0.714285714286	7
NW_004777204.1	+	NW_004776326.1	-	-390.616677284	0.516668301014	0.5	6
NW_004776481.1	+	NW_004775910.1	+	-775.22154808	0.494894617161	0.7	10
NW_004777151.1	-	NW_004777664.1	+	-496.877986908	0.479555800169	0.6	10
NW_004778205.1	+	NW_004777828.1	+	524.974300385	0.142433413474	0.6	5
NW_004778205.1	+	NW_004776972.1	-	524.968330383	0.431503559295	0.333333333333	9
NW_004778205.1	+	NW_004777125.1	+	-487.786235809	0.0619341938383	0.6	5
NW_004778359.1	+	NW_004777920.1	+	-388.739280701	0.474899618433	0.473684210526	19
NW_004777443.1	+	NW_004776611.1	+	-726.778087616	0.929498114419	0.5	6
NW_004777443.1	+	NW_004777920.1	+	-727.804779053	0.69104684083	0.4	5
NW_004776331.1	-	NW_004779527.1;NW_004783287.1;NW_004779142.1	+;+;+	-364.634914398	0.0895006260219	0.666666666667	9
NW_004777120.1	-	NW_004777962.1	-	-344.961593628	0.507331702857	0.4	5
NW_004777992.1	+	NW_004778411.1	-	-205.348236084	0.553225555307	0.4	5
NW_004777992.1	+	NW_004779667.1	-	-326.330886841	0.0575267272151	0.571428571429	7
NW_004777357.1	+	NW_004776972.1	-	-447.699493408	0.0621410733812	0.6	5
NW_004777357.1	+	NW_004777478.1	+	474.299449921	0.579995201556	0.5	6
NW_004777586.1	-	NW_004778080.1	-	-146.794223785	0.339789176527	0.5	6
NW_004776774.1	+	NW_004776832.1;NW_004776038.1	+;+	-121.463002682	0.392751142215	0.5	6
NW_004776647.1	+	NW_004777859.1	-	-371.796379089	0.0626622972977	0.6	5
NC_021690.1;NW_004777299.1;NW_004778696.1	-;-;-	NW_004776957.1	-	-517.677797981	0.408165519281	0.724637681159	69
NW_004775941.1	+	NW_004777503.1	-	-644.728949904	0.207406864985	0.666666666667	12
NW_004775946.1	+	NW_004777461.1	-	-407.065320373	0.35823272598	0.375	8
NW_004777998.1	+	NW_004779421.1	+	-284.679481506	0.364140640058	0.428571428571	7
