scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI916423	+	KI916816	+	-66101.7553402	0.655982409575	0.285714285714	7
KI916265	+	KI916550	+	-32163.7347461	0.332755945695	0.869565217391	92
KI916324	+	KI916660	+	-85195.0798266	0.0994864089838	0.5	6
KI916285	-	KI916578	-	-45495.0675022	0.318668886022	0.889830508475	118
KI916831	+	KI916793	+	47847.6635088	0.907865378042	0.615384615385	13
KI916202	+	KI916325	-	-43494.2255669	0.746336076597	0.708333333333	24
KI916451	+	KI916419	+	-33499.6347054	0.643498002207	0.6	5
KI916854	-	KI916421	+	-60572.4459432	0.288224333957	0.833333333333	30
KI916553	+	KI916214	+	-34225.4143733	0.533599745415	0.837837837838	37
KI916770	-	KI916398	-	-19702.9710157	0.36280924592	0.6	25
KI916438	+	KI916781	+	-71570.6561744	0.287841392559	0.722222222222	18
KI916378	-	KI916230	-	35774.1771345	0.817302295068	0.461538461538	13
KI916253	+	KI916681	-	-63923.4198457	0.516262008401	0.25	8
KI916376	-	KI916493	-	-29864.2575498	0.500148234303	0.634146341463	41
KI916660	+	KI916808	+	-59501.354499	0.130981612334	0.8	5
KI916551	-	KI916328	+	22861.8304637	0.642810124078	0.625	8
KI916289	+	KI916530	-	22662.2916132	0.518662003361	0.84375	64
KI916579	-	KI916325	-	10875.5857121	0.693923310252	0.533333333333	15
KI916637	-	KI916817	-	-49585.7373089	0.190708305226	0.5	6
KI916726	-	KI916641	+	-22580.127827	0.249376943923	0.869565217391	23
KI916226	+	KI916314	+	64941.4193273	0.577634840797	0.833333333333	36
KI916597	-	KI916245	-	-73703.0658413	0.208123496642	0.833333333333	24
KI916334	-	KI916434	-	-11740.6039888	0.474304822315	0.5	8
KI916690	-	KI916301	-	7458.90472901	0.851853755562	0.516129032258	31
KI916656	-	KI916659	-	-18061.2385028	0.829365061165	0.4	5
KI916764	+	KI916535	+	-58914.5913301	0.6765265962	0.4	5
KI916570	+	KI916477	+	-54942.5431798	0.195141838798	0.789473684211	19
KI916454	-	KI916530	+	34619.4198589	0.337652971114	0.826086956522	46
AXCK02015324	+	KI916693	-	45680.4213777	0.465939719017	0.8	40
KI916628	-	KI916518	+	-28270.6418828	0.665340840824	0.555555555556	9
KI916415	-	KI916374	-	22216.1243994	0.366016518756	0.6	10
KI916412	-	KI916821	-	-61448.0768245	0.380042422005	0.6	10
KI916824	+	KI916806	+	-54958.6227852	0.432128067824	0.764705882353	34
KI916824	+	KI916199	+	-65698.0746948	0.0674451533848	0.4	5
KI916196	+	KI916249	-	-74937.9171151	0.544134191159	0.863636363636	44
KI916278	+	KI916653	+	-76754.5622514	0.686637061713	0.761904761905	21
KI916337	+	KI916728	-	-30427.0548829	0.773667387398	0.761904761905	21
KI916284	-	KI916327	-	-38791.3453594	0.47477935602	0.836363636364	55
KI916389	+	KI916316	+	-75842.4885136	0.628627631594	0.714285714286	7
KI916198	+	KI916214	-	-37259.8694856	0.845671785212	0.642857142857	28
KI916778	-	KI916349	-	-26494.9219222	0.973409720431	0.6	15
KI916250	+	KI916471	-	-84257.9243203	0.290060292588	0.9	10
KI916250	+	KI916229	+	7209.85998115	0.304456897056	0.2	5
KI916642	-	KI916628	-	8531.3896997	0.871372093665	0.615384615385	13
KI916310	+	KI916554	-	-76708.2427742	0.61526036809	0.571428571429	21
KI916250	-	KI916440	-	-63563.549769	0.683268509364	0.620689655172	29
KI916248	-	KI916783	-	-3130.81865442	0.488572508466	0.5	8
KI916248	-	KI916783	+	-77431.5447284	0.305749954121	0.583333333333	12
KI916437	-	KI916320	+	-2037.46976697	0.00141341902439	0.333333333333	6
KI916437	-	KI916506	+	-57736.4147257	0.00351550743806	0.5	16
KI916217	+	KI916512	+	62436.6702263	0.815864079133	0.6	5
KI916745	-	KI916487	-	26237.8529217	0.822185039744	0.75	8
