scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI439225	+	KI439388	+	-13130.2637212	0.436784868112	0.333333333333	3
KI439225	+	KI439382	+	-38432.7951836	0.583220546907	0.25	4
KI439225	+	KI438988	+	-32669.7098954	0.420506301895	0.666666666667	3
KI439225	+	KI439043	-	10859.7411327	0.656279558985	0.333333333333	3
KI439225	+	KI439434	-	-53371.7471898	0.517699436365	0.5	4
KI439225	+	KI439262	-	-67704.2579744	0.00055630046235	0.333333333333	3
KI439625	+	KI438979	-	15613.2243112	0.230970439552	0.6	5
KI439625	+	KI439320	+	-15490.6335725	0.333439044822	0.25	4
KI439625	+	KI438975	-	-38406.5683998	0.817613975461	0.25	4
KI439625	+	KI439342	+	-66988.3624221	0.483712963351	0.307692307692	13
KI439625	+	KI439635	-	-72617.689563	0.52589348143	0.666666666667	3
KI439625	+	KI439257	+	-27201.7109479	0.437995141098	0.5	8
KI439625	+	KI439127	-	-28418.7108306	0	1.0	4
KI439625	+	KI439109	+	-22856.1290892	0.352288396276	0.5	4
KI439625	+	KI439072	+	-18080.8691936	0.482165520275	0.25	4
KI439625	+	KI439635	+	-35653.7624128	0.540354745872	0.666666666667	3
KI439625	+	KI439112	+	-70130.8448989	0.199592383198	0.333333333333	3
KI439625	+	KI439370	-	-12705.5724747	0.529358410832	0.5	4
KI439491	-	KI439523	+	-37667.1887907	0.452072641092	0.6	5
KI439491	-	KI439208	-	-1816.08530772	0.453072505842	0.857142857143	35
KI439491	-	KI439821	-	-52494.4855882	0	1.0	3
KI439491	-	KI439785	-	-71846.1266109	0.153492056395	0.333333333333	3
KI439491	-	KI439239	+	-66336.5392983	0	1.0	3
KI439491	-	KI439042	+	-8102.15306389	0.232672210185	0.333333333333	3
KI439491	-	KI439622	+	-44278.7287962	0.0537906795033	0.25	4
KI439491	-	KI438989	-	-61838.7776667	0.383021757929	0.4	5
KI439690	-	KI439433	-	-66451.0628605	0	1.0	4
KI439690	-	KI439556	-	-48078.9622195	0.725038549894	0.333333333333	3
KI439690	-	KI439174	+	-4791.94365722	0.233195636526	0.333333333333	3
KI439690	-	KI439358	-	-37917.2879248	0.894169301527	0.666666666667	3
KI439690	-	KI439551	+	-59608.146486	0.591949337541	0.333333333333	3
KI439690	-	KI439182	-	-78225.9497097	0.188723374386	0.666666666667	6
KI439690	-	KI438986	+	-70217.7316559	0.0414172559066	0.333333333333	3
KI439690	-	KI439443	-	9694.99797511	0.623410630572	0.666666666667	3
KI439690	-	KI439571	-	-68762.8302786	0.186730320371	0.333333333333	3
KI439658	+	KI439107	+	-43737.6415025	0	1.0	9
KI439658	+	KI439446	-	-20415.7803347	0.0034881760451	0.0909090909091	11
KI439658	+	KI439126	+	-76162.3894756	0.172463544061	0.5	4
KI439658	+	KI439198	+	-57303.4444287	0	1.0	4
KI439658	+	KI439056	-	9483.30528522	0.900252957476	0.333333333333	3
KI439658	+	KI439398	-	-48804.3756213	0.495171029403	0.333333333333	3
