scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_004974513.1	-	NW_004974778.1	-	-179.671707153	0.256364383074	0.818181818182	11
NW_004974513.1	-	NW_004974380.1	-	-108.540664673	0.904232399441	0.666666666667	6
NW_004975585.1	-	NW_004982283.1	+	-144.118034363	0.167217972274	0.875	8
NW_004974719.1	+	NW_004975833.1	+	-194.450042725	0.22688773725	0.875518672199	241
NW_004976963.1	-	NW_004976052.1	+	-162.857330322	0.840897382882	0.285714285714	7
NW_004975224.1	+	NW_004975087.1	+	-131.020568848	0.589533345575	0.625	8
NW_004975224.1	+	NW_004975851.1	-	-178.836418152	0.89411468773	0.444444444444	9
NW_004975224.1	+	NW_004975391.1	+	-260.567428589	0.172003532811	0.8	5
NW_004973475.1	-	NW_004976555.1	-	-197.738090515	0.137021528876	0.666666666667	6
NW_004973475.1	-	NW_004977239.1	-	-146.230247498	0.604942952959	0.333333333333	6
NW_004973475.1	-	NW_004974226.1	-	-186.833339691	0.228753467833	0.571428571429	7
NW_004973475.1	-	NW_004974080.1	+	-187.693210602	0.677560553104	0.4	5
NW_004973475.1	-	NW_004975181.1	+	-191.566791534	0.203607702652	0.8	30
NW_004974437.1	-	NW_004973587.1	+	98.9560852051	0.39437066956	0.75	8
NW_004975669.1	+	NW_004974778.1	-	-219.067687988	0.85054233077	0.72	25
NW_004975669.1	+	NW_004975286.1	+	-204.240371704	0.914240317937	0.4	5
NW_004975669.1	+	NW_004976026.1	+	-199.823905945	0.553690314195	0.4	5
NW_004983001.1	-	NW_004977319.1	-	91.4203948975	0.578403753889	0.6	5
NW_004974892.1	-	NW_004975126.1	-	-252.901153564	0.0804499099448	0.8	5
NW_004974892.1	-	NW_004975063.1	-	-265.730895996	0.258289633106	0.642857142857	28
NW_004974892.1	-	NW_004976838.1	+	-168.678833008	0.0821363108216	0.833333333333	6
NW_004974892.1	-	NW_004976322.1	-	-228.228088379	0.253960218405	0.5	6
NW_004974686.1	-	NW_004977402.1	-	-65.8724517822	0.511272698415	0.2	5
NW_004974472.1	-	NW_004975851.1	+	-210.288013458	0.0932273736441	0.714285714286	7
NW_004974472.1	-	NW_004976182.1	+	-151.808349609	0.477945075515	0.5	16
NW_004974472.1	-	NW_004976059.1	+	-229.160064697	0.575277996301	0.625	8
NW_004975835.1	-	NW_004974918.1	-	-47.396484375	0.426091265854	0.25	8
NW_004985080.1	+	NW_004983854.1	+	98.9666137695	0.257725453135	0.7	10
NW_004975891.1	-	NW_004977197.1	-	-165.264877319	0.456250448356	0.4	10
NW_004973843.1	+	NW_004975757.1	-	-195.773208618	0.757231786041	0.6	5
NW_004987925.1	-	NW_004983687.1	+	70.0738220215	0.305541392067	0.642857142857	14
NW_004975244.1	+	NW_004976373.1	+	-237.257766724	0.610052218782	0.5	6
NW_004975244.1	+	NW_004974080.1	+	-239.355316162	0.245952735013	0.333333333333	6
NW_004983543.1	+	NW_004984437.1	+	98.969909668	0.257417468897	0.6	5
NW_004983088.1	-	NW_004985192.1	-	71.5727844238	0.306981049268	0.785714285714	14
NW_004975057.1	+	NW_004975263.1	-	-160.857009888	0.204236406583	0.85	20
NW_004975057.1	+	NW_004973621.1	-	-245.278834343	0.209158857881	0.444444444444	9
NW_004986641.1	+	NW_004983431.1	+	98.9583740234	0.181680893527	0.4	5
NW_004976063.1	+	NW_004973416.1	-	-138.462020874	0.71162425414	0.4	5
NW_004976063.1	+	NW_004976838.1	+	-209.902267456	0.850316648018	0.555555555556	9
NW_004976768.1	-	NW_004975934.1	-	-240.915786743	0.793155256386	0.6	5
NW_004974592.1	+	NW_004985917.1	-	90.241027832	0.374322977441	0.714285714286	7
NW_004976058.1	-	NW_004973566.1	-	-189.779165268	0.953132308212	0.444444444444	9
NW_004976261.1	-	NW_004973846.1	+	52.9796257019	0.15569866174	0.666666666667	6
NW_004975181.1	-	NW_004975776.1	-	-176.358337402	0.237611988962	0.2	5
NW_004975181.1	-	NW_004975708.1	-	-207.00302124	0.17693282863	0.625	8
NW_004974715.1	-	NW_004976334.1	-	-122.988075256	0.138170321885	0.6	5
NW_004974781.1	-	NW_004975126.1	+	-121.653808594	0.792566131286	0.714285714286	14
NW_004974781.1	-	NW_004975851.1	+	-223.281097412	0.288189393419	0.727272727273	11
NW_004974781.1	-	NW_004975776.1	-	-178.719116211	0.827992598907	0.5	12
NW_004974781.1	-	NW_004974670.1	+	-179.294593811	0.786818264754	0.5	6
NW_004974781.1	-	NW_004975275.1	-	-261.829772949	0.198025806135	0.5	10
NW_004974781.1	-	NW_004975515.1	-	-191.12046814	0.534416205978	0.4	5
NW_004974781.1	-	NW_004976775.1	+	-143.910232544	0.276920286365	0.833333333333	12
NW_004974781.1	-	NW_004977093.1	-	-249.974243164	0.210370538209	0.6	5
NW_004976983.1	+	NW_004973741.1	-	-159.800567627	0.0984160253639	0.833333333333	6
NW_004977219.1	+	NW_004974309.1	-	-219.154701233	0.392104597646	0.5	6
NW_004973951.1	-	NW_004974778.1	-	-8.51284790039	0.962909536988	0.5	6
NW_004973951.1	-	NW_004974380.1	-	-29.8274383545	0.761998419492	0.571428571429	7
NW_004977412.1	+	NW_004975192.1	-	-138.225860596	0.619743762607	0.583333333333	12
NW_004974519.1	-	NW_004974778.1	-	-173.61177063	0.868551025799	0.625	8
NW_004974519.1	-	NW_004974380.1	-	-246.667532921	0.717568183881	0.428571428571	7
NW_004986949.1	+	NW_004984293.1	-	84.6150512695	0.214573484408	0.777777777778	9
NW_004974948.1	+	NW_004974778.1	-	-159.48443222	0.874346638506	0.454545454545	33
NW_004974948.1	+	NW_004974167.1	+	-202.418435097	0.111262224915	0.454545454545	11
NW_004974948.1	+	NW_004974380.1	-	-131.136169434	0.593410144011	0.5	8
NW_004974948.1	+	NW_004976026.1	+	-147.72203064	0.184172742346	0.8	10
NW_004974948.1	+	NW_004976305.1	+	-175.502609253	0.251437762181	0.6	5
