#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_merus	KI438993	AMEM000001	-	772732	774554	3	772732-772865:772941-774261:774528-774554
Anopheles_merus	KI439013	AMEM000002	+	522020	527789	6	522020-522455:525875-525972:526048-526139:526646-527191:527530-527629:527736-527789
Anopheles_merus	KI439155	AMEM000003	-	77684	86846	2	77684-77973:86747-86846
Anopheles_merus	KI439468	AMEM000004	+	55836	56241	2	55836-55898:55972-56241
Anopheles_merus	KI439079	AMEM000006	+	535935	537375	2	535935-535976:536578-537375
Anopheles_merus	KI439243	AMEM000007	-	148055	148872	2	148055-148264:148345-148872
Anopheles_merus	KI439234	AMEM000008	+	52237	53321	3	52237-52306:52379-53090:53156-53321
Anopheles_merus	KI439168	AMEM000009	+	310425	311322	3	310425-310487:310738-311063:311160-311322
Anopheles_merus	KI439005	AMEM000010	-	488140	488969	2	488140-488531:488603-488969
Anopheles_merus	KI439026	AMEM000012	-	464668	465003	1	464668-465003
Anopheles_merus	KI439087	AMEM000016	+	166843	178275	3	166843-166845:176511-177682:177753-178275
Anopheles_merus	KI439076	AMEM000018	-	186172	187272	4	186172-186297:186379-186499:186859-186940:187116-187272
Anopheles_merus	KI439193	AMEM000019	-	10895	12279	2	10895-11552:11633-12279
Anopheles_merus	AXCQ01011741	AMEM000020	+	109	1011	1	109-1011
Anopheles_merus	KI439191	AMEM000021	+	63313	66113	7	63313-63423:64169-64817:64932-65097:65173-65268:65342-65677:65768-65893:66029-66113
Anopheles_merus	KI439546	AMEM000023	+	68495	69474	4	68495-68531:68787-68860:68944-69124:69269-69474
Anopheles_merus	KI439180	AMEM000024	+	45919	47121	3	45919-45931:46351-46499:46540-47121
Anopheles_merus	KI438981	AMEM000028	+	768127	768821	3	768127-768138:768272-768514:768660-768821
Anopheles_merus	KI439108	AMEM000029	-	27875	40887	3	27875-28081:29495-29510:40736-40887
Anopheles_merus	KI438978	AMEM000031	+	533314	547937	6	533314-533636:534126-535689:536281-538145:538821-539000:547446-547590:547758-547937
Anopheles_merus	KI439546	AMEM000032	+	21115	22361	4	21115-21446:21519-21749:21823-22034:22111-22361
Anopheles_merus	KI439176	AMEM000033	-	307306	310921	9	307306-307444:307522-307899:307987-308106:308194-308386:308449-308558:308780-308925:309018-309269:309347-309427:310811-310921
Anopheles_merus	AXCQ01004834	AMEM000034	-	13161	14098	3	13161-13340:13400-13796:13869-14098
Anopheles_merus	KI439022	AMEM000038	+	420345	424529	6	420345-420380:420604-420811:423474-423632:423735-423863:423944-424240:424330-424529
Anopheles_merus	KI439041	AMEM000039	+	479221	481590	4	479221-479276:479356-479725:479793-479890:479958-481590
Anopheles_merus	KI439054	AMEM000041	+	126307	128856	2	126307-126377:126447-128856
Anopheles_merus	KI438995	AMEM000042	-	306261	307880	4	306261-306663:306739-307561:307658-307765:307844-307880
Anopheles_merus	KI439045	AMEM000043	+	341277	353405	7	341277-341505:349237-349469:349550-350202:351064-351132:351799-351949:352060-352180:353071-353405
Anopheles_merus	AXCQ01006451	AMEM000044	-	26899	29912	5	26899-27310:27388-27540:27613-28662:29007-29488:29712-29912
Anopheles_merus	KI439127	AMEM000045	+	30942	41714	5	30942-31084:36829-37030:37843-37928:39374-39476:41532-41714
Anopheles_merus	KI439024	AMEM000046	-	554217	555349	4	554217-554356:554444-554578:554643-555025:555114-555349
