scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCO01009928	-	AXCO01024373	+	-32.6628131866	0.168344650286	0.5	18
KI429446	+	AXCO01024373	+	7.82227516174	0.0664685497765	0.5	6
AXCO01015090	-	AXCO01024373	+	-21.9571685791	0.144227604521	0.533333333333	15
AXCO01023345	-	AXCO01024373	+	-13.5170822144	0.118374903502	0.5	12
AXCO01025015	-	KI432779	-	-445.137083054	0.435734218555	0.333333333333	6
AXCO01021597	+	AXCO01024373	+	-21.7366447449	0.15196324271	0.5	16
KI433286	-	AXCO01029086	-	-537.300727844	0.123238592546	0.666666666667	6
AXCO01007775	+	AXCO01024373	+	-13.3162097931	0.12587032747	0.461538461538	13
KI432425	-	AXCO01024373	+	-118.267192841	0.165268693733	0.444444444444	18
AXCO01005813	+	AXCO01024373	+	-530.06035614	0.0679904679841	0.444444444444	9
AXCO01026797	+	KI432079	-	-368.154666901	0.936807794501	0.4	5
KI432091	-	AXCO01024373	+	-37.8686065674	0.193552990394	0.52380952381	21
KI430852	+	AXCO01024373	+	-471.059335709	0.0419992798588	0.428571428571	7
AXCO01016764	+	AXCO01028973	+	-548.005767822	0.0579329005392	0.428571428571	7
AXCO01024592	+	AXCO01024373	+	-32.4304122925	0.184167906396	0.5	20
AXCO01022563	+	AXCO01026999	+	-121.996910095	0.271031770565	0.571428571429	7
AXCO01029353	+	AXCO01022571	+	-343.422294617	0.324616131666	0.5	10
AXCO01025552	+	AXCO01028973	+	-570.310073853	0.0503045749915	0.428571428571	7
AXCO01023245	-	AXCO01024373	+	-37.8668823242	0.193553683335	0.52380952381	21
AXCO01025218	-	AXCO01024373	+	-4.8345413208	0.0915892117464	0.555555555556	9
AXCO01009618	-	AXCO01028973	+	-553.209041595	0.0925229344806	0.461538461538	13
AXCO01025815	+	AXCO01024373	+	-17.2347259521	0.135351247521	0.461538461538	13
KI432339	-	AXCO01024373	+	-198.245517731	0.112552880838	0.470588235294	17
AXCO01025594	+	AXCO01024373	+	-343.674133301	0.0751355505656	0.5	12
AXCO01026182	+	AXCO01024961	-	-523.552001953	0.320479901423	0.8	10
