scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009952940.1;NW_009960002.1;NW_009964491.1;NW_009955692.1;NW_009952492.1	+;+;+;+;+	NW_009954106.1	+	-1835.88195801	0.41050567928	0.625	8
NW_009952940.1;NW_009960002.1;NW_009964491.1;NW_009955692.1;NW_009952492.1	+;+;+;+;+	NW_009952576.1	-	-2311.58234549	0.370063397308	0.4	5
NW_009952940.1;NW_009960002.1;NW_009964491.1;NW_009955692.1;NW_009952492.1	+;+;+;+;+	NW_009952060.1	-	-2362.9315033	0.421136898181	0.6	5
NW_009952940.1;NW_009960002.1;NW_009964491.1;NW_009955692.1;NW_009952492.1	+;+;+;+;+	NW_009952908.1	+	-1583.04993725	0.866243858973	0.5	6
NW_009952940.1;NW_009960002.1;NW_009964491.1;NW_009955692.1;NW_009952492.1	+;+;+;+;+	NW_009952576.1	+	-285.536441326	0.075138871477	0.5	6
NW_009953406.1	+	NW_009953905.1;NW_009959786.1;NW_009951964.1;NW_009963633.1;NW_009954356.1;NW_009962550.1;NW_009953960.1	-;-;-;-;-;-;-	-878.491573021	0.182102367245	0.833333333333	18
NW_009953406.1	+	NW_009951837.1	+	-785.462436199	0.516271309959	0.411764705882	17
NW_009953497.1	+	NW_009953089.1;NW_009952486.1;NW_009952358.1;NW_009959542.1;NW_009954017.1	+;+;+;+;+	3577.96798306	0.226444627896	0.8	5
NW_009970728.1;NW_009966778.1;NW_009960172.1;NW_009962680.1;NW_009968707.1	+;+;+;+;+	NW_009952688.1	-	821.375001967	0.27666130291	0.761904761905	21
NW_009951912.1	+	NW_009953749.1	-	-2717.5040617	0.197501166652	0.428571428571	7
NW_009951912.1	+	NW_009954247.1	+	-1453.04052925	0.493177640323	0.285714285714	7
NW_009951791.1	-	NW_009953911.1	+	-2717.13881481	0.21166582853	0.571428571429	7
NW_009951791.1	-	NW_009953644.1	-	-3084.67829514	0.177171420341	0.7	10
NW_009951791.1	-	NW_009951909.1	+	1442.68751454	0.318472902417	0.888888888889	27
NW_009951791.1	-	NW_009951832.1;NW_009952898.1	-;-	-2962.89309692	0.190893919624	0.666666666667	9
NW_009953585.1;NW_009955891.1;NW_009964648.1;NW_009965399.1;NW_009956542.1;NW_009967108.1	-;-;-;-;-;-	NW_009952997.1;NW_009953331.1	-;-	-1434.10905457	0.271501502765	0.787878787879	33
NW_009951852.1	-	NW_009953575.1	+	-1325.39621067	0.228854815147	0.75	32
NW_009951852.1	-	NW_009954440.1;NW_009953903.1	-;-	138.73774153	0.162980449041	0.8125	16
NW_009951852.1	-	NW_009952985.1	+	-2251.09191895	0.305635200487	0.5	6
NW_009951852.1	-	NW_009951941.1	-	-1016.48377371	0.259702727463	0.727272727273	22
NW_009951852.1	-	NW_009953522.1	-	2085.31017303	0.115233591185	0.666666666667	6
NW_009951852.1	-	NW_009954324.1	-	-2585.89127541	0.306971199525	0.571428571429	7
NW_009951852.1	-	NW_009953216.1	+	-2153.82326984	0.325138977585	0.428571428571	7
NW_009953598.1	-	NW_009953800.1	+	396.589889407	0.204808027124	0.8	20
NW_009952454.1;NW_009953662.1	+;+	NW_009954421.1	+	2766.92712605	0.439208825332	0.666666666667	6
NW_009954119.1	-	NW_009952697.1	-	-1290.98115456	0.112308774095	0.571428571429	7
NW_009954119.1	-	NW_009953183.1	+	-214.407341242	0.190743877732	0.75	8
NW_009954119.1	-	NW_009952987.1	+	-1788.28743625	0.187362900845	0.714285714286	14
NW_009954119.1	-	NW_009954608.1	-	695.846415758	0.34679946113	0.6	5
NW_009954119.1	-	NW_009954533.1	-	-3019.86297762	0.116828890734	0.6	5
NW_009954119.1	-	NW_009952608.1;NW_009954401.1	-;-	57.6318744421	0.111836960101	0.6	5
NW_009954119.1	-	NW_009952416.1;NW_009970676.1	+;+	-789.399157643	0.532827614081	0.333333333333	6
NW_009952380.1	+	NW_009954333.1;NW_009970286.1;NW_009954043.1;NW_009953451.1	+;+;+;+	520.554567903	0.317868055244	0.926470588235	68
NW_009951957.1;NW_009968148.1;NW_009963433.1;NW_009959006.1;NW_009967140.1;NW_009952909.1;NW_009953645.1;NW_009961956.1;NW_009969457.1	+;+;+;+;+;+;+;+;+	NW_009953671.1	-	-1402.82255661	0.293977641364	0.444444444444	9
NW_009951957.1;NW_009968148.1;NW_009963433.1;NW_009959006.1;NW_009967140.1;NW_009952909.1;NW_009953645.1;NW_009961956.1;NW_009969457.1	+;+;+;+;+;+;+;+;+	NW_009953172.1	-	-748.167611778	0.315098329577	0.333333333333	6
NW_009951957.1;NW_009968148.1;NW_009963433.1;NW_009959006.1;NW_009967140.1;NW_009952909.1;NW_009953645.1;NW_009961956.1;NW_009969457.1	+;+;+;+;+;+;+;+;+	NW_009952877.1;NW_009952736.1	-;-	1230.8407041	0.690438817127	0.5	14
NW_009951957.1;NW_009968148.1;NW_009963433.1;NW_009959006.1;NW_009967140.1;NW_009952909.1;NW_009953645.1;NW_009961956.1;NW_009969457.1	+;+;+;+;+;+;+;+;+	NW_009953986.1	+	533.998208076	0.312024890548	0.4	5
NW_009951957.1;NW_009968148.1;NW_009963433.1;NW_009959006.1;NW_009967140.1;NW_009952909.1;NW_009953645.1;NW_009961956.1;NW_009969457.1	+;+;+;+;+;+;+;+;+	NW_009952981.1	-	-1748.62695423	0.157156348941	0.722222222222	18
NW_009951957.1;NW_009968148.1;NW_009963433.1;NW_009959006.1;NW_009967140.1;NW_009952909.1;NW_009953645.1;NW_009961956.1;NW_009969457.1	+;+;+;+;+;+;+;+;+	NW_009951792.1	+	-3212.62715384	0.089564713609	0.642857142857	14
