scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI421593	+	KI421715	+	-13280	0.310332364973	0.875	8
KI421781	-	AXCN01001869	-	-24253	0.190133754313	0.333333333333	3
KI421781	-	AXCN01002251	+	-23825	0.171011940301	0.666666666667	3
KI421629	-	KI421554	-	-14593	0.342836325507	0.714285714286	7
KI421766	-	KI421739	+	-9124	0.238311808409	0.769230769231	13
KI421766	-	AXCN01002273	-	-15988	0.000161558491819	0.666666666667	3
KI421802	-	KI421543	+	-14846	0.788499102897	0.5	6
KI421714	+	AXCN01001832	-	-2598	0.94071171835	0.625	8
KI421560	+	KI421572	+	-2252	0.769040932814	0.823529411765	17
KI421560	+	AXCN01002273	-	-2272	0.492428176851	0.4	40
KI421565	+	KI421610	-	-28010	0.00103591169156	0.454545454545	11
KI421565	+	KI421541	+	-14343	0.320522514468	0.8	10
KI421576	-	KI421621	-	-10767	0.642468248853	0.333333333333	3
KI421556	+	AXCN01002273	-	-22715	0.000614175673242	0.461538461538	13
KI421565	-	AXCN01002383	-	-2291	0.927313716966	0.857142857143	14
KI421794	+	KI421687	-	-14262	0.197405305874	0.777777777778	9
KI421794	+	KI421583	+	-22725	0.000629179930725	0.538461538462	13
KI421745	-	KI421803	+	-3663	0.743474795779	0.818181818182	11
KI421670	-	KI421586	-	-13527	0.344092473177	0.75	8
KI421667	+	KI421611	+	-17377	0.413781027511	0.333333333333	3
KI421667	+	KI421583	+	-5070	0.000777736646507	0.416666666667	12
KI421644	-	KI421704	+	-12641	0.361884719117	0.75	16
KI421588	+	KI421758	-	-27467	0.490284447483	0.333333333333	3
KI421588	+	KI421570	+	-11932	0.349217780615	0.9	40
KI421756	+	KI421683	+	-11665	0.473954356811	0.7	10
KI421637	-	KI421692	-	-11857	0.311957294024	0.857142857143	7
KI421751	+	KI421752	-	-10106	0.349378362124	0.769230769231	13
AXCN01002129	+	KI421782	+	-14701	0.583659019801	0.545454545455	11
KI421805	-	KI421555	+	-13376	0.32966051322	0.807692307692	26
KI421643	-	KI421587	-	-17635	0.481968586801	0.666666666667	12
KI421682	-	KI421720	+	-1907	0.803239736142	0.6	5
KI421688	-	KI421678	+	-13217	0.27525559303	0.8	10
KI421697	-	KI421690	-	-13498	0.459365798084	0.8125	16
KI421697	-	AXCN01002273	-	-24760	0.000389652968319	0.5	8
KI421662	-	KI421748	+	-2059	0.683649133476	0.8	10
AXCN01001997	+	KI421663	+	-8965	0.323352792133	0.75	16
KI421704	+	KI421583	+	-24893	0.000349006228657	0.5	6
KI421704	+	KI421581	+	-9283	0.257626092463	0.75	12
AXCN01002413	-	KI421688	-	-14763	0.358256627971	0.8125	16
KI421592	-	KI421646	-	-13652	0.244182972905	0.818181818182	11
AXCN01002359	-	KI421589	-	-15579	0.335876936663	0.833333333333	18
KI421746	-	KI421773	+	-6951	0.0466631669701	0.666666666667	3
KI421766	+	KI421650	-	-11723	0.32717913288	0.833333333333	12
KI421550	-	KI421580	-	-14279	0.186348428017	0.75	4
KI421550	-	KI421583	+	-8847	0.000937247734032	0.473684210526	19
KI421738	+	KI421737	+	-15569	0.544443116296	0.714285714286	7
KI421738	+	KI421571	-	-5824	4.66379221506e-05	0.333333333333	3
KI421634	+	KI421605	+	-13520	0.273344074896	0.777777777778	9
KI421811	+	KI421623	-	-23604	0.402567052168	0.333333333333	3
KI421811	+	KI421796	-	-15397	0.555967573519	0.333333333333	3
KI421767	+	KI421720	+	-1522	0.458898004707	0.666666666667	3
KI421575	-	KI421547	+	-13688	0.34940700719	0.888888888889	27
KI421706	-	KI421636	-	-13691	0.362009059992	0.75	16
KI421706	-	AXCN01002273	-	-22059	0.00034931770297	0.4	5
KI421540	+	KI421778	-	-12898	0.432399234873	0.833333333333	12
KI421567	-	KI421621	+	-13485	0.357049167134	0.866666666667	30
KI421567	-	KI421583	+	-10195	0.0804985840516	0.1	10
KI421699	+	KI421606	-	-11655	0.37218735218	0.769230769231	13
KI421545	+	KI421576	-	-13966	0.341615828769	0.777777777778	18
KI421651	+	KI421750	-	-16293	0.452949076619	0.733333333333	15
KI421651	+	AXCN01002423	-	-27495	0.00265836140413	0.333333333333	3
KI421754	-	KI421759	+	-12441	0.303521997863	0.666666666667	3
KI421800	+	KI421654	-	-20034	0.318851611928	0.857142857143	14
KI421753	-	KI421786	-	-10845	0	1.0	199
KI421753	-	KI421620	-	-6769	0.785077704569	0.666666666667	3
KI421753	-	KI421798	-	-12246	0.465436296836	0.666666666667	3
KI421753	-	KI421758	-	-18761	0.490284447483	0.333333333333	3
KI421735	-	KI421684	-	-12599	0.461288582709	0.8	5
KI421648	-	KI421765	+	-12207	0.340359769871	0.833333333333	24
KI421574	+	KI421683	-	-15760	0.375519325412	0.823529411765	17
KI421621	+	AXCN01002273	-	-7740	0.000476300811249	0.5	10
KI421705	-	KI421600	-	-14603	0.231918703544	0.714285714286	7
KI421615	+	KI421701	+	-24711	0.320127441032	0.714285714286	7
KI421687	-	KI421789	+	-8609	0.374730592983	0.826086956522	23
AXCN01001997	-	AXCN01002273	-	-29821	0.000161558491819	0.666666666667	3
AXCN01001997	-	KI421598	-	-15227	0.30932459171	0.8	10
KI421705	+	KI421694	-	-4615	0.688738069581	0.869565217391	23
KI421625	-	KI421734	-	-14433	0.327394768178	0.769230769231	13
KI421605	-	KI421786	+	-17989	0.00030971230413	0.4	5
KI421605	-	KI421797	-	-28256	0.00030971230413	0.4	5
KI421733	+	AXCN01002273	-	-30630	0.000323116983638	0.666666666667	3
KI421643	+	KI421656	-	-10578	0.370964915806	0.666666666667	9
KI421680	-	KI421584	-	-13549	0.465034579333	0.571428571429	7
KI421776	-	AXCN01002136	+	-303	0.91559217859	0.5	6
KI421696	+	KI421582	+	-14093	0.240726899501	0.882352941176	17
KI421566	-	KI421795	-	-13832	0.188553694721	0.75	8
KI421633	+	KI421557	+	-3296	0.704330872215	0.777777777778	18
KI421713	-	KI421696	+	-15929	0.453178854592	0.75	12
AXCN01002359	+	KI421618	-	-12348	0.28013203955	0.6	5
KI421578	+	KI421677	-	-18062	0.291343002789	0.869565217391	23
KI421578	+	KI421583	+	-6824	0.00039573586857	0.5	8
KI421578	+	KI421673	-	-20703	0.194806589211	0.333333333333	3
AXCN01001869	+	KI421575	-	-9037	0.556426424732	0.625	8
KI421638	+	KI421694	+	-10837	0.40550781211	0.8	15
KI421711	-	KI421583	+	-24185	0.000384586135449	0.5	4
KI421699	-	KI421616	+	-12081	0.420300034964	0.8	15
KI421739	+	KI421747	-	-3103	0.758287293935	0.833333333333	18
KI421739	+	KI421583	+	-30408	0.00165983235773	0.5	34
KI421770	-	KI421594	-	-12599	0.302281492216	0.75	8
KI421723	+	KI421592	-	-17052	0.423991543036	0.764705882353	17
KI421591	+	KI421558	-	-19177	0.20177533106	0.333333333333	6
KI421591	+	KI421653	+	-14245	0.277050380423	0.818181818182	11
KI421591	+	KI421813	+	-18497	0.220839974099	0.666666666667	3
KI421641	-	KI421691	+	-11173	0.637657267694	0.333333333333	3
KI421761	+	KI421659	-	-6741	0.959631681162	0.8	15
KI421623	+	KI421569	+	-11377	0.474349693599	0.642857142857	14
AXCN01002019	+	KI421785	-	-7733	0.898299021177	0.5	6
KI421756	-	KI421722	-	-14555	0.299526078011	0.888888888889	9
KI421780	+	KI421812	+	-27667	0.0254649445991	0.2	5
KI421780	+	KI421634	+	-22189	0.13529770533	0.25	4
KI421601	+	KI421595	-	-14491	0.292764595539	0.866666666667	15
KI421543	+	AXCN01002158	-	-11168	0.270744998264	0.823529411765	17
KI421647	-	KI421603	-	-31569	0	1.0	3
KI421647	-	KI421754	-	-14710	0.35355846921	0.785714285714	14
KI421569	+	AXCN01002128	-	-10920	0.376894475667	0.846153846154	13
KI421744	-	KI421726	+	-16111	0.417879087561	0.818181818182	22
AXCN01002152	+	AXCN01002136	-	-6258	0.690673428742	0.625	32
KI421776	+	KI421595	+	-14111	0.323984411198	0.826086956522	23
KI421776	+	KI421653	-	-18001	0.103366832993	0.666666666667	3
AXCN01002152	-	KI421721	-	-574	0.7418630644	0.772727272727	22
KI421637	+	KI421641	-	-13967	0.307364909314	0.857142857143	14
KI421571	-	AXCN01002414	-	-13933	0.357697214757	0.818181818182	22
KI421791	+	KI421715	+	-13619	0.00013273384373	0.4	5
KI421640	-	KI421765	-	-12585	0.444235986143	0.666666666667	6
KI421752	-	KI421729	+	-19155	0.589654561083	0.571428571429	7
KI421732	+	AXCN01002273	-	-32328	0.000651263101235	0.25	4
KI421598	+	AXCN01002273	-	-30107	0.00207561866646	0.5	44
KI421568	+	KI421549	+	-12637	0.3176676161	0.823529411765	17
KI421578	-	KI421681	-	-15130	0.407021825352	0.885714285714	35
KI421578	-	KI421583	+	-22434	0.000575621013064	0.444444444444	9
KI421578	-	KI421610	+	-30991	0	1.0	4
KI421747	-	KI421673	-	-14388	0.269276976246	0.8125	16
KI421622	-	KI421674	+	-15083	0.425278923034	0.875	24
KI421622	-	KI421583	+	-27048	0.000555894709693	0.375	8
KI421686	-	AXCN01002128	+	-11082	0.41897880867	0.666666666667	6
KI421768	-	KI421795	+	-13105	0.39529130848	0.777777777778	9
KI421651	-	KI421759	-	-14451	0.251696112769	0.818181818182	11
KI421539	+	KI421596	+	-10336	0.417700245579	0.818181818182	11
KI421772	+	AXCN01002271	-	-13265	0.278611327777	0.777777777778	9
KI421760	+	KI421561	-	-16279	0.274429145867	0.85	20
KI421760	+	AXCN01002273	-	-30936	0.000790202332758	0.461538461538	13
AXCN01002136	+	KI421571	-	-24758	4.66379638481e-05	0.333333333333	3
KI421679	+	KI421583	+	-14399	0.40760518381	0.8	35
KI421649	+	KI421750	+	-4755	0.863441727891	0.769230769231	26
KI421544	+	KI421725	+	-16978	0.33435713199	0.863636363636	22
KI421552	+	KI421764	-	-19399	0.341832935056	0.833333333333	24
KI421654	+	KI421583	+	-27369	0.000310763965858	0.4	5
KI421654	+	KI421539	+	-22811	4.66379638481e-05	0.333333333333	3
KI421654	+	KI421646	-	-22933	0	1.0	3
KI421650	+	AXCN01002273	-	-25239	0.000842722161567	0.428571428571	14
KI421812	+	KI421709	-	-22721	0.484008327229	0.333333333333	3
KI421648	+	KI421763	-	-8300	0.856562621133	0.333333333333	3
KI421648	+	KI421583	+	-26494	0.0179205225284	0.5	46
KI421559	+	KI421570	-	-14068	0.292451467636	0.722222222222	18
KI421695	+	AXCN01002273	-	-4798	0.000900183150621	0.444444444444	18
