scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB668876	+	KB669292	-	-39.1721225036	0.0607362398573	0.5	6
KB668876	+	KB668873	+	96.8960349381	0.0561636452082	0.5	6
KB668876	+	KB668699	+	96.8960349381	0.0561636452082	0.5	6
KB668876	+	KB668679	+	-177.350128022	0.0607362398573	0.5	6
KB668876	+	KB668680	+	-66.6559880818	0.0607362398573	0.5	6
KB668876	+	KB669518	+	-283.350128022	0.0658448857985	0.6	5
KB668876	+	KB668881	-	38.558418623	0.0618554922129	0.6	5
KB668876	+	KB668766	-	85.0490929214	0.05678011454	0.5	6
KB668876	+	KB669236	+	127.246161872	0.0470476377075	0.6	5
KB668876	+	KB669447	+	1.68037021036	0.0471346028643	0.5	4
KB668876	+	KB669158	-	56.4359241975	0.0578474766925	0.5	6
KB668876	+	KB668367	+	-39.1721225036	0.0607362398573	0.5	6
KB668876	+	KB669158	+	72.2152736163	0.0761959877757	0.666666666667	3
KB668355	+	KB668785	+	-93.2585592328	0.107769298135	0.846153846154	13
KB668459	+	KB668990	-	-201.350128022	0.286292195405	0.6	15
KB668736	+	KB669336	+	-164.350128022	0.349821606943	0.666666666667	6
KB668736	+	KB668673	-	-18.8032618448	0.975150328707	0.25	4
KB668736	+	KB668948	+	-148.097145319	0.0807190856753	0.666666666667	3
KB668736	+	KB668661	-	-147.210861477	0.349821606943	0.666666666667	6
KB668844	+	KB668567	-	52.006974326	0.88650308579	0.4	5
KB668844	+	KB668284	-	-273.350128022	0.144818160706	0.8	5
KB668844	+	KB668911	-	-163.350128022	0.110046831444	0.785714285714	14
KB668844	+	KB668873	+	-183.350128022	0.12958980013	0.5	6
KB668844	+	KB669525	+	-51.746739337	0.105632593062	0.846153846154	13
KB668844	+	KB669021	-	-118.108655229	0.0842092306559	0.75	4
KB668844	+	KB668698	-	32.935207993	0.104121252023	0.75	12
KB668844	+	KB668881	+	-212.350128022	0.0464276553294	0.666666666667	6
KB668844	+	KB668711	+	-84.0440758139	0.108949971376	0.8	10
KB668844	+	KB668670	+	-17.3935501061	0.0911245223091	0.7	10
KB668844	+	KB668785	-	-259.350128022	0.0720924025174	0.818181818182	11
KB668844	+	KB668821	+	-21.2465092746	0.0595669513082	0.857142857143	7
KB668844	+	KB668851	+	-65.8991680614	0.101688254063	0.846153846154	13
KB668844	+	KB669003	+	-51.4369589798	0.115565398693	0.818181818182	11
KB668844	+	KB668729	-	-185.350128022	0.055993859136	0.666666666667	3
KB668844	+	KB668743	+	-50.2167160158	0.0906213659048	0.8	10
KB668844	+	KB668804	-	-120.027302147	0.0618155467339	0.833333333333	12
KB668844	+	KB668864	+	-109.034188399	0.123432807705	0.714285714286	7
KB668844	+	KB668322	-	4.94538781196	0.0865917946847	0.666666666667	9
KB668844	+	KB668974	-	-148.350128022	0.956413797541	0.2	5
