scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_017228516.1	-	NW_017233327.1	-	-28.1972522736	0.543564082619	0.428571428571	7
NW_017225805.1	+	NW_017227760.1	+	0.778532028198	0.0989290751261	0.777777777778	9
NW_017225805.1	+	NW_017224896.1	-	368.441408157	0.576678985494	0.6	5
NW_017232954.1	+	NW_017228128.1	-	-163.47580719	0.204217467824	0.6	5
NW_017232523.1	+	NW_017228881.1	-	-399.395675659	0.0650677863199	0.8	5
NW_017232523.1	+	NW_017221955.1	+	-187.347385406	0.210416118197	0.6	5
NW_017232523.1	+	NW_017234385.1	+	-262.622428894	0.109656852358	0.6	5
NW_017232523.1	+	NW_017223720.1	-	-424.008300781	0.105552930845	0.727272727273	11
NW_017232523.1	+	NW_017229309.1	+	-379.761268616	0.138101862576	0.714285714286	7
NW_017232523.1	+	NW_017230251.1	+	-298.633468628	0.144463260749	0.714285714286	7
NW_017232523.1	+	NW_017228562.1	+	188.852329254	0.115483266732	0.714285714286	7
NW_017232523.1	+	NW_017222657.1	+	-390.30254364	0.13402744687	0.875	8
NW_017232523.1	+	NW_017227961.1	-	-394.189689636	0.121040372287	0.833333333333	6
NW_017232523.1	+	NW_017227061.1	-	-207.12109375	0.118757256886	0.6	5
NW_017232523.1	+	NW_017223854.1	-	-11.4855194092	0.108358530882	0.833333333333	6
NW_017232523.1	+	NW_017232126.1	+	-368.494987488	0.171456377333	0.8	10
NW_017227489.1	+	NW_017226337.1	-	-187.74861145	0.886979258079	0.4	5
NW_017231203.1	+	NW_017226698.1	-	-429.25207901	0.181144064232	0.833333333333	6
NW_017231203.1	+	NW_017232471.1	-	-409.006996155	0.379723232392	0.8	5
NW_017231203.1	+	NW_017219480.1	-	-438.619010925	0.162539488651	0.8	5
NW_017226402.1	-	NW_017230096.1	-	12.5914077759	0.133146684383	0.833333333333	6
NW_017233621.1	+	NW_017226785.1	+	-141.645489693	0.139658629209	0.8	5
NW_017233621.1	+	NW_017230852.1	+	-232.169441223	0.150172987402	0.8	5
NW_017233621.1	+	NW_017221661.1	+	-380.011404037	0.307089064062	0.888888888889	9
NW_017233621.1	+	NW_017230353.1	+	-336.389593124	0.148476989918	0.875	8
NW_017233621.1	+	NW_017221231.1	-	-424.730295181	0.30885075637	0.8	10
NW_017233452.1	-	NW_017231377.1	+	85.7319316864	0.180805067399	0.857142857143	7
NW_017233452.1	-	NW_017223481.1	-	25.6352386475	0.199775588516	0.8	5
NW_017220493.1	+	NW_017228664.1	-	-411.724933624	0.176471275288	0.8	5
NW_017232506.1	+	NW_017221763.1	-	-127.4848032	0.150387390691	0.8	5
NW_017223168.1	-	NW_017220360.1	+	-249.098041534	0.115118151941	0.625	8
NW_017223168.1	-	NW_017232893.1	-	403.16204834	0.135961503179	0.6	5
NW_017232052.1	+	NW_017222806.1	+	-127.711742401	0.140353662646	0.777777777778	9
NW_017232052.1	+	NW_017228947.1	+	-209.998275757	0.11116874644	0.777777777778	9
NW_017232052.1	+	NW_017228824.1	+	341.651607513	0.144614475412	0.833333333333	6
NW_017232052.1	+	NW_017221456.1	-	-248.19575882	0.118873982774	0.857142857143	7
NW_017232052.1	+	NW_017222071.1	+	-112.202899933	0.82880393517	0.8	10
NW_017232052.1	+	NW_017227827.1	-	-448.005168915	0.0430325964063	0.857142857143	7
NW_017232052.1	+	NW_017232950.1	+	-415.086029053	0.973243069051	0.5	6
NW_017232052.1	+	NW_017229015.1	+	-387.838272095	0.124397985345	0.833333333333	6
NW_017232052.1	+	NW_017230277.1	+	-334.723724365	0.183047700748	0.8	5
NW_017232052.1	+	NW_017220814.1	+	128.025054932	0.10232445875	0.875	8
NW_017232052.1	+	NW_017221668.1	+	70.5749130249	0.0872707822778	0.75	8
NW_017232052.1	+	NW_017234398.1	+	94.6130523682	0.168446740275	0.75	8
