scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009000546.1;NW_009000072.1;NW_009056733.1;NW_009001134.1;NW_009002607.1	-;-;-;-;-	NW_009002603.1;NW_009002062.1;NW_008997967.1;NW_008997994.1;NW_008999325.1;NW_009000431.1;NW_008999986.1	+;+;+;+;+;+;+	-246.021743536	0.41122789894	0.714285714286	7
NW_008998339.1;NW_008998952.1;NW_009002442.1;NW_008997864.1;NW_009002891.1	+;+;+;+;+	NW_008998863.1;NW_008999485.1;NW_009056895.1;NW_009055517.1;NW_009031142.1;NW_009048206.1;NW_009057184.1	-;-;-;-;-;-;-	7624.61560264	0.250287590973	0.555555555556	27
NW_008998339.1;NW_008998952.1;NW_009002442.1;NW_008997864.1;NW_009002891.1	+;+;+;+;+	NW_009002859.1;NW_008999249.1;NW_009002318.1;NW_009002362.1;NW_009012641.1;NW_009056906.1	+;+;+;+;+;+	-6038.60272582	0.0847345349912	0.5	10
NW_009001080.1;NW_009001491.1;NW_009002071.1	-;-;-	NW_008999539.1;NW_009001185.1	-;-	-292.255959392	0.921947428654	0.5	6
NW_009001232.1	-	NW_008999131.1;NW_009002854.1;NW_009001904.1;NW_009002815.1	+;+;+;+	5310.86901683	0.152236010833	0.714285714286	7
NW_009000152.1	+	NW_009002792.1;NW_009033224.1;NW_009054420.1;NW_009002113.1	-;-;-;-	-3005.53135651	0.496601359048	0.78431372549	51
NW_009001635.1;NW_009047131.1;NW_009000944.1;NW_008999683.1;NW_009001365.1;NW_009001996.1;NW_009001943.1	+;+;+;+;+;+;+	NW_009002131.1;NW_009001104.1;NW_008998032.1;NW_009000905.1;NW_008998412.1	+;+;+;+;+	-3112.11981262	0.714703996044	0.666666666667	6
NW_009001635.1;NW_009047131.1;NW_009000944.1;NW_008999683.1;NW_009001365.1;NW_009001996.1;NW_009001943.1	+;+;+;+;+;+;+	NW_008999028.1;NW_009001624.1;NW_009000497.1;NW_009002951.1;NW_009001248.1	+;+;+;+;+	585.432756603	0.526743057491	0.333333333333	18
NW_009001635.1;NW_009047131.1;NW_009000944.1;NW_008999683.1;NW_009001365.1;NW_009001996.1;NW_009001943.1	+;+;+;+;+;+;+	NW_009002098.1;NW_009002287.1;NW_009003036.1;NW_009057027.1;NW_009002137.1;NW_009000721.1;NW_008997821.1;NW_008998864.1;NW_009050789.1;NW_009001571.1;NW_008999674.1;NW_009050257.1;NW_009000941.1;NW_008999809.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+	-301.226817014	0.497160111279	0.166666666667	6
NW_009001635.1;NW_009047131.1;NW_009000944.1;NW_008999683.1;NW_009001365.1;NW_009001996.1;NW_009001943.1	+;+;+;+;+;+;+	NW_008997865.1	-	-1536.61489913	0.310384150077	0.384615384615	13
NW_009001635.1;NW_009047131.1;NW_009000944.1;NW_008999683.1;NW_009001365.1;NW_009001996.1;NW_009001943.1	+;+;+;+;+;+;+	NW_008999066.1;NW_009002280.1;NW_009003074.1;NW_008999918.1;NW_009001470.1;NW_008998410.1;NW_009024474.1;NW_009002666.1;NW_008998677.1;NW_009003174.1;NW_009056451.1	+;+;+;+;+;+;+;+;+;+;+	-3199.98776203	0.287924713218	0.666666666667	6
NW_008997828.1;NW_009000316.1;NW_009000251.1;NW_009000019.1;NW_008997863.1;NW_009001565.1;NW_009001956.1;NW_008998396.1	-;-;-;-;-;-;-;-	NW_008998467.1;NW_008998297.1;NW_009055185.1;NW_009002795.1;NW_009000273.1;NW_009002988.1	-;-;-;-;-;-	-5611.89104897	0.892160252055	0.6	5
NW_009000339.1;NW_008997990.1;NW_008997995.1	-;-;-	NW_008998582.1	-	1252.34239507	0.434605938067	0.571428571429	7
NW_009002276.1;NW_008999990.1;NW_008998526.1;NW_009003105.1	+;+;+;+	NW_008998729.1	-	-4054.58072281	0.352663101945	0.4	5
NW_008999371.1;NW_009001216.1;NW_009000291.1	+;+;+	NW_008998269.1	+	653.078397751	0.441439403746	0.4	5
NW_008998499.1	-	NW_009001620.1	+	-6678.70798206	0.204574336164	0.6	5
NW_009001608.1;NW_009056909.1	-;-	NW_009001564.1;NW_009002855.1;NW_009002714.1;NW_008998831.1;NW_009001800.1;NW_008997992.1;NW_008998501.1	+;+;+;+;+;+;+	-1527.86937741	0.336060517859	0.5	6
NW_009001608.1;NW_009056909.1	-;-	NW_009001605.1;NW_008997793.1;NW_008999933.1;NW_009002564.1;NW_009020718.1;NW_008998089.1;NW_009002376.1;NW_008998016.1;NW_008998636.1;NW_009003066.1;NW_009057038.1;NW_009044143.1;NW_009029721.1;NW_009053410.1;NW_009042934.1;NW_009013133.1;NW_009056889.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-2362.5737009	0.611623658053	0.4	5
NW_009001608.1;NW_009056909.1	-;-	NW_008997874.1;NW_009000894.1	-;-	-7140.03496361	0.398363909229	0.4	5
NW_009001608.1;NW_009056909.1	-;-	NW_008999131.1;NW_009002854.1;NW_009001904.1;NW_009002815.1	+;+;+;+	840.68762514	0.396606947219	0.56	25
NW_008997774.1;NW_009003018.1;NW_008999816.1;NW_008999509.1;NW_008998954.1;NW_008999067.1;NW_009000949.1	+;+;+;+;+;+;+	NW_008998582.1	-	-1012.48854709	0.828056639711	0.777777777778	9
NW_008997774.1;NW_009003018.1;NW_008999816.1;NW_008999509.1;NW_008998954.1;NW_008999067.1;NW_009000949.1	+;+;+;+;+;+;+	NW_009057270.1;NW_009001919.1;NW_009002843.1	+;+;+	-4404.62557977	0.904800777498	0.454545454545	11
NW_009000307.1	-	NW_008999894.1;NW_008999161.1	-;-	7371.81344494	0.446271236472	0.766666666667	30
NW_009002782.1	-	NW_008998118.1	+	3021.87494755	0.0228785566787	0.5	6
NW_009000716.1;NW_009000810.1	+;+	NW_009002603.1;NW_009002062.1;NW_008997967.1;NW_008997994.1;NW_008999325.1;NW_009000431.1;NW_008999986.1	+;+;+;+;+;+;+	-300.497336566	0.795101165153	0.4	5
NW_009000716.1;NW_009000810.1	+;+	NW_008998883.1;NW_009001600.1	-;-	-2447.84336179	0.859823650886	0.5	6
