scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB665808	+	KB667745	-	-709.607270241	0.0368285318859	0.833333333333	6
KB665808	+	KB665921	-	-959.355138421	0.0362961107883	0.833333333333	6
KB665808	+	KB665702	+	-450.798547745	0.0382693316168	0.666666666667	6
KB665808	+	KB667806	-	-875.133219242	0.0364254137461	0.833333333333	6
KB667085	-	KB666825	-	-837.077392578	0.059061715298	0.6	5
KB667085	-	KB665780	-	-814.959266663	0.0516109871439	0.6	5
KB667085	-	KB665926	-	-811.114866257	0.0746407797671	0.6	5
KB667085	-	KB667967	-	-840.586933136	0.0456265817977	0.777777777778	9
KB667085	-	KB667774	-	-807.841709137	0.0609758956431	0.833333333333	6
KB667085	-	KB667973	+	396.969219208	0.0859964652889	0.764705882353	17
KB667085	-	KB668217	-	-795.542457581	0.0850238292019	0.8	10
KB667085	-	KB665495	-	-769.078491211	0.325328554884	0.6	10
KB667085	-	KB665725	-	-789.993057251	0.0415975193819	0.714285714286	7
KB666637	-	KB665619	+	-632.076814651	0.0401043514804	0.555555555556	9
KB666551	+	KB667874	-	-934.413973808	0.108106234786	0.865384615385	52
KB667415	-	KB667012	+	-915.156433105	0.0526642116529	0.84	25
KB666958	+	KB667612	-	-902.501776218	0.0427490522415	0.6	5
KB666958	+	KB667764	+	-449.471754074	0.0667673429982	0.846153846154	13
KB666958	+	KB667031	+	-496.018112183	0.0235237882034	0.857142857143	7
KB668141	+	KB667619	-	-897.567301273	0.046714670481	0.740740740741	27
KB668141	+	KB666153	+	-358.633930206	0.0204712074396	0.666666666667	6
KB667603	+	KB666228	-	-397.25431633	0.0497219870665	0.666666666667	6
KB666779	-	KB667215	-	-976.712097168	0.144370611888	0.2	5
KB667377	-	KB667141	-	-660.50920105	0.0379662128031	0.785714285714	14
KB667377	-	KB667389	-	-606.812942505	0.030590529241	0.818181818182	11
KB668025	-	KB665705	-	-951.171703339	0.0990249112634	0.785714285714	14
KB668025	-	KB667127	-	-573.150032043	0.0410912444556	0.5	6
KB668025	-	KB667577	-	396.974680901	0.245637651722	0.571428571429	7
KB668025	-	KB666500	-	-842.63616848	0.112483353313	0.8	10
