scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009245768.1;NW_009245048.1;NW_009257683.1;NW_009244577.1;NW_009245178.1	+;+;+;+;+	NW_009245526.1;NW_009244752.1;NW_009244843.1;NW_009243493.1;NW_009245852.1	+;+;+;+;+	-4531.72295217	0.459306886328	0.3125	16
NW_009245768.1;NW_009245048.1;NW_009257683.1;NW_009244577.1;NW_009245178.1	+;+;+;+;+	NW_009244450.1;NW_009257961.1;NW_009252800.1;NW_009255143.1;NW_009253991.1;NW_009246114.1	-;-;-;-;-;-	-9368.86224734	0.875753167989	0.685714285714	35
NW_009245768.1;NW_009245048.1;NW_009257683.1;NW_009244577.1;NW_009245178.1	+;+;+;+;+	NW_009245749.1;NW_009243533.1	+;+	-8860.65634596	0.107947107085	0.333333333333	12
NW_009245319.1;NW_009244098.1;NW_009245924.1;NW_009244735.1;NW_009244935.1;NW_009246006.1;NW_009243911.1	+;+;+;+;+;+;+	NW_009246365.1	+	-3151.47557779	0.522126565485	0.444444444444	9
NW_009245319.1;NW_009244098.1;NW_009245924.1;NW_009244735.1;NW_009244935.1;NW_009246006.1;NW_009243911.1	+;+;+;+;+;+;+	NW_009246180.1;NW_009245809.1;NW_009243528.1;NW_009254953.1;NW_009256562.1;NW_009257835.1;NW_009253078.1;NW_009251706.1;NW_009256447.1;NW_009255088.1;NW_009253639.1;NW_009254296.1;NW_009254335.1;NW_009251224.1;NW_009255305.1;NW_009250959.1;NW_009254040.1;NW_009247184.1;NW_009247167.1;NW_009248880.1;NW_009256874.1;NW_009250420.1;NW_009255777.1;NW_009253626.1;NW_009257479.1;NW_009251103.1;NW_009245262.1;NW_009249415.1;NW_009245879.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-1716.44180237	0.596046783858	0.807692307692	52
NW_009243369.1;NW_009244853.1;NW_009256299.1;NW_009245618.1	-;-;-;-	NW_009245766.1;NW_009250001.1;NW_009245762.1	+;+;+	97.4180071056	0.384328144388	0.877551020408	98
NW_009258114.1	+	NW_009243319.1;NW_009245128.1	+;+	-8965.49099062	0.21292029057	0.333333333333	6
NW_009258114.1	+	NW_009245036.1	-	-2119.84402204	0.466263227201	0.2	5
NW_009246008.1;NW_009256908.1;NW_009243690.1	-;-;-	NW_009246288.1	+	184.190320164	0.442926026814	0.944881889764	127
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009243862.1;NW_009247831.1;NW_009246635.1	+;+;+	-8385.57113668	0.47148927301	0.5	6
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009243890.1;NW_009245357.1;NW_009245510.1;NW_009257128.1;NW_009245268.1;NW_009250292.1;NW_009257971.1;NW_009254218.1;NW_009246372.1;NW_009243957.1;NW_009254119.1;NW_009251850.1;NW_009247047.1;NW_009247393.1;NW_009254985.1;NW_009243413.1;NW_009246137.1;NW_009253578.1;NW_009249301.1;NW_009258107.1;NW_009248957.1;NW_009246442.1;NW_009246409.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	-4377.7969074	0	1.0	5
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009244874.1;NW_009243273.1;NW_009245655.1;NW_009245634.1;NW_009245524.1;NW_009246126.1	+;+;+;+;+;+	-7669.09094763	0.297075790459	0.25	8
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009243650.1	-	-4426.26183081	0.668435611181	0.428571428571	7
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009246013.1	-	-11632.5509388	0.015214063849	0.5	10
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009243653.1	+	955.559211016	0.181151685815	0.5	8
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009245046.1;NW_009257112.1;NW_009246455.1	+;+;+	-2823.74081571	0.729569839723	0.4	5
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009246560.1	+	-4793.10036302	0.691927755064	0.4	5
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009258100.1	+	5770.50384709	0.083040152941	0.583333333333	24
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009245540.1;NW_009244480.1	-;-	-5231.45107972	0.61401345363	0.333333333333	6
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009243217.1;NW_009244858.1	-;-	-8254.43379583	0.961651998794	0.4	5
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009243889.1;NW_009251975.1;NW_009243793.1;NW_009245998.1	+;+;+;+	-1739.87770271	0.340868660041	0.444444444444	9
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009243984.1	-	-8922.95327139	0.466288810393	0.333333333333	6
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009244463.1;NW_009245940.1;NW_009246111.1;NW_009248618.1;NW_009248470.1;NW_009246106.1;NW_009244901.1	+;+;+;+;+;+;+	-2463.56843266	0.631943751211	0.5	6
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009246126.1;NW_009245524.1;NW_009245634.1;NW_009245655.1;NW_009243273.1;NW_009244874.1	-;-;-;-;-;-	-3440.22237921	0.405992803813	0.5	8
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009244455.1;NW_009258084.1;NW_009243269.1;NW_009244218.1;NW_009246117.1;NW_009257332.1;NW_009252066.1;NW_009244324.1;NW_009246429.1;NW_009246444.1;NW_009243857.1;NW_009247070.1;NW_009255778.1;NW_009246141.1;NW_009249833.1;NW_009244338.1;NW_009246221.1;NW_009244915.1;NW_009244457.1;NW_009256003.1;NW_009245175.1;NW_009253828.1;NW_009245943.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-11687.6630047	0.110970651576	0.642857142857	28
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009246405.1;NW_009244766.1;NW_009258099.1	-;-;-	-1933.62283969	0.803568101564	0.333333333333	6
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009245785.1	+	-11637.9501922	0.0355520095047	0.0909090909091	11
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009245595.1;NW_009244446.1;NW_009255324.1;NW_009257950.1;NW_009245160.1;NW_009243383.1	-;-;-;-;-;-	-806.256713115	0.504038931325	0.25	8
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009244736.1;NW_009245088.1;NW_009243912.1;NW_009247466.1;NW_009245625.1	-;-;-;-;-	-3820.30073777	0.344540762203	0.375	8
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009245036.1	-	-11680.7032734	0.241876480036	0.682692307692	1456
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009245601.1	+	-3150.29361755	0.213091807692	0.666666666667	6
NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	NW_009245838.1;NW_009246555.1;NW_009257940.1;NW_009246021.1;NW_009245304.1	-;-;-;-;-	5028.02825049	0	1.0	5
NW_009245379.1;NW_009245361.1;NW_009247773.1;NW_009243347.1;NW_009246539.1	-;-;-;-;-	NW_009245375.1	+	-8724.01036197	0	1.0	6
NW_009245379.1;NW_009245361.1;NW_009247773.1;NW_009243347.1;NW_009246539.1	-;-;-;-;-	NW_009244574.1	+	131.2099264	0.338647921419	0.938596491228	114
NW_009245599.1	-	NW_009243670.1	+	252.298237041	0.465764603877	0.9375	112
NW_009245937.1;NW_009244319.1;NW_009244084.1;NW_009248558.1;NW_009245800.1;NW_009243880.1;NW_009255606.1;NW_009244214.1;NW_009246200.1	+;+;+;+;+;+;+;+;+	NW_009245777.1;NW_009246410.1;NW_009257635.1;NW_009245384.1;NW_009245165.1;NW_009256702.1;NW_009243894.1;NW_009245401.1;NW_009246139.1;NW_009244893.1;NW_009251288.1;NW_009245385.1;NW_009243693.1	+;+;+;+;+;+;+;+;+;+;+;+;+	504.103970507	0.543477644952	0.847457627119	118
NW_009245937.1;NW_009244319.1;NW_009244084.1;NW_009248558.1;NW_009245800.1;NW_009243880.1;NW_009255606.1;NW_009244214.1;NW_009246200.1	+;+;+;+;+;+;+;+;+	NW_009245782.1;NW_009246454.1;NW_009243354.1;NW_009256601.1;NW_009248447.1;NW_009243678.1;NW_009245938.1;NW_009243358.1;NW_009244850.1;NW_009250191.1;NW_009245158.1;NW_009244133.1;NW_009246525.1	+;+;+;+;+;+;+;+;+;+;+;+;+	-11835.8465044	0	1.0	5
NW_009245774.1;NW_009243884.1;NW_009246412.1;NW_009243725.1;NW_009245791.1	+;+;+;+;+	NW_009243517.1	-	421.375414316	0.524834118966	0.917050691244	217
NW_009245077.1	+	NW_009244889.1	+	-1092.20422649	0.493015131843	0.918918918919	185
NW_009243278.1;NW_009251128.1;NW_009255848.1;NW_009255677.1;NW_009249736.1;NW_009247429.1;NW_009250979.1;NW_009246017.1;NW_009243368.1;NW_009244223.1;NW_009243733.1;NW_009245354.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009243517.1	+	-5228.05366549	0.0320417643378	0.5	6
NW_009243278.1;NW_009251128.1;NW_009255848.1;NW_009255677.1;NW_009249736.1;NW_009247429.1;NW_009250979.1;NW_009246017.1;NW_009243368.1;NW_009244223.1;NW_009243733.1;NW_009245354.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009245038.1;NW_009248846.1;NW_009243398.1	+;+;+	-916.572944961	0.104365159279	0.230769230769	13
NW_009243278.1;NW_009251128.1;NW_009255848.1;NW_009255677.1;NW_009249736.1;NW_009247429.1;NW_009250979.1;NW_009246017.1;NW_009243368.1;NW_009244223.1;NW_009243733.1;NW_009245354.1	-;-;-;-;-;-;-;-;-;-;-;-	NW_009244087.1	-	-779.414185964	0.334272745462	0.923076923077	156
NW_009245494.1	-	NW_009246284.1	+	3401.8860395	0	1.0	6
NW_009244913.1;NW_009251444.1;NW_009243376.1	+;+;+	NW_009243367.1;NW_009254621.1;NW_009243307.1;NW_009245367.1	-;-;-;-	377.646039367	0.546732981526	0.916666666667	72
NW_009244913.1;NW_009251444.1;NW_009243376.1	+;+;+	NW_009245036.1	-	10008.7472859	0.00213974406756	0.166666666667	6
NW_009244913.1;NW_009251444.1;NW_009243376.1	+;+;+	NW_009243700.1;NW_009244717.1;NW_009246031.1	-;-;-	-10326.8382681	0.00137312899648	0.166666666667	6
NW_009244913.1;NW_009251444.1;NW_009243376.1	+;+;+	NW_009246365.1	-	-9286.08465496	0.00128025350536	0.142857142857	7
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009245391.1;NW_009246150.1	+;+	-6206.36018622	0.33585460446	0.125	8
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009244748.1;NW_009244588.1;NW_009246287.1;NW_009244855.1;NW_009245390.1;NW_009245861.1;NW_009244484.1;NW_009245017.1;NW_009252660.1;NW_009245493.1;NW_009243816.1;NW_009246502.1;NW_009244417.1;NW_009245583.1;NW_009245206.1;NW_009243513.1;NW_009245911.1;NW_009245198.1;NW_009245387.1;NW_009244686.1;NW_009246076.1;NW_009243203.1	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	-9765.18372744	0	1.0	5
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009246560.1	+	-9114.68718983	0	1.0	5
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009246450.1	+	-4782.78136431	0.915688259705	0.25	12
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009243650.1	+	566.261664137	0.704930025279	0.25	12
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009246292.1;NW_009253201.1;NW_009245605.1;NW_009246512.1;NW_009246105.1	+;+;+;+;+	-7522.12824567	0	1.0	9
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009245217.1;NW_009245789.1;NW_009244486.1	-;-;-	5248.13379293	0.591525188146	0.444444444444	9
NW_009243917.1;NW_009244447.1;NW_009245376.1;NW_009252579.1;NW_009252150.1;NW_009252743.1;NW_009251251.1;NW_009244583.1;NW_009249008.1;NW_009257333.1	+;+;+;+;+;+;+;+;+;+	NW_009244724.1	-	-10787.6395442	0.450164666683	0.230769230769	13
