scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009260020.1	-	NW_009259300.1	+	-317.511005402	0.362531371339	0.72131147541	61
NW_009260020.1	-	NW_009259652.1	-	-65.0967082977	0.139133599728	0.910112359551	89
NW_009259159.1	-	NW_009259724.1	-	198.033397675	0.123552418	0.833333333333	6
NW_009259159.1	-	NW_009259628.1	-	-331.714401245	0.553493921145	0.818181818182	22
NW_009259159.1	-	NW_009258575.1	-	215.200939178	0.17145745878	0.714285714286	7
NW_009269521.1	+	NW_009258579.1	+	21.9976568222	0.130971316407	0.914285714286	35
NW_009268995.1	-	NW_009269831.1	+	10.4846191406	0.139476455664	0.943820224719	89
NW_009259030.1	+	NW_009258274.1	+	2.66149275005	0.435529783054	0.904761904762	42
NW_009260844.1	+	NW_009260611.1	-	-3.3216451481	0.159966103571	0.863636363636	22
NW_009259226.1	-	NW_009260636.1	-	117.952682495	0.155992522685	0.846153846154	13
NW_009259178.1	+	NW_009259708.1	+	-4.09550611675	0.107247301058	0.846153846154	13
NW_009259312.1	+	NW_009258541.1	-	-1.51178342104	0.165778212033	0.906976744186	43
NW_009258675.1	+	NW_009259791.1	+	203.300512448	0.163707966005	0.833333333333	24
NW_009260178.1	-	NW_009259798.1	-	-260.941019513	0.113281927504	0.857142857143	14
NW_009259626.1	+	NW_009258496.1	+	122.752023995	0.182905378216	0.925	40
NW_009258810.1	-	NW_009260173.1	+	5.1759904623	0.102130893487	0.857142857143	14
NW_009258301.1	+	NW_009260678.1	-	-7.6991404146	0.116414585774	0.931818181818	44
NW_009259236.1	+	NW_009260407.1	+	-1.4322982356	0.144556540841	0.911111111111	45
NW_009268749.1	-	NW_009268865.1	+	-423.185195923	0.133011470513	0.785714285714	14
NW_009260860.1	+	NW_009260794.1	-	-142.454159021	0.10001913159	0.769230769231	13
NW_009258499.1	-	NW_009260857.1	-	-0.166727900505	0.142130074435	0.928571428571	42
NW_009260834.1	+	NW_009260408.1	-	-1.06164108962	0.118746808091	0.934782608696	46
NW_009269643.1	+	NW_009268748.1	-	277.315887451	0.13873596802	0.777777777778	9
NW_009269048.1	+	NW_009269687.1	+	-4.02281188965	0.129839351112	0.9375	96
NW_009259044.1	+	NW_009259235.1	-	130.133717895	0.123192767928	0.904761904762	21
NW_009259568.1	+	NW_009258780.1	-	146.111340225	0.128543118147	0.791666666667	24
NW_009260707.1	-	NW_009269111.1	-	-7.4002571106	0.144940886347	0.939759036145	83
NW_009269039.1	+	NW_009259102.1	-	94.0390385985	0.0833816052559	0.9	10
NW_009260710.1	+	NW_009268974.1	+	-102.314422607	0.964045050297	0.818181818182	44
NW_009260403.1	+	NW_009260538.1	+	-4.41483944654	0.216375910652	0.891891891892	37
NW_009259332.1	+	NW_009260504.1	-	-363.947821975	0.107251926869	0.714285714286	7
NW_009259584.1	+	NW_009258758.1	-	0.383971825242	0.480602397625	0.921568627451	51
NW_009260269.1	+	NW_009258563.1	+	173.38027288	0.184347600512	0.842105263158	19
NW_009269994.1	-	NW_009258539.1	-	27.8068576977	0.195984453011	0.891891891892	37
NW_009259829.1	-	NW_009259334.1	+	-170.714147568	0.309486527344	0.470588235294	17
NW_009258508.1	+	NW_009260083.1	-	-355.589221954	0.804307001043	0.666666666667	6
NW_009258508.1	+	NW_009260061.1	-	-145.819831848	0.251016094672	0.939873417722	316
NW_009260668.1	+	NW_009258292.1	+	5.40514290333	0.124838001737	0.909090909091	33
NW_009260065.1	-	NW_009259075.1	-	82.8490409255	0.219791977281	0.777777777778	9
NW_009260361.1	+	NW_009259431.1	-	0.839038789272	0.111637573763	0.911111111111	45
NW_009260423.1	+	NW_009260557.1	+	-366.717468262	0.715673329494	0.777777777778	45
NW_009258375.1	-	NW_009260488.1	-	-441.350409985	0.113765747391	0.7	10
NW_009258834.1	-	NW_009269514.1	+	-86.951089859	0.173013953174	0.875	16
NW_009260809.1	+	NW_009258496.1	-	2.15644478798	0.174277379386	0.927272727273	55
NW_009268584.1	+	NW_009269060.1	-	296.747192383	0.181294167486	0.875	24
NW_009260486.1	-	NW_009260871.1	+	13.490344286	0.201382632696	0.904761904762	21
NW_009259588.1	+	NW_009259480.1	-	-5.05520704761	0.147413137478	0.914893617021	47
NW_009260496.1	+	NW_009258264.1	-	99.5541568696	0.139964623631	0.833333333333	18
NW_009259764.1	+	NW_009259523.1	-	-245.668080211	0.113127149831	0.818181818182	11
NW_009260490.1	-	NW_009258550.1	-	75.8400244713	0.196255541987	0.75	8
NW_009260065.1	+	NW_009259711.1	+	-14.8790358007	0.122307549108	0.909090909091	33
NW_009260607.1	+	NW_009258788.1	+	-163.043477237	0.567108851113	0.684210526316	38
NW_009260786.1	-	NW_009260774.1	+	-117.454022579	0.943043517332	0.7	30
NW_009260406.1	+	NW_009260284.1	+	-447.744045258	0.0978238188206	0.666666666667	9
NW_009260406.1	+	NW_009258984.1	+	-43.4601402283	0.0475710982078	0.6	5
NW_009260502.1	-	NW_009258303.1	+	-5.81716412306	0.134309643753	0.885714285714	35
NW_009258551.1	+	NW_009258753.1	-	51.5301151276	0.135772162927	0.884615384615	26
NW_009258727.1	+	NW_009258268.1	-	9.95126779005	0.117100951197	0.892857142857	28
NW_009258895.1	-	NW_009260167.1	+	-85.9196014404	0.435722392064	0.826086956522	23
NW_009269890.1	-	NW_009266282.1	-	489.974874616	0.27220731255	0.727272727273	11
NW_009269994.1	+	NW_009259184.1	+	1.16007387638	0.134638477953	0.907407407407	54
NW_009258757.1	+	NW_009260685.1	+	-217.849087954	0.751005952405	0.65	40
NW_009259317.1	-	NW_009259857.1	+	260.434385285	0.11203521558	0.842105263158	19
NW_009258392.1	-	NW_009269216.1	-	-256.55991888	0.309153951696	0.6	10
NW_009260174.1	+	NW_009258784.1	-	174.510507137	0.137295379835	0.888888888889	36
NW_009260364.1	-	NW_009260286.1	-	-247.739748619	0.232727745699	0.85	20
NW_009259313.1	+	NW_009258284.1	-	-8.84662442654	0.12780700704	0.914893617021	47
NW_009260490.1	+	NW_009259418.1	+	34.8609113693	0.116008460198	0.916666666667	48
NW_009258370.1	-	NW_009259494.1	-	-289.581609905	0.111801427586	0.8	5
NW_009260155.1	-	NW_009258668.1	+	42.1181704104	0.145999699754	0.882352941176	17
NW_009260171.1	-	NW_009258886.1	-	-0.35081744194	0.102806132409	0.888888888889	27
NW_009269846.1	-	NW_009269597.1	+	354.227584839	0.253950951508	0.833333333333	12
NW_009260352.1	+	NW_009259985.1	+	-128.85244751	0.133829477588	0.842105263158	19
NW_009259445.1	+	NW_009260578.1	+	-199.920303345	0.440842865752	0.735849056604	53
NW_009260813.1	+	NW_009259789.1	+	-3.60928758979	0.108551008751	0.923076923077	39
NW_009260369.1	-	NW_009269866.1	-	-124.918158054	0.0781726059448	0.666666666667	9
NW_009260172.1	-	NW_009259779.1	-	-513.114598393	0.127118146216	0.428571428571	7
NW_009258367.1	-	NW_009260365.1	+	103.948677063	0.11469541713	0.818181818182	11
NW_009258383.1	-	NW_009258758.1	+	307.604612771	0.194456294451	0.789473684211	19
NW_009260676.1	+	NW_009258543.1	+	-162.166938633	0.67305720931	0.651162790698	43
NW_009259506.1	+	NW_009259120.1	+	328.788985491	0.165382612259	0.888888888889	9
NW_009258384.1	-	NW_009260436.1	-	1.89077091217	0.37167968457	0.888888888889	18
NW_009258272.1	+	NW_009259315.1	-	-65.3203835413	0.113539698184	0.882352941176	34
NW_009260683.1	+	NW_009260271.1	+	-216.676273793	0.495021669137	0.5	22
NW_009260608.1	+	NW_009260023.1	+	-2.78349690139	0.129992545631	0.928571428571	42
NW_009259527.1	-	NW_009259965.1	+	-0.0484375208616	0.332517145797	0.846153846154	26
NW_009259133.1	-	NW_009258687.1	+	98.5626606941	0.119623890777	0.888888888889	18
NW_009259612.1	+	NW_009260480.1	-	-437.417816162	0.109685492443	0.714285714286	7
NW_009259151.1	+	NW_009259334.1	+	-574.871311188	0.104691156467	0.833333333333	6
NW_009258840.1	+	NW_009258684.1	+	-161.539070368	0.135223974602	0.846153846154	26
NW_009258840.1	+	NW_009259978.1	+	49.8015630245	0.133705208697	0.714285714286	7
NW_009258840.1	+	NW_009258496.1	-	-391.817787886	0.139975331106	0.846153846154	39
NW_009260151.1	-	NW_009258793.1	-	71.7828315496	0.162414351003	0.888888888889	18
NW_009259989.1	+	NW_009260945.1	+	7.29916862398	0.130704329328	0.906976744186	43
NW_009260607.1	-	NW_009258797.1	-	-2.59700350463	0.119808564754	0.904761904762	42
NW_009268887.1	+	NW_009260137.1	-	-2.91183233261	0.317472862287	0.875	40
NW_009268887.1	+	NW_009260137.1	+	-4.46440458298	0.135752989934	0.894736842105	38
NW_009259602.1	+	NW_009259273.1	-	126.287731677	0.147615806621	0.892857142857	28
NW_009259155.1	+	NW_009260183.1	-	59.252974987	0.106653252587	0.875	16
NW_009258883.1	-	NW_009258226.1	-	-283.15927285	0.168446701445	0.777777777778	9
NW_009258383.1	+	NW_009258218.1	+	325.764148105	0.190747844833	0.833333333333	24
NW_009259435.1	-	NW_009258388.1	-	-48.2865197212	0.145252832751	0.9375	48
NW_009258294.1	+	NW_009259234.1	-	2.14745037258	0.32299056713	0.869565217391	23
NW_009260521.1	-	NW_009259690.1	+	-205.539209127	0.458917756716	0.666666666667	15
NW_009269175.1	+	NW_009268829.1	+	117.073242188	0.116157908847	0.882352941176	17
NW_009269857.1	+	NW_009269919.1	+	32.7165603638	0.0757944003856	0.8	15
NW_009269275.1	-	NW_009269239.1	-	2.08508300781	0.144678869674	0.936842105263	95
NW_009260124.1	-	NW_009260187.1	+	-521.545283794	0.128178935525	0.911764705882	34
NW_009258621.1	-	NW_009269089.1	-	473.692971908	0.307272899686	0.8	15
NW_009258834.1	+	NW_009260144.1	+	83.3018290997	0.108252818855	0.818181818182	11
