scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
42086__len__12888	+	23928__len__7495	+	-243	0.810374452796	0.748717948718	195
42086__len__12888	+	23928__len__7495	-	-1868.16094265	0.895361559126	0.666666666667	18
47724__len__13062	+	3005__len__24480	+	-2626.16094265	0.594080109225	0.47619047619	21
47724__len__13062	+	4320__len__18999	+	-2819.16094265	0.656610087651	0.538461538462	13
47724__len__13062	+	106368__len__12949	-	-3893.16094265	0.258017523747	0.428571428571	7
47724__len__13062	+	97044__len__9139	-	-4429.16094265	0.000810422642404	0.166666666667	12
47724__len__13062	+	148588__len__24245	+	-3703.16094265	0.337650233296	0.111111111111	9
47724__len__13062	+	7724__len__17053	-	-4034.16094265	0.12435297613	0.0769230769231	13
47724__len__13062	+	105840__len__8517	+	-4351.16094265	0.18626075947	0.181818181818	11
47724__len__13062	+	34894__len__14125	+	-2787.16094265	0.635299054012	0.4	10
47724__len__13062	+	112027__len__10392	-	-3317.16094265	0.152924090802	0.166666666667	6
47724__len__13062	+	94075__len__15906	-	-2711.16094265	0.899477278026	0.571428571429	14
47724__len__13062	+	109530__len__10633	-	-3825.16094265	0.335636009353	0.2	10
71027__len__77392	+	52966__len__7491	+	-3398.16094265	0.145453120222	0.571428571429	14
71027__len__77392	+	38975__len__19962	-	-3297.16094265	0.28350573718	0.458333333333	24
71027__len__77392	+	29430__len__7510	+	-3384.16094265	0.0546806330288	0.666666666667	21
71027__len__77392	+	75987__len__26063	+	-3388.16094265	0.0542133623855	0.2	10
71027__len__77392	+	5785__len__16966	-	-3472.16094265	0.017972149453	0.6	5
71027__len__77392	+	256129__len__25244	+	-3962.16094265	0.117142706319	0.75	12
71027__len__77392	+	13267__len__14778	+	-3400.16094265	0.0625911063012	0.521739130435	23
71027__len__77392	+	89610__len__7686	+	-3127.16094265	0.371517144684	0.4	5
71027__len__77392	+	35462__len__9333	-	-4513.16094265	0.0280392285577	0.5	8
71027__len__77392	+	98646__len__8530	+	-4391.16094265	0.0638438537718	0.806451612903	31
71027__len__77392	+	25998__len__6983	-	-3883.16094265	0.0703569199833	0.285714285714	7
71027__len__77392	+	28521__len__12967	-	-3171.16094265	0.170459588115	0.428571428571	7
71027__len__77392	+	73592__len__10113	+	-3390.16094265	0.297390823881	0.571428571429	7
71027__len__77392	+	10723__len__7526	-	-3419.16094265	0.133485879922	0.6	50
71027__len__77392	+	77310__len__15485	+	-4144.16094265	0.248981763844	0.444444444444	9
71027__len__77392	+	42327__len__31073	-	-3318.16094265	0.120880492889	0.583333333333	12
71027__len__77392	+	52890__len__17634	-	-3018.16094265	0.553367488809	0.454545454545	11
71027__len__77392	+	42148__len__8279	+	-3392.16094265	0.407450510948	0.2	5
71027__len__77392	+	36437__len__15002	+	-3382.16094265	0.198798124315	0.416666666667	12
106447__len__7672	+	11994__len__9948	+	3230.59943446	0.00339898026688	0.4	5
106447__len__7672	+	83240__len__17087	+	1363.39794793	0.00487793105321	0.6	5
40292__len__26903	+	182164__len__17430	-	-4218.16094265	0.190133010086	0.37037037037	27
40292__len__26903	+	73228__len__7114	+	3752	0.984647212304	0.333333333333	6
40292__len__26903	+	103904__len__21975	+	-3422.16094265	0.346496267905	0.333333333333	6
40292__len__26903	+	35946__len__12323	-	2263	0.857667935762	0.5	22
40292__len__26903	+	128375__len__13938	+	-1885.16094265	0.322175409605	0.2	5
40292__len__26903	+	126365__len__26204	-	3599	0.50833064832	0.448275862069	29
40292__len__26903	+	91862__len__11454;139155__len__25538	+;+	-1471.16094265	0.258326640243	0.384615384615	13
9683__len__12140	+	185682__len__7676	+	-4422.16094265	0.00483973371621	0.5	10
71445__len__36525	-	129996__len__31454	-	-3877.16094265	0.38355551436	0.166666666667	6
20076__len__16295	+	156649__len__11486	+	-3998.16094265	0.275659606352	0.0909090909091	11
20076__len__16295	+	89295__len__8968	+	-3907.16094265	0.0929504373398	0.444444444444	18
20076__len__16295	+	60098__len__18033	+	-3533.16094265	0.0032629478052	0.571428571429	7
20076__len__16295	+	59035__len__7524	-	-3715.16094265	0.0470639523177	0.285714285714	14
20076__len__16295	+	72256__len__24446	+	-4013.16094265	0.359347079741	0.222222222222	36
20076__len__16295	+	5850__len__9197	-	-3869.16094265	0.146898834019	0.166666666667	12
57933__len__21224	-	36436__len__16138	-	627.819595955	0.649963355797	0.577777777778	45
57933__len__21224	-	98646__len__8530	+	-1641.6753975	0.536719036725	0.5	8
57933__len__21224	-	103904__len__21975	+	-2978.16094265	0.726810157598	0.444444444444	9
57933__len__21224	-	73592__len__10113	+	-208.751364765	0.874273576408	0.363636363636	11
57933__len__21224	-	89610__len__7686	-	-3062.16094265	0.552103665342	0.428571428571	14
57933__len__21224	-	61508__len__13388	-	-3863.16094265	0.0458161246285	0.666666666667	6
57933__len__21224	-	42327__len__31073	-	426.011162673	0.338415062646	0.5	6
60636__len__9364	+	329__len__9951	+	-2573.16094265	0.00500960032995	0.545454545455	11
109044__len__7983	+	16073__len__11793	-	-2984.16094265	0.644129859617	0.5	8
109044__len__7983	+	28756__len__7640	-	-3390.16094265	0.0526620324211	0.2	5
109044__len__7983	+	139170__len__15495	+	-2816.16094265	0.688301708624	0.4	5
109044__len__7983	+	26200__len__15036	+	-4285.16094265	0.0865285613882	0.4	5
82632__len__13115	-	94537__len__8108	-	-3267.16094265	0.919806780533	0.428571428571	7
82632__len__13115	-	77817__len__13731	+	-3920.16094265	0.499198533816	0.428571428571	7
82632__len__13115	-	99765__len__8598	-	-1975.16094265	0.73820467101	0.428571428571	7
82632__len__13115	-	200354__len__7078	-	-2307.16094265	0.869386314461	0.333333333333	6
82632__len__13115	-	58952__len__10646	-	-2790.16094265	0.99531276453	0.5	8
82632__len__13115	-	97044__len__9139	-	-2324.16094265	0.683857649246	0.333333333333	6
82632__len__13115	-	161250__len__8814	+	-947.160942649	0.759966239337	0.545454545455	11
82632__len__13115	-	148588__len__24245	+	-1626.16094265	0.718942909782	0.5	6
82632__len__13115	-	7724__len__17053	-	-2119.16094265	0.775933373267	0.428571428571	7
82632__len__13115	-	105840__len__8517	+	-2133.16094265	0.841341375999	0.454545454545	11
82632__len__13115	-	27620__len__12652	-	-2156.16094265	0.81150144704	0.4	5
82632__len__13115	-	138421__len__11755	-	-4014.16094265	0.00422103557996	0.428571428571	7
82632__len__13115	-	70584__len__15717	-	-2885.16094265	0.913077165684	0.454545454545	11
82632__len__13115	-	25150__len__12867	-	-2424.16094265	0.990443137705	0.285714285714	7
82632__len__13115	-	106368__len__12949	-	-1978.16094265	0.809416698792	0.384615384615	13
82632__len__13115	-	94075__len__15906	-	-199.815736303	0.899912790323	0.384615384615	13
82632__len__13115	-	1416__len__9268	-	-3287.16094265	0.724465862432	0.4	5
82632__len__13115	-	109530__len__10633	-	-1719.16094265	0.683857649246	0.333333333333	6
82632__len__13115	-	86815__len__8127	+	-4280.16094265	0.00944593493217	0.461538461538	13
10296__len__17777	+	13219__len__13353	+	-2615.16094265	0.66753374973	0.5	14
10296__len__17777	+	84849__len__9435	+	-3289.16094265	0.00247040768424	0.4	5
151497__len__7254	-	79246__len__8960	-	-2873.16094265	0.00238823325084	0.6	5
151497__len__7254	-	27332__len__11031	+	-4129.16094265	0.00238823325084	0.6	5
86425__len__11779	+	69771__len__21429	+	263.370243506	0.813579850362	0.759259259259	54
10063__len__14752	-	3459__len__7798	+	-2481.16094265	0.51177729322	0.5	22
10063__len__14752	-	16524__len__8101	+	-2242.16094265	0.0216839693756	0.285714285714	14
10063__len__14752	-	3009__len__9796	+	-4022.16094265	0.0325974154904	0.285714285714	7
10063__len__14752	-	105840__len__8517	-	-4557.16094265	0.00554975256442	0.5	8
10063__len__14752	-	156048__len__14905	-	-3093.16094265	0.0355745160805	0.448275862069	29
10063__len__14752	-	121269__len__7453	+	-2805.16094265	0.0207580006503	0.411764705882	17
10063__len__14752	-	130387__len__13219	-	-4507.16094265	0.0231229599505	0.363636363636	11
10063__len__14752	-	31704__len__12067	+	-4403.16094265	0.00524868254249	0.5	6
10063__len__14752	-	97925__len__16625	-	-3647.16094265	0.00707457415539	0.555555555556	9
10063__len__14752	-	62586__len__16614	-	-3941.16094265	0.143480148036	0.1875	16
75609__len__14374	+	103904__len__21975	+	-3635.16094265	0.518005149519	0.2	5
75609__len__14374	+	53516__len__15246	-	-3470.16094265	0.00290541114607	0.4	5
5035__len__7791	+	103904__len__21975	+	-4169.16094265	0.0939359095704	0.444444444444	9
26442__len__8876	+	162632__len__7306	-	-3369.16094265	0.188556271009	0.555555555556	9
136063__len__10307	+	62177__len__11858	+	-3396.16094265	0.00238823325084	0.6	5
136063__len__10307	+	130069__len__7092	+	-2531.16094265	0.0633771891432	0.166666666667	6
136063__len__10307	+	133435__len__7128	+	-3879.16094265	0.00282579569052	0.5	6
87788__len__8758	-	62934__len__11881	-	-3799.16094265	0.255227329695	0.285714285714	14
87788__len__8758	-	38975__len__19962	-	-1407.59443237	0.217002895132	0.2	5
87788__len__8758	-	45579__len__19023	+	-3560.16094265	0.250246236456	0.181818181818	11
77310__len__15485	+	33367__len__10607	-	-3086.16094265	0.730973775623	0.666666666667	6
77310__len__15485	+	33367__len__10607	+	-230	0.839665421041	0.577639751553	161
180052__len__8641	+	256129__len__25244	+	-1116.75346463	0.397870767726	0.444444444444	9
180052__len__8641	+	186102__len__12842	-	-3800.16094265	0.186638862367	0.4	5
180052__len__8641	+	204614__len__8242	-	-85.7993798537	0.251916838716	0.333333333333	6
180052__len__8641	+	30921__len__21370	+	-2551.16094265	0.251197638447	0.4	5
180052__len__8641	+	16937__len__20511	+	-1174.09934455	0.353201758611	0.65	20
72662__len__9290	-	88562__len__11601	-	-3645.16094265	0.00238823325084	0.6	5
7847__len__8348	-	94247__len__8433	-	3310.19180427	0.00295284536326	0.4	5
106447__len__7672	-	89398__len__12944	-	-4153.16094265	0.00333294960579	0.428571428571	7
106447__len__7672	-	90219__len__8204	+	-4299.16094265	0.00349912169661	0.5	6
70878__len__12079	-	85851__len__10662	-	-3487.16094265	0.455462307987	0.5	8
109357__len__11484	-	132452__len__8933	-	-1903.16094265	0.508139065312	0.384615384615	13
82808__len__5394	+	62177__len__11858	+	-4123.16094265	0.00493311339059	0.571428571429	7
82808__len__5394	+	183852__len__8973	+	-3373.16094265	0.0151234924437	0.473684210526	19
11652__len__9220	-	78446__len__17192	+	-3730.16094265	0.00414625257136	0.461538461538	13
11652__len__9220	-	5471__len__9041	+	-3539.16094265	0.000827308266156	0.5	6
11652__len__9220	-	23125__len__7592	-	-2858.16094265	0.705113473926	0.5	8
11652__len__9220	-	87086__len__9872	+	-3051.16094265	0.732002140398	0.4	5
11652__len__9220	-	88562__len__11601	+	-4427.16094265	0.00763890105857	0.461538461538	13
11652__len__9220	-	150367__len__8458	-	-2534.16094265	0.989746488463	0.285714285714	7
11652__len__9220	-	47314__len__11072	-	-2490.16094265	0.965383968006	0.4	5
11652__len__9220	-	7094__len__18428	-	-3682.16094265	0.273055430558	0.416666666667	12
11652__len__9220	-	129722__len__11711	-	-2158.16094265	0.432307095901	0.5	6
11652__len__9220	-	30816__len__14353	-	-3197.16094265	0.0608390409056	0.4	5
11652__len__9220	-	27332__len__11031	+	-3304.16094265	0.00202648311249	0.4	5
11652__len__9220	-	55501__len__7193	-	-3753.16094265	0.0593429967482	0.625	8
11652__len__9220	-	55501__len__7193	+	-3864.16094265	0.0321294677178	0.625	16
74299__len__8640	+	59492__len__14512	+	-4166.16094265	0.00358234987626	0.6	5
74299__len__8640	+	16524__len__8101	+	-4374.16094265	0.00584995285131	0.5	6
32312__len__12977	+	71993__len__8281	+	279	0.709587656268	0.619047619048	21
16692__len__20882	-	294__len__19533	-	2638	0.850210668169	0.642857142857	14
72129__len__12817	+	329__len__9951	+	-2885.16094265	0.00238823325084	0.6	5
72129__len__12817	+	44013__len__9517	-	-2375.16094265	0.463823242882	0.4	5
72129__len__12817	+	97044__len__9139	+	-3635.16094265	0.00400419986312	0.444444444444	9
72129__len__12817	+	132002__len__12829	-	-3070.16094265	0.450638604579	0.2	5
72129__len__12817	+	67638__len__19506	-	-3612.16094265	0.607063202945	0.5	8
72129__len__12817	+	34724__len__23685	+	-4152.16094265	0.00238823325084	0.6	5
107893__len__9441	+	69564__len__8128	+	-3381.16094265	0.00238823325084	0.6	5
107893__len__9441	+	9110__len__9261	-	-2156.16094265	0.0155134525452	0.285714285714	7
107893__len__9441	+	69000__len__18170	-	-3712.16094265	0.00290541114753	0.4	5
107893__len__9441	+	104410__len__22754	+	-4474.16094265	0.00238823325084	0.6	5
107893__len__9441	+	86815__len__8127	+	-2267.16094265	0.0122723730557	0.333333333333	12
107893__len__9441	+	12190__len__32609	+	93	0.966330381451	0.590909090909	66
107893__len__9441	+	44013__len__9517	+	-2690.16094265	0.0032629478052	0.571428571429	7
91351__len__7376	-	59020__len__7660	-	277.719768683	0.86334751204	0.772727272727	66
91351__len__7376	-	59020__len__7660	+	-1407.16094265	0.771597116696	0.5	6
75121__len__8156	+	91359__len__8989	-	-2130.16094265	0.00357438023374	0.5	6
117673__len__7219	+	42733__len__12170	+	161.753856741	0.444078162426	0.230769230769	13
117673__len__7219	+	6198__len__8470	-	-12.1898051368	0.0148198805567	0.333333333333	6
117673__len__7219	+	88562__len__11601	-	-4337.16094265	0.0141531788335	0.4	5
95801__len__8464	+	108687__len__16254	-	-2504.16094265	0.170176157395	0.4	5
40518__len__22018	+	9582__len__18385	-	-2596.16094265	0.631542668649	0.4	5
9802__len__9164	+	22696__len__13565	-	-3212.16094265	0.313545969513	0.428571428571	7
6101__len__21362	+	41625__len__7474	+	342.719798737	0.908640926636	0.730769230769	26
52892__len__9030	-	46198__len__14356	-	68	0.835634146653	0.634146341463	82
16073__len__11793	+	197847__len__13294	+	-2171.16094265	0.551452404272	0.607142857143	28
16073__len__11793	+	197847__len__13294	-	-3056.16094265	0.665721892843	0.444444444444	9
16073__len__11793	+	131467__len__14035	-	-1511.16094265	0.911017165611	0.666666666667	9
16073__len__11793	+	46626__len__8585	+	-2292.16094265	0.0541065298524	0.4	5
16073__len__11793	+	17337__len__8487	+	-3440.16094265	0.516224674299	0.571428571429	7
54679__len__11742	-	72249__len__11762	-	-2164.16094265	0.00326294780485	0.5	6
54679__len__11742	-	72263__len__11625	-	-3615.16094265	0.00381192181408	0.428571428571	7
54679__len__11742	-	76824__len__15185	-	-2531.16094265	0.00349912169467	0.666666666667	6
54679__len__11742	-	73435__len__7211	+	-3730.16094265	0.00282579569052	0.5	6
54679__len__11742	-	59152__len__8260	-	-1512.17297403	0.796375586859	0.333333333333	6
185993__len__15011	-	13503__len__9685	-	66.7822469051	0.870123586924	0.693548387097	62
