contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
KB666937	1221	121194.2	5477.0	2548.0	Yes
KB666182	2496	104188.6	4708.0	2548.0	Yes
KB666715	1420	101600.9	4592.0	2548.0	Yes
KB666824	1337	92901.9	4198.0	2548.0	Yes
KB667135	1113	89667.6	4052.0	2548.0	Yes
KB666975	1169	85346.4	3857.0	2548.0	Yes
KB666495	1724	64288.4	2905.0	2548.0	Yes
KB666618	1599	60794.6	2747.0	2548.0	Yes
KB666822	1401	60107.0	2716.0	2548.0	Yes
KB666359	2098	50045.4	2262.0	2548.0	Yes
KB666501	1714	46432.6	2098.0	2548.0	Yes
KB666482	1737	45201.9	2043.0	2548.0	Yes
KB666061	2729	35987.2	1626.0	2548.0	No
KB667947	10776	32271.2	1458.0	2548.0	No
KB665468	5018	30458.2	1376.0	2548.0	No
KB667668	14969	29081.8	1314.0	2548.0	No
KB667068	1197	27269.5	1232.0	2548.0	Yes
KB666562	1706	25727.6	1163.0	2548.0	Yes
KB666244	11736	25157.6	1137.0	2548.0	No
KB666418	1819	21678.6	980.0	2548.0	Yes
KB665608	4221	18180.7	822.0	2548.0	No
KB667025	1217	17414.8	787.0	2548.0	Yes
KB668123	6249	15220.0	688.0	2548.0	No
KB665612	4214	14835.4	670.0	2548.0	No
KB666521	1729	14508.1	656.0	2548.0	Yes
KB665685	3812	13525.4	611.0	2548.0	No
KB667345	1081	10392.7	470.0	2548.0	Yes
KB667797	10166	10311.5	466.0	2548.0	No
KB666556	1709	10253.1	463.0	2548.0	Yes
