contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
KB668368	1484	92330.5	3141.0	197.0	No
KB669595	1269	76312.0	2596.0	197.0	No
KB668550	1133	76281.9	2595.0	197.0	No
KB668634	1018	73595.1	2504.0	197.0	No
KB668507	1200	62474.6	2125.0	197.0	No
KB668449	1248	59441.3	2022.0	197.0	No
KB668476	1211	46031.2	1566.0	197.0	No
KB668392	1322	38205.6	1300.0	197.0	No
KB668535	1083	20321.4	691.0	197.0	No
KB668390	1388	14871.4	506.0	197.0	No
KB668463	1224	13633.9	464.0	197.0	No
