#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_funestus	KB668234	AFUN000001	+	37198	43131	4	37198-37766:37837-38415:41931-42452:42549-43131
Anopheles_funestus	KB668234	AFUN000002	+	76151	79717	4	76151-76782:76848-77744:78101-78775:78850-79717
Anopheles_funestus	KB668234	AFUN000003	-	81179	81802	1	81179-81802
Anopheles_funestus	KB668234	AFUN000004	+	98935	103942	3	98935-98941:99630-102826:103940-103942
Anopheles_funestus	KB668234	AFUN000005	+	144461	145399	2	144461-144701:144915-145399
Anopheles_funestus	KB668234	AFUN000006	-	147486	148127	1	147486-148127
Anopheles_funestus	KB668234	AFUN000007	+	152367	155909	5	152367-152811:152880-153515:154355-154508:155591-155677:155765-155909
Anopheles_funestus	KB668234	AFUN000008	-	162051	173506	13	162051-162121:163617-163785:163867-164016:164577-164673:164748-164975:165053-165323:166492-166621:166773-166879:167128-167370:170211-170312:170407-170526:171301-171426:173383-173506
Anopheles_funestus	KB668234	AFUN000009	-	189534	191687	4	189534-189678:189759-190122:190212-191232:191316-191687
Anopheles_funestus	KB668234	AFUN000010	-	193822	201253	13	193822-193941:194011-195158:195233-195362:195490-195512:196229-196821:198517-198829:198914-199093:199176-199295:199362-199565:200038-200319:200398-200551:200840-201006:201157-201253
Anopheles_funestus	KB668234	AFUN000011	-	206093	209693	5	206093-206182:206276-206428:206516-206644:206724-206831:209598-209693
Anopheles_funestus	KB668234	AFUN000012	-	238257	250679	11	238257-238272:238616-238979:239064-239258:239338-239584:239653-240142:240225-240416:240489-240956:241039-241508:243670-244244:244331-244464:246367-250679
Anopheles_funestus	KB668234	AFUN000013	+	253295	254031	4	253295-253347:253412-253527:253598-253727:253809-254031
Anopheles_funestus	KB668234	AFUN000014	-	254175	256362	2	254175-256268:256327-256362
Anopheles_funestus	KB668234	AFUN000015	-	261216	262787	2	261216-262657:262754-262787
Anopheles_funestus	KB668234	AFUN000016	-	280420	280752	1	280420-280752
Anopheles_funestus	KB668234	AFUN000017	+	285171	295959	7	285171-286207:286297-286637:286709-287972:288662-290031:290102-291495:292683-293737:294117-295959
Anopheles_funestus	KB668234	AFUN000018	-	298057	299922	4	298057-298160:298242-298407:298476-299063:299833-299922
Anopheles_funestus	KB668234	AFUN000019	+	309785	310939	1	309785-310939
Anopheles_funestus	KB668234	AFUN000020	-	333527	336863	3	333527-333789:333874-335017:336759-336863
Anopheles_funestus	KB668234	AFUN000021	+	338017	339318	1	338017-339318
Anopheles_funestus	KB668234	AFUN000022	-	341221	345744	8	341221-341235:342210-342625:342694-342824:343153-343542:344512-344564:344674-344975:345304-345490:345556-345744
Anopheles_funestus	KB668234	AFUN000023	-	355852	365592	11	355852-356155:356218-356290:356367-356388:357731-358165:358243-358396:358456-359565:360889-361013:361083-361131:362868-363777:363854-363997:365556-365592
Anopheles_funestus	KB668234	AFUN000024	+	365827	373996	8	365827-365947:366022-366984:368376-368498:368563-369441:369513-369616:371192-371336:372754-373755:373839-373996
Anopheles_funestus	KB668234	AFUN000025	-	377479	384250	4	377479-379119:379209-381333:382478-382638:384227-384250
Anopheles_funestus	KB668234	AFUN000026	-	388373	389560	2	388373-388470:389371-389560
Anopheles_funestus	KB668234	AFUN000027	-	393541	394613	3	393541-394141:394207-394479:394555-394613
Anopheles_funestus	KB668234	AFUN000028	+	395256	398485	2	395256-398065:398137-398485
Anopheles_funestus	KB668234	AFUN000029	-	398685	399671	1	398685-399671
Anopheles_funestus	KB668234	AFUN000030	-	400515	408031	5	400515-402273:402346-402695:402787-405364:405431-407637:407765-408031
Anopheles_funestus	KB668234	AFUN000031	-	409855	411594	1	409855-411594
Anopheles_funestus	KB668234	AFUN000032	+	412075	415432	2	412075-412166:412237-415432
Anopheles_funestus	KB668234	AFUN000033	-	417415	418647	5	417415-417504:417573-417702:417782-417989:418067-418138:418599-418647
Anopheles_funestus	KB668234	AFUN000034	+	419938	431187	9	419938-420003:420379-421311:423085-423110:424032-424183:424256-426085:426194-426421:429150-429256:430662-431013:431084-431187
Anopheles_funestus	KB668234	AFUN000035	+	436172	441783	6	436172-439947:440060-440273:440662-440943:441022-441387:441462-441578:441658-441783
Anopheles_funestus	KB668234	AFUN000036	+	446019	448303	3	446019-446261:446348-448101:448168-448303
