#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
ASINS	AXCK02015324	ASIS013072	-	17765	29452	7	17765-17845:17964-18131:18206-18406:20146-20619:20713-20986:21178-21649:28888-29452
ASINS	AXCK02015324	ASIS020909	+	24710	36317	3	24710-24740:28917-29329:36294-36317
ASINS	AXCK02015324	ASIS004051	-	43897	45148	2	43897-44829:44900-45148
ASINS	AXCK02015324	ASIS015609	+	46445	48243	3	46445-46776:46861-47497:47521-48243
ASINS	AXCK02015324	ASIS008181	+	50184	50771	1	50184-50771
ASINS	AXCK02015324	ASIS001806	-	51155	52479	4	51155-51257:51327-51449:51515-52350:52438-52479
ASINS	AXCK02015324	ASIS020615	+	52868	53987	2	52868-52883:52951-53987
ASINS	AXCK02015324	ASIS010479	-	54541	55717	3	54541-54646:54715-54973:55402-55717
ASINS	AXCK02015324	ASIS011239	+	57073	58038	1	57073-58038
ASINS	AXCK02015324	ASIS001382	-	59707	64861	4	59707-60905:61877-62130:62202-64719:64792-64861
ASINS	AXCK02015324	ASIS011955	+	89163	99390	3	89163-89488:89589-90118:99257-99390
ASINS	AXCK02015324	ASIS013981	-	102757	107723	7	102757-104273:104334-104556:105240-105603:105680-106346:106411-107018:107087-107229:107295-107723
ASINS	AXCK02017963	ASIS007356	-	1848	10898	4	1848-2073:2518-3116:7608-7847:9882-10898
ASINS	AXCK02017963	ASIS004503	+	7597	10368	2	7597-7867:10193-10368
ASINS	AXCK02017963	ASIS017558	-	17573	27167	8	17573-17715:17816-18075:20683-20894:20966-21584:22915-23520:23915-23942:24014-24175:27161-27167
ASINS	AXCK02018059	ASIS012380	-	22945	29608	4	22945-23055:24871-25103:27344-27430:29476-29608
ASINS	AXCK02018081	ASIS018990	-	962	4045	4	962-1140:1208-1356:1443-3075:3406-4045
ASINS	AXCK02018081	ASIS012111	+	5900	20984	5	5900-5939:10204-10364:19757-19906:20618-20698:20793-20984
ASINS	AXCK02018081	ASIS001468	+	27385	29156	3	27385-27571:28201-28661:29031-29156
ASINS	AXCK02018089	ASIS023610	+	4971	15879	12	4971-5559:6751-6823:6904-6944:7029-7217:7459-8599:8674-8885:9544-9751:9842-10033:10121-10183:10350-10675:10760-11157:14830-15879
ASINS	AXCK02018089	ASIS006189	+	21255	23806	5	21255-21305:21525-21587:21704-21832:21934-22223:22651-23806
ASINS	AXCK02018089	ASIS016268	+	25010	26657	3	25010-25213:25691-26223:26315-26657
ASINS	AXCK02018090	ASIS002904	-	12986	21288	7	12986-13063:16783-17203:20250-20371:20515-20588:20670-20853:20964-21037:21129-21288
ASINS	AXCK02018109	ASIS022080	-	61	7756	3	61-286:3623-4079:7729-7756
ASINS	AXCK02018180	ASIS008503	+	10448	27352	8	10448-10467:14986-15115:21023-21078:25054-25246:25345-25554:25630-25818:26973-27174:27255-27352
ASINS	AXCK02018233	ASIS000129	+	9856	14459	2	9856-10502:14387-14459
ASINS	AXCK02018273	ASIS011633	+	21947	25205	5	21947-22096:22935-23023:23525-23624:23703-23854:23918-25205
ASINS	AXCK02018318	ASIS021350	+	16500	24964	4	16500-20612:21216-22618:22740-24083:24595-24964
ASINS	AXCK02018332	ASIS010156	+	8024	20447	4	8024-8035:11438-11555:19001-19176:20412-20447
ASINS	AXCK02018333	ASIS004482	-	18419	21359	6	18419-18526:20091-20282:20351-20449:20694-20984:21054-21223:21290-21359
ASINS	AXCK02018398	ASIS017437	-	6776	24609	9	6776-6798:16591-16722:17359-17487:17622-17893:19699-20017:20123-20297:22607-23556:23705-24176:24331-24609
ASINS	AXCK02018398	ASIS008464	+	19649	24162	5	19649-19656:19712-19943:22953-23219:23268-23519:23815-24162
ASINS	AXCK02018436	ASIS008393	+	10949	18458	5	10949-11267:12328-12638:12701-15695:17361-17650:17727-18458
ASINS	AXCK02018455	ASIS019289	-	53	1573	3	53-355:436-710:784-1573
ASINS	AXCK02018455	ASIS018829	+	11617	16140	4	11617-12793:12863-13117:14893-15030:15866-16140
ASINS	AXCK02018455	ASIS007985	-	18938	23553	10	18938-19496:19567-20164:20254-20519:20583-20778:20842-20961:21610-21819:21885-22537:22605-22983:23125-23264:23351-23553
ASINS	AXCK02018494	ASIS007660	-	567	3528	4	567-1044:1120-1523:2234-2544:3522-3528
ASINS	AXCK02018560	ASIS005762	-	16422	21109	3	16422-18028:18908-19275:20946-21109
ASINS	AXCK02018645	ASIS016992	+	13401	13907	1	13401-13907
ASINS	AXCK02018645	ASIS011953	-	14358	15245	1	14358-15245
ASINS	AXCK02018645	ASIS017266	-	16853	18523	3	16853-17269:17350-17633:17776-18523
ASINS	AXCK02018646	ASIS019757	-	612	2663	5	612-896:989-1111:1998-2143:2205-2445:2625-2663
ASINS	AXCK02018646	ASIS013892	+	4163	8024	5	4163-4351:4429-4968:5043-5294:7339-7770:7908-8024
ASINS	AXCK02018674	ASIS013331	+	3500	8301	3	3500-3626:4425-4569:8223-8301
ASINS	AXCK02018744	ASIS023113	-	147	5041	7	147-452:1596-1974:2038-2267:2335-2534:2603-2806:2883-3073:4950-5041
ASINS	AXCK02018744	ASIS013920	-	8229	10106	3	8229-8645:8771-9279:9815-10106
ASINS	AXCK02018749	ASIS017187	+	9814	17285	6	9814-9913:11085-11845:11928-12090:12173-13513:13913-14638:17137-17285
ASINS	AXCK02018749	ASIS012096	-	12969	14147	3	12969-13166:13233-13390:13823-14147
ASINS	AXCK02018800	ASIS003087	-	6224	8103	2	6224-6311:7793-8103
ASINS	AXCK02018810	ASIS020217	-	814	9977	12	814-849:1668-1835:1909-2181:2264-2770:3084-3218:3831-4064:4130-4333:4402-5223:5774-7285:8272-8398:8478-9739:9816-9977
ASINS	AXCK02018810	ASIS020986	-	14276	18676	1	14276-18676
ASINS	AXCK02018866	ASIS011548	-	4314	12980	3	4314-4333:7507-8518:12744-12980
ASINS	AXCK02018866	ASIS022894	-	13197	19176	3	13197-13385:18806-18982:19108-19176
ASINS	AXCK02018946	ASIS021322	+	2028	10915	10	2028-2170:2719-2955:4893-4999:5076-6092:6897-7091:7187-7396:8522-8707:8776-8922:9084-9291:10906-10915
ASINS	AXCK02018947	ASIS010254	-	7023	18000	5	7023-7207:9321-9600:11089-11434:13114-13267:17913-18000
