scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
6718__len__11054	+	3126__len__15457	+	-60.8936233521	0.563319712909	0.777777777778	9
226__len__14012	-	1780__len__29972	-	-58.254652977	0.629191139017	0.764705882353	17
18577__len__14026	+	64211__len__6913	+	-55.0625686646	0.732889164856	0.8	15
8972__len__6539	-	6073__len__32910	-	-57.4331912994	0.723778663041	0.833333333333	12
6371__len__25160	-	16513__len__27412	-	-13.5430746078	0.654626917243	0.692307692308	13
59379__len__4101	-	21438__len__3787	-	-49.8466758728	0.525447919893	0.727272727273	11
27405__len__9456	-	15077__len__3943	-	-58.4399967194	0.83274505794	0.75	16
5557__len__16227	+	20472__len__5647	-	-70.3761692047	0.242454413573	0.555555555556	9
35690__len__3455	-	32387__len__27762	-	-55.8509120941	0.917193683352	0.8	10
49156__len__7491	+	38604__len__7817	+	-60.1180896759	0.752453398093	0.818181818182	11
19892__len__13558	-	21971__len__9711	-	-6.1996421814	0.397805728546	0.75	16
2518__len__12677	+	40681__len__15438	+	-62.9801063538	0.491466215691	0.857142857143	14
2518__len__12677	+	11785__len__2184	-	-58.9431114197	0.449579725726	0.4	5
80122__len__9410	+	31611__len__6037	+	-61.5555419922	0.474757035905	0.785714285714	14
3870__len__12040	+	5790__len__54901	-	21.8213682175	0.769748247976	0.6	5
14667__len__20435	+	16212__len__25969	+	-21.5644388199	0.557866521017	0.72	25
2848__len__24207	+	1789__len__25471	+	-52.6327543259	0.969150327018	0.869565217391	23
3048__len__30580	-	9705__len__17297	-	-53.9792804718	0.89297668371	0.8	5
1858__len__3159	+	24672__len__5629	+	-52.0376014709	0.826297630555	0.8	10
36245__len__20769	+	12939__len__14974	+	-57.3906784058	0.472775371237	0.8	10
14186__len__1562	+	7131__len__20130	+	-49.7886867523	0.959155137718	0.722222222222	18
4047__len__11339	-	6633__len__26410	-	32.9641437531	0.496076114992	0.555555555556	9
25798__len__2253	+	6643__len__14112	+	-62.9626045227	0.580298762824	0.8125	16
15339__len__8431	+	8547__len__8666	-	32.9676780701	0.219073801452	0.142857142857	7
12908__len__27528	+	16731__len__18267	+	-58.7166786194	0.679836829273	0.789473684211	19
52699__len__5638	-	39868__len__6165	-	-62.6983795166	0.586781055572	0.571428571429	7
18323__len__8394	+	15527__len__7075	+	-29.1440620422	0.657245565335	0.583333333333	12
17232__len__14421	-	4088__len__21933	-	-55.6969633102	0.808167708785	0.846153846154	13
16093__len__17588	-	41836__len__7010	-	-62.0764331818	0.543821293069	0.866666666667	15
29124__len__2363	-	7561__len__9492	-	-56.1604919434	0.649301595405	0.833333333333	12
17938__len__14183	+	11781__len__52723	+	-61.6343493462	0.495053006223	0.785714285714	14
40216__len__4110	-	20472__len__5647	+	-25.8868789673	0.602399621657	0.4	5
40216__len__4110	-	3940__len__23749	-	-53.5399360657	0.886339627326	0.85	20
54727__len__11538	-	65845__len__5799	-	-54.2821655273	0.710144036558	0.882352941176	17
6155__len__26742	-	4687__len__21221	-	-60.4284095764	0.657075996246	0.8125	16
77801__len__4258	+	25248__len__6155	+	-62.6347122192	0.582027022087	0.8125	16
40681__len__15438	-	4455__len__9290	+	-63.3320446014	0.258201477731	0.6	5
40681__len__15438	-	985__len__8801	-	-42.4863433838	0.261909108406	0.6	5
40681__len__15438	-	3678__len__15104	-	-5.17076396942	0.447188737514	0.444444444444	9
