scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB672286	-	KB672342	-	24758.4655899	0.565299483107	0.5	8
KB672416	+	KB672423	+	-49199.3576847	0	1.0	12
KB672404	-	KB672419	-	-13615.2383148	0.0193119220404	0.333333333333	6
KB672404	-	KB672457;KB672393;KB672446	+;+;+	21050.5508057	0.802288537442	0.461538461538	13
KB672407;KB672390;KB672422;KB672406	-;-;-;-	KB672411;KB672435	+;+	-50019.2909094	0	1.0	5
KB672407;KB672390;KB672422;KB672406	-;-;-;-	KB672414	-	-49106.611793	0.000177861962461	0.125	8
KB672479	-	KB672414	-	-34686.8945624	0	1.0	7
KB672419	-	KB672475;KB672425;KB672408	+;+;+	21441.6929943	0.810593179431	0.25	8
KB672415	-	KB672411;KB672435	+;+	-15516.6430732	0.752348247475	0.5	10
KB672415	+	KB672418	-	-20162.7605242	0.782222793603	0.4	5
KB672475;KB672425;KB672408	+;+;+	KB672411;KB672435	+;+	-5336.0652724	0	1.0	5
KB672475;KB672425;KB672408	+;+;+	KB672414	-	-20735.2728829	0.549183335201	0.333333333333	6
KB672475;KB672425;KB672408	+;+;+	KB672409	+	-5812.47601277	0	1.0	8
KB672419	+	KB672475;KB672425;KB672408	+;+;+	-50011.773353	0.693185668202	0.142857142857	7
KB672435;KB672411	-;-	KB672475;KB672425;KB672408	+;+;+	-36089.5818419	0.123403351035	0.5	10
KB672468	-	KB672397	-	-38809.898005	0.554328341971	0.6	5
KB672404	+	KB672407;KB672390;KB672422;KB672406	-;-;-;-	-28978.2987064	0.740734994198	0.5	6
KB672412	+	KB672421	+	-34994.8096637	0.54232814754	0.454545454545	11
KB672412	+	KB672420	+	-31263.2866786	0.761008588572	0.31914893617	47
KB672418	+	KB672468	-	-47959.8547149	0	1.0	12
KB672418	-	KB672420	+	-12249.4560174	0.000665054525715	0.5	8
KB672420	-	KB672386;KB672424	+;+	-34730.1769746	0.00061427411801	0.428571428571	7
KB672409	+	KB672444;KB672384;KB672417	-;-;-	-53934.1158857	0	1.0	7
KB672398;KB672369;KB672353	-;-;-	KB672409	+	-22286.5348745	0.432793865082	0.75625	160
