scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI422434	+	KI421913	-	-2424	0.310177743889	0.791666666667	48
KI422434	+	KI422204	+	-4470.33991489	0.266593040962	0.333333333333	3
KI422012	+	KI421962	-	-1770	0.111353305701	0.571428571429	7
KI422012	+	AXCP01008035	+	-1083.44088296	0.96565690157	0.333333333333	3
KI422012	+	KI421921	-	-4150.33991489	0.860897796168	0.333333333333	3
KI422012	+	KI422214	-	713.484536397	0.664359551106	0.25	4
KI422012	+	KI421966	+	-4762.33991489	0.346653467436	0.5	6
KI422012	+	KI422070	-	-4938.33991489	0.244825726123	0.571428571429	7
KI422012	+	KI422074	+	-1957.33991489	0.89423174041	0.6	5
KI422181	+	KI421909	-	-4686.33991489	0.0187091325355	0.7	10
KI422181	+	KI422170	+	-5477.33991489	0.0127986586631	0.7	10
KI422006	-	KI422407	+	-2109	0.396003358537	0.5	4
KI422006	-	KI422171	+	-2305.33991489	0.865995229845	0.454545454545	11
KI422006	-	AXCP01008039	-	-2201	0.103258481989	0.5	4
KI422006	-	KI421967	+	-2805.33991489	0.707696525098	0.428571428571	7
KI422006	-	KI422338	+	-4770.33991489	0.21084435781	0.4	5
KI422006	-	KI422271	+	-2131	0.27552493618	0.545454545455	11
KI422006	-	AXCP01008108	-	-2125.33991489	0.211456432832	0.5	4
KI422006	-	KI422292	+	-3786.33991489	0.355356371748	0.6875	16
KI422006	-	KI422149	+	-4765.33991489	0.237583629026	0.333333333333	6
KI422006	-	KI421977	+	-1985	0.393323202149	0.4	5
KI422006	-	KI422214	-	-3720.33991489	0.220217600381	0.5	4
KI422006	-	KI422423	-	-48	0.426706084144	0.333333333333	3
KI422006	-	KI422158	-	-102.69962808	0.5067401219	0.333333333333	3
KI422006	-	KI422186	+	-2580.33991489	0.693708841446	0.333333333333	3
KI422006	-	KI422232	-	-1192.33991489	0.456178276119	0.615384615385	13
KI422006	-	KI421970	-	-1919	0.401011163858	0.25	4
KI422006	-	KI422378	+	-2168	0.21364319197	0.4	5
KI422006	-	KI421995	+	-2684.33991489	0.00726493156292	0.666666666667	3
KI422006	-	KI422233	-	-2180	0.30197384415	0.666666666667	6
KI422006	-	KI421928	+	117.230099444	0.311078454726	0.333333333333	3
KI422006	-	KI422195	-	-2735.33991489	0.941901561237	0.25	4
KI422006	-	KI422024	+	-1955	0.380091877009	0.5	6
KI422006	-	KI422205	-	-3038.33991489	0.51150932043	0.4	10
KI422006	-	KI422318	-	1992.93397716	0.527529996433	0.5	4
KI422006	-	KI422435	+	1172.30094864	0.736967045171	0.368421052632	19
KI422006	-	KI422017	+	-4181.33991489	0.159479713746	0.666666666667	3
KI422006	-	KI422074	-	-2047	0.179697514322	0.6	5
KI422006	-	KI422022	-	-3464.33991489	0.957951221332	0.4	5
KI422006	-	KI422234	-	-2562.33991489	0.57807585889	0.25	4
KI422006	-	KI422423	+	-2478.33991489	0.445958896607	0.4	10
KI422438	-	KI422138	+	-2457.33991489	0.630752002933	0.333333333333	9
KI422438	-	KI422138	-	-2239	0.546815026194	0.4	5
KI422416	+	KI422190	-	-4758.33991489	0.168873636808	0.6	10
AXCP01008069	-	KI421996	-	-307.263377525	0.217354433957	0.5	4
AXCP01008069	-	KI422316	+	-1823	0.0484687400137	0.333333333333	3
KI421959	+	KI422090	-	1791.47069972	0.610783540083	0.5	4
KI421959	+	KI422155	-	-2676.33991489	0.467038745488	0.6	5
KI421959	+	KI422182	+	4556.11568381	0.056272511372	0.4	5
KI421959	+	KI422396	+	140.870455751	0.57045671119	0.5	4
KI421959	+	KI422320	-	-1139	0.964069378224	0.621621621622	37
KI421959	+	KI421924	-	-4905.33991489	0.26366598027	0.666666666667	3
KI421959	+	KI422220	-	-1731.91622568	0.251749801927	0.5	8
KI421959	+	KI422118	-	-3882.33991489	0.232221297274	0.5	4
KI421959	+	KI421927	-	651.975353598	0.271024927681	0.5	4
KI421959	+	KI422024	-	747.440161027	0.0472556588077	0.666666666667	3
KI421959	+	KI422103	-	-2444	0.164202943386	0.666666666667	6
KI421959	+	KI421983	-	-2062	0.309125048639	0.545454545455	11
KI421959	+	KI422008	-	479	0.471863939338	0.5	4
KI422396	-	KI422103	+	-4164.33991489	0.428091902024	0.555555555556	18
KI422396	-	KI421997	+	-2198.33991489	0.60445747983	0.333333333333	3
KI422396	-	KI422320	-	-1683.33991489	0.666988048129	0.375	8
KI422396	-	KI422046	-	-2113.33991489	0.386611334599	0.5	4
KI422396	-	KI422067	-	-2054	0.357024738273	0.5	6
KI422396	-	KI422320	+	-563	0.419733960819	0.428571428571	7
KI422396	-	KI421940	-	-3021.33991489	0.727533342492	0.333333333333	3
KI422396	-	KI422026	+	-1734.30946658	0.261934717287	0.333333333333	3
KI422396	-	KI422103	-	-1912	0.678954152684	0.333333333333	3
KI422396	-	KI421896	-	-801.158983775	0.18163719057	0.333333333333	3
KI422396	-	KI421895	+	3566.19361551	0.167461566716	0.333333333333	3
KI422396	-	KI422032	+	-3212.33991489	0.161792841917	0.333333333333	3
KI422379	-	KI422029	-	-256	0.439777568793	0.333333333333	3
KI422379	-	KI421982	+	619.321844242	0.428981647914	0.333333333333	3
KI422379	-	KI422120	+	-1132	0.601104080244	0.5	10
AXCP01008035	-	KI422108	+	-1447.96707386	0.699032751026	0.333333333333	3
KI421995	+	KI421963	-	-2853.33991489	0.815161434913	0.25	4
KI421995	+	KI422073	+	-3818.33991489	0.469205416779	0.75	4
KI421995	+	KI422194	+	-1749	0.265481687933	0.666666666667	3
KI421995	+	KI421963	+	-1178.33991489	0.556487531822	0.771428571429	35
KI421995	+	KI421970	+	-2154.33991489	0.58839429844	0.333333333333	3
KI421995	+	KI422320	-	5959	0.851612582461	0.333333333333	3
KI421995	+	KI422080	+	-2224.33991489	0.674350009167	0.454545454545	11
KI421995	+	KI421921	+	-2453.33991489	0.558960569492	0.333333333333	3
KI421995	+	KI422427	-	-1401.33991489	0.632297832342	0.333333333333	6
KI421995	+	KI422297	-	-1090.22148798	0.828732797032	0.666666666667	3
KI421995	+	KI421955	+	-2327.33991489	0.523799497611	0.7	30
KI421995	+	KI422246	-	-1838	0.639091988711	0.222222222222	9
KI421995	+	KI422034	+	-1552	0.224706280587	0.2	5
KI421995	+	KI422146	+	-1676.33991489	0.482389521372	0.5	4
KI421995	+	KI421935	-	-2197	0.236713163482	0.5	4
KI421995	+	KI422246	+	-1936.33991489	0.715795429662	0.2	5
KI421995	+	KI422032	+	-4440.33991489	0.379236910311	0.333333333333	3
KI421995	+	KI421896	+	-2430	0.545401533965	0.625	8
KI421995	+	KI421884	-	-1848	0.512454337043	0.666666666667	6
KI421995	+	KI422353	+	-2396	0.158379745686	0.5	4
KI421999	-	KI422286	+	-5189.33991489	0.0678975785681	0.5	6
KI422242	-	KI422184	-	-1753.33991489	0.711236733178	0.230769230769	13
KI422242	-	KI421927	+	-1746.33991489	0.427383723711	0.666666666667	24
KI422242	-	KI422138	-	-1126.89483875	0.772709902213	0.25	4
KI421924	+	KI421960	-	-1160	0.812461256992	0.3	20
KI421924	+	KI422049	+	-724.171987405	0.540963100516	0.333333333333	3
KI421924	+	KI422079	-	-2897.33991489	0.643818217409	0.285714285714	7
KI421924	+	KI422225	+	-3303.33991489	0.793528682092	0.25	4
KI421924	+	KI422102	-	-257	0.859147120365	0.277777777778	18
KI421924	+	KI422256	+	-2440	0.472479307262	0.461538461538	13
KI421924	+	KI422081	+	-2153	0.283423070574	0.4	5
