scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCL01029310	+	AXCL01040480	+	-61.4530029297	0.898016646139	0.333333333333	9
AXCL01013505	-	AXCL01050434	-	120.964889526	0.331802675285	0.8	5
AXCL01013505	-	AXCL01019835	+	-0.156608581543	0.290398315054	0.75	8
AXCL01013505	-	KI438753	-	-71.0394134521	0.0872354490079	0.8	5
AXCL01013505	-	AXCL01015606	-	-26.8519096375	0.303711812983	0.833333333333	6
AXCL01013505	-	AXCL01000582	-	-69.4533252716	0.102867194979	0.6	5
AXCL01013505	-	AXCL01002587	+	-7.54042434692	0.246255567808	0.571428571429	7
AXCL01013505	-	AXCL01003480	+	35.9506759644	0.372117835567	0.8	5
AXCL01001727	-	AXCL01014002	+	120.95275116	0.425479296671	0.666666666667	6
AXCL01028209	-	AXCL01024680	+	-50.6973571777	0.214143969406	0.666666666667	6
AXCL01037130	-	AXCL01011500	+	60.8445510864	0.831651593145	0.6	5
AXCL01000874	+	KI433783	-	120.95442009	0.336709033493	0.894736842105	19
AXCL01000874	+	AXCL01013825	+	-33.8297119141	0.190617258597	0.785714285714	14
AXCL01000874	+	AXCL01053679	+	120.956195831	0.411828241887	0.692307692308	13
AXCL01000874	+	KI438180	+	120.972688675	0.379838009009	0.588235294118	17
AXCL01000874	+	AXCL01041612	+	120.954689026	0.380081569474	0.65	20
AXCL01000874	+	AXCL01008491	-	-50.43658638	0.243271974545	0.904109589041	73
AXCL01014251	-	KI434846	+	18.1003341675	0.211883675105	0.8	5
KI436240	-	AXCL01045472	+	-1.30941772461	0.156907532742	0.833333333333	12
AXCL01033731	+	KI437126	-	120.388343811	0.581952183621	0.714285714286	7
KI434989	+	AXCL01016898	+	41.2991790771	0.340418237523	0.666666666667	6
AXCL01036162	-	AXCL01022181	+	120.969268799	0.293176938362	0.714285714286	7
AXCL01036162	-	KI433846	+	57.0100059509	0.288518681763	0.857142857143	7
AXCL01036162	-	AXCL01035240	+	-84.2441253662	0.0517673344832	0.857142857143	7
AXCL01036162	-	AXCL01022275	+	-70.7805480957	0.323646015301	0.6	5
AXCL01036162	-	AXCL01003582	+	21.6213607788	0.317734391221	0.75	8
AXCL01036162	-	AXCL01013880	+	-36.6481781006	0.172534350072	0.8	5
AXCL01036162	-	AXCL01035510	-	-192.563140869	0.128102766664	0.698412698413	63
AXCL01036162	-	AXCL01013788	+	-48.7316818237	0.137676227139	0.666666666667	6
AXCL01036162	-	AXCL01017299	+	120.965377808	0.780091796232	0.6	5
AXCL01036162	-	AXCL01031182	+	-50.4718399048	0.302094525696	0.5	8
AXCL01036162	-	KI437392	+	-19.76146698	0.192096696885	0.8	5
AXCL01036162	-	AXCL01017526	+	13.0898132324	0.39811985001	0.6	5
AXCL01037134	-	AXCL01009612	-	120.955284119	0.143562907274	0.833333333333	6
AXCL01039565	+	AXCL01000277	-	120.970247269	0.439122025052	0.6	5
KI437573	-	AXCL01022181	+	120.950241089	0.213717010098	0.666666666667	6
KI437573	-	KI433846	+	95.1706676483	0.362453003948	0.8	5
KI437573	-	AXCL01003582	+	40.2810211182	0.386475666587	0.6	5
KI437573	-	AXCL01035510	-	-187.860015869	0.116849072705	0.5	38
KI437573	-	AXCL01023472	+	-3.95037078857	0.247593918141	0.6	5
KI437573	-	AXCL01013788	+	-36.5786552429	0.142368208901	0.666666666667	6
AXCL01044312	-	AXCL01026830	-	-270.788093567	0.163421362472	0.666666666667	12
AXCL01032410	+	KI437579	-	-70.7698364258	0.213798131285	0.666666666667	6
AXCL01050104	-	AXCL01003988	+	91.1464271545	0.28882111392	0.5	6
AXCL01019344	-	AXCL01050434	-	120.970817566	0.298675328518	0.6	5
AXCL01019344	-	AXCL01019835	+	-9.54156494141	0.31263329299	0.666666666667	6
AXCL01019344	-	AXCL01008977	+	85.813709259	0.479144513149	0.6	5
AXCL01019344	-	AXCL01002587	+	-12.1226882935	0.246085704257	0.571428571429	7
AXCL01026879	-	AXCL01017310	+	-125.260314941	0.184680111008	0.555555555556	9
KI433673	-	AXCL01047222	-	-235.371335983	0.255611890218	0.8	5
KI433673	-	AXCL01008623	+	-241.60760498	0.110349708367	0.8	5
KI433673	-	AXCL01002587	+	-266.478145599	0.148869062867	0.666666666667	6
AXCL01046962	-	AXCL01012573	-	120.963577271	0.397667516124	0.6	5
AXCL01017341	+	AXCL01039604	-	-8.89547729492	0.713811833151	0.8	5
AXCL01021361	-	KI436169	+	-32.3570213318	0.143600273076	0.666666666667	6
AXCL01046138	+	KI434873	+	120.968608856	0.659193691357	0.666666666667	6
