scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KI439225	+	KI439388	+	-24638.9435272	0.49034330644	0.5	4
KI439225	+	KI439174	+	10982.57994	0.512823187368	0.333333333333	3
KI439225	+	KI439449	+	-23407.8812346	0.58095523115	0.75	4
KI439225	+	KI439635	-	-49067.2432189	0.569181331514	0.333333333333	3
KI439225	+	KI439382	+	-43050.9806767	0.520002253377	0.333333333333	3
KI439225	+	KI439622	-	-12439.1273799	0.48221407425	0.5	4
KI439225	+	KI439434	-	-42451.8355458	0.610433652481	0.25	4
KI439625	+	KI439182	+	-62147.6112489	0.513429914015	0.6	5
KI439625	+	KI438979	-	-3803.36220965	0.358928093662	0.333333333333	6
KI439625	+	KI439320	+	-14461.5065026	0.500599153846	0.333333333333	3
KI439625	+	KI438975	-	-45727.7997219	0.836733306825	0.333333333333	3
KI439625	+	KI439174	+	-42442.1415271	0.484814313536	0.666666666667	3
KI439625	+	KI439342	+	-65912.5352407	0.412971824875	0.111111111111	9
KI439625	+	KI439227	+	-27689.0520452	0.905907443456	0.333333333333	3
KI439625	+	KI439571	+	-40639.0916026	0	1.0	3
KI439625	+	KI439127	-	-32253.5267786	0.873932988045	0.0909090909091	11
KI439625	+	KI439109	+	8440.13584912	0.770463478552	0.333333333333	3
KI439625	+	KI439751	+	-26495.6189401	0.0333615158673	0.333333333333	3
KI439491	-	KI439182	+	-58499.6152613	0.726075621894	0.333333333333	3
KI439491	-	KI439208	-	-3852.65666455	0.384362738997	0.823529411765	34
KI439491	-	KI439439	-	-65238.1303214	0	1.0	3
KI439491	-	KI439374	-	-71255.7874924	0.57032546363	0.333333333333	3
KI439491	-	KI439199	-	-36520.2785105	0	1.0	3
KI439491	-	KI439114	-	-39889.715507	0.468438845943	0.666666666667	3
KI439491	-	KI439186	-	-58631.1529413	0	1.0	3
KI439491	-	KI439179	-	-11433.068951	0.00044549040002	0.4	5
KI439491	-	KI439751	-	-47585.8543499	0	1.0	3
KI439491	-	KI439622	+	-29054.6699744	0.470951071467	0.5	4
KI439491	-	KI438989	-	-61395.2689975	0.426042046548	0.5	4
KI439491	-	KI439288	-	-52135.874696	0.504368631995	0.25	4
KI439491	-	KI439072	+	-61309.3359863	0.247897326345	0.333333333333	3
KI439690	-	KI439433	-	-66574.2141789	0	1.0	3
KI439690	-	KI439440	+	-66242.6715019	0.000127441305175	0.333333333333	3
KI439690	-	KI439096	+	-73109.1887349	0.486846245495	0.25	4
KI439690	-	KI439583	-	-60498.6661927	0.824420789313	0.333333333333	3
KI439690	-	KI439556	-	-48195.6957647	0.731477976467	0.333333333333	3
KI439690	-	KI439042	-	-72569.8775059	0.493531151921	0.333333333333	3
KI439690	-	KI439182	-	-77674.5527172	0.21022261014	0.666666666667	6
KI439690	-	KI439751	+	-31679.1554052	0.398240014737	0.666666666667	3
KI439690	-	KI439375	+	48612.7814267	0	1.0	3
KI439690	-	KI439268	+	-13660.3787696	0.405411589168	0.333333333333	3
KI439658	+	KI439402	-	-34092.7641537	0.543404938565	0.25	4
KI439658	+	KI439654	+	-45002.5424916	0	1.0	3
KI439658	+	KI439107	+	-43842.3514739	0	1.0	12
KI439658	+	KI439480	-	-55482.1105611	0	1.0	3
KI439658	+	KI439247	+	-9606.0587101	0	1.0	3
KI439658	+	KI439446	-	-20483.7359403	0	1.0	15
KI439658	+	KI439198	+	-48597.4805676	0.918202225997	0.333333333333	3
KI439658	+	KI439056	-	-32494.49339	0.293942022415	0.666666666667	3
KI439658	+	KI439129	+	-48978.9093217	0	1.0	3
KI439658	+	KI439016	+	-29694.4919087	0.115846777761	0.666666666667	6
KI439658	+	KI439350	-	-46407.1132703	0.96835691255	0.3	10
KI439658	+	KI439193	-	19480.689467	0.227999871525	0.25	4
KI439658	+	KI439635	-	-47619.111424	0.734692348683	0.25	4
KI439658	+	KI439500	-	-32213.3252206	0.403009381974	0.333333333333	3
KI439658	+	KI439391	+	-31104.1699414	0.128116252375	0.25	4
KI439658	+	KI439079	+	-72185.1450374	0.329757923729	0.333333333333	3
KI439658	+	KI439199	-	-48036.0649937	0.22146120003	0.5	8
KI439658	+	KI439159	-	-77181.924014	0	1.0	3
KI439658	+	KI439741	+	-17961.3658335	0.431920335514	0.333333333333	3
KI439658	+	KI439523	+	1977.26613462	0.719207379546	0.375	8
KI439658	+	KI439364	+	-58559.2120556	0.722050307704	0.333333333333	3
KI439658	+	KI439260	-	-56275.0313126	0	1.0	3
