#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_quadriannulatus	KB665398	AQUA001344	-	28384	29665	2	28384-29231:29383-29665
Anopheles_quadriannulatus	KB665398	AQUA001345	-	74919	78421	3	74919-75172:76250-76368:78129-78421
Anopheles_quadriannulatus	KB665398	AQUA001346	-	85564	86414	3	85564-86152:86219-86339:86405-86414
Anopheles_quadriannulatus	KB665398	AQUA001347	+	91650	97028	4	91650-94105:95494-95877:95964-96488:96608-97028
Anopheles_quadriannulatus	KB665398	AQUA001348	+	99248	101156	2	99248-99307:99390-101156
Anopheles_quadriannulatus	KB665398	AQUA001349	-	102333	104334	6	102333-102364:102464-102698:102769-103170:103263-103338:103828-104231:104305-104334
Anopheles_quadriannulatus	KB665398	AQUA001350	+	104820	107624	3	104820-104904:105072-105256:105330-107624
Anopheles_quadriannulatus	KB665398	AQUA001351	+	108231	108461	1	108231-108461
Anopheles_quadriannulatus	KB665398	AQUA001352	-	108608	108905	2	108608-108725:108820-108905
Anopheles_quadriannulatus	KB665398	AQUA001353	+	121928	124424	4	121928-122092:122185-122418:122508-123716:124407-124424
Anopheles_quadriannulatus	KB665398	AQUA001354	-	126211	126983	2	126211-126525:126600-126983
Anopheles_quadriannulatus	KB665398	AQUA001355	-	130919	136888	11	130919-131124:131220-131397:131475-131666:131757-131918:132003-132177:132244-132422:132509-132573:134818-135008:135100-135186:136111-136232:136787-136888
Anopheles_quadriannulatus	KB665398	AQUA001356	-	141995	143171	2	141995-142027:142713-143171
Anopheles_quadriannulatus	KB665398	AQUA001357	-	146410	147748	2	146410-146524:146589-147748
Anopheles_quadriannulatus	KB665398	AQUA001358	-	150271	153249	3	150271-150396:150493-150778:153206-153249
Anopheles_quadriannulatus	KB665398	AQUA001359	-	155301	156034	4	155301-155381:155454-155504:155566-155826:155921-156034
Anopheles_quadriannulatus	KB665398	AQUA001360	+	217711	228498	7	217711-217781:218694-218992:220458-223408:223789-226190:226278-226941:228232-228263:228468-228498
Anopheles_quadriannulatus	KB665398	AQUA001361	+	230745	239290	13	230745-230849:232459-232536:232608-232790:232874-233064:233161-233511:233579-233670:236947-237169:237246-237593:237664-238214:238302-238441:238516-238637:238709-238923:239007-239290
Anopheles_quadriannulatus	KB665398	AQUA001362	-	233767	235852	4	233767-234219:234300-234759:235405-235599:235683-235852
Anopheles_quadriannulatus	KB665398	AQUA001363	+	244039	245544	4	244039-244053:244578-244653:245230-245325:245399-245544
Anopheles_quadriannulatus	KB665398	AQUA001364	-	248114	250808	5	248114-248132:248213-248361:248446-248902:248962-250437:250564-250808
Anopheles_quadriannulatus	KB665398	AQUA001365	+	252180	253412	2	252180-253001:253065-253412
Anopheles_quadriannulatus	KB665398	AQUA001366	-	253488	253819	2	253488-253609:253732-253819
Anopheles_quadriannulatus	KB665398	AQUA001367	-	303416	304225	4	303416-303592:303674-303844:303955-304101:304175-304225
Anopheles_quadriannulatus	KB665398	AQUA001368	+	377691	387205	9	377691-377727:378873-379205:379573-379716:381918-382145:383576-383836:383967-384087:385245-385579:385674-385847:387174-387205
Anopheles_quadriannulatus	KB665398	AQUA001369	+	402559	407651	3	402559-402563:402947-403109:403158-407651
Anopheles_quadriannulatus	KB665398	AQUA001370	+	423325	425537	2	423325-423351:424353-425537
Anopheles_quadriannulatus	KB665398	AQUA001371	+	444541	447918	2	444541-444567:445849-447918
Anopheles_quadriannulatus	KB665398	AQUA001372	-	450057	451731	4	450057-450706:450783-451121:451198-451443:451668-451731
Anopheles_quadriannulatus	KB665398	AQUA001373	+	452618	456298	7	452618-452717:452791-454061:454165-454387:454458-454887:455200-455793:455879-456138:456219-456298
Anopheles_quadriannulatus	KB665398	AQUA001374	-	456907	465874	7	456907-457073:457155-457453:459236-459577:459645-460341:462988-464243:464631-464838:465094-465874
Anopheles_quadriannulatus	KB665398	AQUA001375	-	483745	487796	4	483745-485096:485171-485504:486701-486824:487780-487796
Anopheles_quadriannulatus	KB665398	AQUA001376	+	521342	522178	1	521342-522178
Anopheles_quadriannulatus	KB665398	AQUA001377	+	523777	526430	2	523777-523881:523968-526430
Anopheles_quadriannulatus	KB665398	AQUA001378	-	551560	552219	2	551560-552096:552169-552219
Anopheles_quadriannulatus	KB665398	AQUA001379	+	566305	569837	7	566305-566646:567590-567950:568043-568261:568344-568530:568602-569238:569327-569566:569652-569837
Anopheles_quadriannulatus	KB665398	AQUA001380	+	574744	577178	5	574744-574980:575062-575478:575567-575582:576242-576633:576723-577178
Anopheles_quadriannulatus	KB665398	AQUA014131	-	578356	578846	2	578356-578697:578766-578846
Anopheles_quadriannulatus	KB665398	AQUA001381	+	582833	585741	4	582833-583000:584867-584977:585053-585514:585586-585741
Anopheles_quadriannulatus	KB665398	AQUA001382	-	585591	589696	3	585591-585715:588190-589149:589291-589696
