scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB670404	+	KB670930	-	70.9621067047	0.623691868095	0.333333333333	9
KB670762	+	KB669647	+	-76.1524000168	0.507652463201	0.666666666667	3
KB670261	-	KB671262	-	28.4422874451	0.326975579735	0.333333333333	3
KB670218	+	KB671298	-	-163.838504791	0.472514431464	0.789473684211	19
KB671328	-	KB670154	-	-131.039054871	0.952511586286	0.766666666667	30
KB669677	+	KB670154	-	-68.3342351913	0.287956657565	0.8	5
KB671929	+	KB671945	-	-146.502530575	0.0364902370998	0.666666666667	3
KB670673	+	KB671748	+	-76.3195867538	0.485659273256	0.888888888889	36
KB671323	+	KB669898	-	-165.600920677	0.151917536141	0.75	4
KB671634	-	KB671807	+	16.3722651005	0.584706702541	0.727272727273	11
KB670182	-	KB670661	+	-144.934595108	0.426748326713	0.4	5
KB670182	-	KB671397	+	-22.0038528442	0.0828758786941	0.666666666667	3
KB670182	-	KB670920	-	-23.6192016602	0.268839459358	0.666666666667	3
KB670410	-	KB670357	-	-48.4142913818	0.891222233469	0.83865248227	564
KB670285	+	KB670696	-	-62.1821937561	0.287939461991	0.666666666667	3
KB669980	+	KB669842	-	-87.638835907	0.202308244373	0.75	4
KB669848	-	KB671646	-	-33.0222817659	0.421704687557	0.333333333333	3
KB671428	+	KB670004	+	-140.558296204	0.383876571284	0.666666666667	3
KB669814	+	KB671621	+	-92.5001474321	0.644977457276	0.666666666667	3
KB670486	+	KB670921	-	-133.47992897	0.628816562669	0.571428571429	14
KB671088	+	KB671445	+	-138.100036621	0.318993187146	0.666666666667	3
KB670610	-	KB671131	+	-84.6399917603	0.165827633354	0.666666666667	3
KB670410	+	KB670357	+	70.9725799561	0.944807098638	0.85137195122	1312
KB671672	-	KB671611	+	-124.532016158	0.448327810853	0.884892086331	139
KB671117	-	KB669835	+	-79.4544200897	0.363884442711	0.666666666667	6
KB670032	+	KB671611	+	-55.5784204006	0.464393462642	0.901639344262	244
KB671179	+	KB671208	+	70.9570007324	0.699035693688	0.666666666667	3
KB671318	+	KB670930	-	-0.132583618164	0.530664867178	0.705154639175	485
KB670930	+	KB671044	+	1.3970451355	0.572806379297	0.827794561934	331
KB671040	-	KB671840	-	39.1853489876	0.226079632257	0.833333333333	12
KB670005	+	KB669714	+	51.6909835935	0.635256782255	0.6	5
KB671641	-	KB669895	-	70.9654521942	0.477019899649	0.4	5
KB670100	-	KB671658	-	-74.9891209602	0.221813671415	0.6	5
KB670619	+	KB670950	-	-91.6276340485	0.342405284189	0.823529411765	17
KB671896	-	KB672245	+	-53.8637423515	0.898667864613	0.714285714286	7
KB670539	-	KB671311	-	-127.09400177	0.158885127024	0.75	4
KB670526	-	KB669625	-	-47.6215877533	0.808935585491	0.333333333333	3
