scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237244.1;NW_008237435.1;NW_008239290.1;NW_008237410.1;NW_008239535.1;NW_008235744.1;NW_008236008.1	-;-;-;-;-;-;-	-8889.57782532	0.755006947501	0.625	8
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236247.1;NW_008240013.1;NW_008235811.1;NW_008238439.1	-;-;-;-	-6113.91913387	0.414947802925	0.428571428571	21
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236783.1	-	-10198.4687836	0.159113329903	0.6	5
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236961.1;NW_008239165.1;NW_008239826.1;NW_008238828.1	+;+;+;+	-10727.9778194	0.346636508564	0.333333333333	6
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008238657.1	-	-8904.9798131	0.832172037382	0.285714285714	7
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008235872.1;NW_008235900.1	+;+	-7644.5741415	0.676958172856	0.166666666667	6
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237238.1	+	-9988.39814162	0.484066141811	0.727272727273	11
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236208.1;NW_008237405.1;NW_008237247.1	+;+;+	-5521.1999557	0.540130524247	0.730769230769	26
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236300.1	+	-4811.80741549	0.543636593457	0.375	8
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237656.1;NW_008235789.1;NW_008236696.1;NW_008238325.1;NW_008239020.1;NW_008235987.1	+;+;+;+;+;+	-5246.6058587	0.805063472825	0.4	5
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008239928.1;NW_008236454.1;NW_008235974.1;NW_008238317.1	+;+;+;+	2331.54821301	0.494263448985	0.4375	16
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237422.1;NW_008239424.1	+;+	-8302.13487387	0.363445452304	0.3	10
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008239556.1;NW_008235691.1;NW_008238648.1	-;-;-	-2250.85135734	0.225844120422	0.6	5
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236458.1	+	-10265.9557402	0.781774589968	0.284810126582	158
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237235.1;NW_008237873.1	-;-	-7319.1541934	0.321115029966	0.5	6
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236923.1	+	1605.75032854	0.704483180937	0.666666666667	6
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008235739.1;NW_008236770.1	-;-	11418.4246647	0.321356964401	0.6	5
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008239832.1;NW_008238441.1;NW_008236713.1	+;+;+	-8862.0582028	0.305995156569	0.5	6
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237928.1;NW_008238521.1	+;+	-3393.57432008	0.382079840002	0.466666666667	15
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008239289.1;NW_008237953.1	-;-	-6365.69147719	0.87193895586	0.6	5
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237868.1;NW_008235682.1;NW_008239981.1;NW_008245844.1;NW_008237448.1	+;+;+;+;+	-7520.14545202	0.866787196866	0.2	5
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008238352.1;NW_008239174.1;NW_008240630.1;NW_008237884.1;NW_008238190.1;NW_008239046.1	-;-;-;-;-;-	1849.66623485	0.607858058665	0.142857142857	7
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008239796.1;NW_008238334.1;NW_008239562.1	-;-;-	-10310.4038451	0.817731278147	0.363636363636	11
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008237623.1;NW_008236021.1;NW_008236592.1;NW_008239798.1	-;-;-;-	-8424.91753101	0.676125024004	0.333333333333	6
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236008.1;NW_008235744.1;NW_008239535.1;NW_008237410.1;NW_008239290.1;NW_008237435.1;NW_008237244.1	+;+;+;+;+;+;+	-4361.41917329	0.760637729838	0.44	25
NW_008238679.1;NW_008239403.1;NW_008239548.1	+;+;+	NW_008236713.1;NW_008238441.1;NW_008239832.1	-;-;-	-10366.0210726	0.1831871796	0.666666666667	6
NW_008238326.1;NW_008236805.1	-;-	NW_008235782.1;NW_008236930.1	-;-	4034.33880413	0.760410010445	0.6	5
NW_008238326.1;NW_008236805.1	-;-	NW_008239294.1;NW_008239115.1;NW_008239656.1	+;+;+	5146.0957402	0.580189820009	0.4	5
NW_008238326.1;NW_008236805.1	-;-	NW_008238388.1;NW_008239318.1;NW_008237217.1	+;+;+	2377.61013997	0.430145301533	0.384615384615	13
NW_008238326.1;NW_008236805.1	-;-	NW_008236235.1	-	-9668.37517023	0.444962105568	0.333333333333	6
NW_008238326.1;NW_008236805.1	-;-	NW_008240193.1	-	-1117.67442632	0.346092783561	0.4	5
NW_008238326.1;NW_008236805.1	-;-	NW_008239640.1	+	3484.59317529	0.493111761899	0.6	5
NW_008238326.1;NW_008236805.1	-;-	NW_008236845.1;NW_008236227.1;NW_008236606.1;NW_008236788.1	-;-;-;-	-2080.23582613	0.503745685292	0.571428571429	7
NW_008238326.1;NW_008236805.1	-;-	NW_008237900.1	+	-2501.14145458	0.337806676351	0.6	5
NW_008238326.1;NW_008236805.1	-;-	NW_008237896.1;NW_008237619.1;NW_008238435.1;NW_008245966.1;NW_008238437.1;NW_008237404.1;NW_008236774.1;NW_008245483.1;NW_008238647.1;NW_008237231.1;NW_008236798.1;NW_008238359.1;NW_008236207.1;NW_008238833.1	+;+;+;+;+;+;+;+;+;+;+;+;+;+	-7107.32911827	0.877268889518	0.166666666667	6
NW_008238326.1;NW_008236805.1	-;-	NW_008238345.1;NW_008237239.1	-;-	6835.32599194	0.737738957634	0.454545454545	11
NW_008238326.1;NW_008236805.1	-;-	NW_008236024.1;NW_008240067.1;NW_008236817.1;NW_008237486.1;NW_008236992.1;NW_008235754.1;NW_008240028.1	-;-;-;-;-;-;-	2552.28975773	0.674534184041	0.571428571429	7
NW_008238326.1;NW_008236805.1	-;-	NW_008238832.1	+	-1414.74619651	0.256757430923	0.5	6
