scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
36956__len__3187	-	112973__len__4327	-	28.1964187622	0.553478454549	0.428571428571	7
1012__len__14283	+	59795__len__6552	-	17.3782272339	0.539817104011	0.25	8
1012__len__14283	+	1628__len__110900	-	-50.709690094	0.503408809133	0.333333333333	6
1012__len__14283	+	2694__len__67034	-	-51.1037817001	0.335919466169	0.428571428571	7
1012__len__14283	+	34006__len__13176	+	-30.2073020935	0.289008900148	0.333333333333	6
1012__len__14283	+	1873__len__9292	-	-79.7160491943	0.404214395755	0.4	5
1012__len__14283	+	6265__len__10773	-	-47.9698543549	0.346526554861	0.25	8
1012__len__14283	+	142310__len__4008	+	4.08849334717	0.353043277005	0.5	6
36504__len__16198	+	6631__len__11268	+	-40.2819452286	0.987865765974	0.821428571429	28
95835__len__11327	-	6963__len__20660	-	-68.6946525574	0.34119517859	0.4	5
95835__len__11327	-	3743__len__17670	+	-14.8744335175	0.45741102309	0.5	10
80143__len__16952	+	1183__len__21441	+	-28.8586330414	0.686518678457	0.5625	16
118__len__16463	-	1735__len__66682	-	-12.2063798904	0.621807208933	0.566666666667	30
145131__len__8256	+	36379__len__10421	+	23.358417511	0.690819943171	0.684210526316	19
1770__len__11909	+	82107__len__23045	+	-76.5503444672	0.516252524301	0.857142857143	14
2683__len__21821	+	29230__len__34183	+	13.5632104874	0.692181163255	0.847826086957	46
1663__len__114650	-	34611__len__23952	-	-30.6256320477	0.676096542345	0.862068965517	29
43698__len__26386	-	2204__len__33290	-	-12.3067917824	0.76423927554	0.6	5
59485__len__19823	+	136406__len__12742	+	-23.5114994049	0.511704954031	0.6	5
810__len__15835	-	58304__len__9673	-	-54.5473003387	0.906638061412	0.703703703704	27
3577__len__5229	-	1110__len__12549	-	-42.6977748871	0.78474919096	0.7	30
1077__len__22671	+	117556__len__3127	-	-70.3661937714	0.49215672585	0.5	6
45286__len__9623	-	6097__len__4644	+	-5.62603569031	0.827219183997	0.428571428571	7
45286__len__9623	-	3710__len__56587	-	-46.9331526756	0.272247795885	0.6	5
