scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_010972538.1	-	NW_010972822.1	-	-130.04675293	0.365177065461	0.5	6
NW_010973170.1	-	NW_010973216.1	+	-151.152145386	0.689421158386	0.25	8
NW_010972816.1	-	NW_010973289.1	+	212.967766762	0.326843419066	0.6	5
NW_010972848.1	-	NW_010973138.1	-	212.954146057	0.919476621822	0.625	8
NW_010973096.1	-	NW_010973356.1	-	125.238807678	0.553054920978	0.8	10
NW_010973053.1	+	NW_010972983.1	+	-33.1660194397	0.331064269842	0.8	20
NW_010972918.1	-	NW_010973139.1	+	212.96553421	0.472441924796	0.666666666667	9
NW_010972605.1	+	NW_010973158.1	-	-77.6838268712	0.229604986007	0.571428571429	7
NW_010972476.1	-	NW_010973451.1	+	212.962890625	0.45934398306	0.5	6
NW_010972542.1	-	NW_010973117.1	-	-52.1563949585	0.446574163925	0.75	16
NW_010972759.1	+	NW_010973441.1	-	-156.931068897	0.310029739007	0.625	8
NW_010973195.1	-	NW_010972777.1	+	183.939745903	0.579206480457	0.791666666667	24
NW_010973372.1	-	NW_010972727.1	+	212.967324495	0.600148680374	0.736842105263	19
NW_010972658.1	+	NW_010972589.1	-	144.808418542	0.497212577254	0.818181818182	11
NW_010972652.1	+	NW_010972634.1	-	212.972564936	0.360439501493	0.714285714286	7
NW_010973247.1	-	NW_010973273.1	-	212.96383667	0.545747809287	0.791666666667	24
NW_010973309.1	-	NW_010973227.1	+	212.964065552	0.590172417906	0.692307692308	13
NW_010972492.1	+	NW_010972812.1	+	132.17029953	0.558180749652	0.84375	32
NW_010972494.1	-	NW_010972809.1	-	14.7332240716	0.444686245755	0.8	20
NW_010973406.1	-	NW_010973442.1	-	212.961494446	0.745350738621	0.666666666667	6
NW_010972549.1	+	NW_010972608.1	+	-391.006819278	0.285959725257	0.6	5
NW_010973005.1	-	NW_010972624.1	+	-103.616649717	0.414668682891	0.869565217391	23
NW_010972891.1	-	NW_010973313.1	+	-84.4603767395	0.887687978825	0.7	10
NW_010972636.1	-	NW_010972716.1	+	208.644575268	0.414279386811	0.45	20
NW_010973046.1	+	NW_010972550.1	+	212.967353821	0.630141813789	0.730769230769	26
NW_010972868.1	+	NW_010972732.1	+	28.8964133263	0.33491394166	0.661338661339	1001
NW_010972868.1	+	NW_010972628.1	+	-416.865072012	0.308929228217	0.561904761905	105
NW_010972770.1	+	NW_010973228.1	+	123.401958466	0.574138100843	0.75	32
NW_010972716.1	+	NW_010972555.1	+	-208.265356064	0.15384850879	0.5	6
NW_010972707.1	+	NW_010973326.1	+	67.2521846294	0.310771994371	0.4	5
NW_010973357.1	+	NW_010972771.1	+	186.622323513	0.747093091182	0.789473684211	19
NW_010972739.1	+	NW_010972603.1	+	212.969137266	0.706973090366	0.75	8
NW_010973045.1	+	NW_010973234.1	+	212.96521759	0.477024596866	0.722222222222	18
NW_010973366.1	+	NW_010972531.1	-	212.950942993	0.62415988844	0.777777777778	27
NW_010972685.1	+	NW_010973066.1	+	212.950357556	0.577062393564	0.666666666667	18
NW_010972739.1	-	NW_010972607.1	-	198.373229533	0.661734347482	0.8	20
NW_010972553.1	-	NW_010973287.1	-	-298.871902466	0.101386437261	0.714285714286	7
NW_010973370.1	-	NW_010972513.1	+	-124.345046997	0.0397251692126	0.857142857143	7
NW_010972671.1	-	NW_010973166.1	-	212.974995907	0.301966449492	0.666666666667	6
NW_010972763.1	-	NW_010972832.1	-	212.962234497	0.392327048482	0.770685579196	423
NW_010972506.1	+	NW_010972931.1	-	-251.877152972	0.484024291445	0.6	10
NW_010973002.1	+	NW_010973327.1	-	-327.749091022	0.250862942873	0.8	5
NW_010973093.1	+	NW_010973323.1	+	-131.808146775	0.173940653296	0.75	12
