contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
AXCK02030416	1093	26873.9	1019.0	2704.0	Yes
AXCK02029971	1158	23042.8	874.0	2704.0	Yes
KI918919	4656	22084.4	838.0	2704.0	No
KI918957	4377	21697.4	823.0	2704.0	No
AXCK02030043	1148	19343.2	734.0	2704.0	Yes
AXCK02030793	1026	19195.0	728.0	2704.0	Yes
AXCK02027592	1578	17614.9	668.0	2704.0	Yes
AXCK02026727	1824	14292.4	542.0	2704.0	Yes
AXCK02027208	1674	12740.1	483.0	2704.0	Yes
AXCK02024070	3668	11894.5	451.0	2704.0	No
KI918312	7388	10667.8	405.0	2704.0	No
