scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_007640182.1	+	NW_007670166.1	-	96.9503173828	0.498002893153	0.777777777778	9
NW_007657990.1	+	NW_007645760.1	-	68.6708374023	0.254172972324	0.666666666667	6
NW_007646000.1	-	NW_007662257.1	+	28.0378265381	0.433009826387	0.809523809524	21
NW_007670292.1	-	NW_007642077.1	-	81.3512573242	0.465489272084	0.6	5
NW_007668539.1	-	NW_007622180.1	-	7.515625	0.255468344702	0.8	10
NW_007671593.1	+	NW_007655407.1	+	73.083114624	0.479876827441	0.727272727273	11
NW_007640688.1	-	NW_007653068.1	+	74.2641601562	0.362905638229	0.75	8
NW_007618815.1	+	NW_007621737.1	+	15.5252075195	0.227365859372	0.8	5
NW_007651749.1	-	NW_007639212.1	-	51.8129577637	0.363789364437	0.769230769231	13
NW_007655362.1	-	NW_007639851.1	+	96.956817627	0.350652063816	0.6	5
NW_007645915.1	+	NW_007669622.1	+	11.4670410156	0.320978111571	0.833333333333	12
NW_007622114.1	-	NW_007649116.1	+	-7.21813964844	0.142144804903	0.8	5
NW_007620734.1	+	NW_007619213.1	+	-44.6733799949	0.619647948906	0.666666666667	9
NW_007655688.1;NW_007624690.1;NW_007634069.1	+;+;+	NW_007619507.1	-	53.7142062187	0.181781021072	0.833333333333	6
NW_007621362.1	+	NW_007620100.1	+	25.4020588398	0.787183374467	0.6	5
NW_007620720.1	+	NW_007620065.1	-	-193.424825668	0.629591025221	0.555555555556	9
NW_007651718.1	+	NW_007643636.1	+	46.6741943359	0.271367581903	0.6	5
NW_007672750.1	+	NW_007657163.1	+	96.9739112854	0.45044368947	0.6	5
NW_007655588.1	-	NW_007664020.1	-	40.0832061768	0.579753010021	0.666666666667	6
NW_007659294.1	+	NW_007646258.1	-	1.10801696777	0.232677395649	0.7	10
NW_007642383.1	-	NW_007654344.1	+	96.9560546875	0.484420530625	0.666666666667	9
NW_007672422.1	-	NW_007639787.1	+	96.9600982666	0.671652843943	0.4	5
NW_007650324.1	-	NW_007650161.1	+	55.2926940918	0.410478262727	0.8	10
NW_007653806.1	-	NW_007664616.1	+	20.9121246338	0.316184876841	0.833333333333	12
NW_007672182.1	+	NW_007642733.1	-	56.546005249	0.428148205848	0.666666666667	9
NW_007656207.1	-	NW_007641343.1	+	96.9542541504	0.935219618352	0.6	5
NW_007622191.1	+	NW_007660637.1	-	64.2833363786	0.277563528577	0.857142857143	7
NW_007666357.1	+	NW_007640655.1	-	64.8489227295	0.403285150566	0.8	10
NW_007621282.1	+	NW_007621866.1	-	-146.882781982	0.171653072566	0.6	5
NW_007619505.1	+	NW_007620052.1	+	5.0180801861	0.552015421212	0.8	5
NW_007654410.1	+	NW_007651315.1	-	-1.69454956055	0.236211397613	0.8125	16
NW_007653449.1	+	NW_007653706.1	-	58.4414672852	0.518398497766	0.666666666667	9
NW_007621616.1	+	NW_007663901.1	+	96.9710464478	0.33309298794	0.818181818182	11
NW_007656889.1	-	NW_007654258.1	+	41.4446563721	0.172307945652	0.8	5
NW_007643690.1	-	NW_007666906.1	-	96.9616241455	0.508162681367	0.714285714286	7
NW_007642914.1	-	NW_007638772.1	+	86.6736450195	0.606820160959	0.733333333333	15
NW_007619036.1	-	NW_007620380.1	-	-65.5123734474	0.571529828065	0.5	6
NW_007658303.1	-	NW_007643827.1	+	96.9741210938	0.969942659303	0.6	5
NW_007635857.1	-	NW_007672120.1	+	96.9647827148	0.370966971667	0.714285714286	7
NW_007634142.1	-	NW_007658213.1	+	3.46835327148	0.268833377601	0.857142857143	21
NW_007634915.1	-	NW_007666352.1	+	54.9592132568	0.633798926628	0.6	5
NW_007637945.1	-	NW_007667050.1	+	57.6634521484	0.430989805877	0.777777777778	9
NW_007618309.1	+	NW_007656917.1	-	31.7729949951	0.351012686044	0.7	10
NW_007643781.1	-	NW_007653778.1	-	67.5809936523	0.459789446905	0.571428571429	7
NW_007668533.1	-	NW_007643748.1	-	13.53565979	0.388387207961	0.857142857143	7
NW_007669665.1	-	NW_007618531.1	+	-6.18430843949	0.268867630329	0.6	5
NW_007621406.1	-	NW_007656935.1	-	-3.22609066963	0.433781546941	0.875	8
NW_007618738.1	-	NW_007620470.1	-	-161.002639771	0.164843905722	0.5	6
NW_007662026.1	-	NW_007638832.1	+	72.7159576416	0.424197646514	0.666666666667	6
NW_007618990.1	-	NW_007668997.1	-	-80.272644043	0.265152865875	0.75	8
NW_007618774.1	+	NW_007621687.1	+	-178.968322754	0.216803966547	0.777777777778	9
NW_007652975.1	-	NW_007664401.1	+	82.2845153809	0.50241110264	0.8	5
NW_007667342.1	-	NW_007659694.1	-	84.9669265747	0.563750765976	0.666666666667	9
NW_007619003.1	-	NW_007621286.1	-	-32.1557850838	0.242821966446	0.555555555556	18
NW_007619019.1	-	NW_007620700.1	-	-39.2869338989	0.37732571497	0.666666666667	6
NW_007619019.1	-	NW_007620070.1	-	-193.645587921	0.251577381177	0.6	5
NW_007619019.1	-	NW_007619295.1	-	-68.6296081543	0.241750379278	0.571428571429	7
NW_007660438.1	-	NW_007661039.1	-	28.7378234863	0.333002419773	0.8	5
NW_007639313.1	+	NW_007652218.1	+	96.9616394043	0.786080016408	0.6	5
NW_007657223.1	+	NW_007669339.1	+	96.9725799561	0.518130751814	0.6	5
NW_007671471.1	+	NW_007637624.1	-	43.2480545044	0.466006771836	0.714285714286	7
NW_007620377.1	+	NW_007621607.1	+	10.521784544	0.325715384137	0.777777777778	9
NW_007620364.1	-	NW_007651524.1	+	4.69524288177	0.333425693883	0.666666666667	6
NW_007654539.1	-	NW_007655430.1	-	62.0253753662	0.386450596779	0.769230769231	13
NW_007637236.1	+	NW_007639045.1	+	64.3666992188	0.449663927491	0.75	8
NW_007636893.1	+	NW_007635143.1	-	60.7969360352	0.507683043672	0.777777777778	9
NW_007618692.1	+	NW_007619485.1	-	-110.24180603	0.631626926938	0.77358490566	53
NW_007618692.1	+	NW_007620728.1	+	9.26770162582	0.42160379913	0.818181818182	22
NW_007620664.1	-	NW_007618567.1	-	5.35821147263	0.358874624198	0.833333333333	6
NW_007636942.1	+	NW_007639571.1	+	89.8792114258	0.436230813258	0.785714285714	14
