scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB664234	+	KB664077	-	236.964618683	0.178296496912	0.666666666667	6
KB664234	+	KB663993	-	-406.825195312	0.0798043291835	0.666666666667	6
KB664234	+	KB663865	-	-373.12878418	0.0588845845678	0.714285714286	7
KB664020	+	KB664024	+	236.971038818	0.214658281341	0.7	30
KB664020	+	KB663850	+	236.959587097	0.260983402886	0.8	25
KB663960	-	KB663908	+	-454.541980743	0.107112620104	0.666666666667	6
KB664235	-	KB664003	-	47.4755096436	0.157814713375	0.727272727273	11
KB664107	-	KB664048	+	68.5029602051	0.175454690173	0.875	56
KB663969	+	KB663700	-	-617.676307678	0.130542633887	0.857142857143	7
KB664210	-	KB663899	-	-397.702140689	0.127178442189	0.571428571429	7
KB664210	-	KB663777	+	-457.802624345	0.0400522098691	0.571428571429	7
KB664210	-	KB664243	+	-344.637494564	0.0789525246165	0.833333333333	12
KB664210	-	KB663825	+	-589.896145344	0.0818720422177	0.714285714286	28
KB663781	+	KB664137	-	-573.282211304	0.0891427565925	0.789473684211	19
KB663825	-	KB664243	+	-182.751609802	0.101229739945	0.75	8
KB663825	-	KB663899	-	-248.18314302	0.131353449297	0.555555555556	9
KB663904	-	KB663648	+	-235.540876389	0.0681956510542	0.714285714286	7
KB664199	-	KB664284	-	-440.302751541	0.0721423091809	0.8	5
KB663807	-	KB664247	+	90.1036911011	0.772809209751	0.333333333333	6
KB664285	-	KB664068	+	-108.529004097	0.0571296520107	0.6	5
KB664285	-	KB663940	+	-618.577032089	0.112016241491	0.666666666667	6
KB663923	+	KB663715	+	-479.199382782	0.161929257351	0.857142857143	42
KB663940	-	KB663864	-	-319.413221359	0.133153190623	0.625	8
KB663940	-	KB663699	-	-339.319883332	0.132391266563	0.625	8
KB663940	-	KB663814	-	-621.670783997	0.112000276294	0.666666666667	6
KB663940	-	KB663772	+	-188.491424561	0.142953243726	0.625	8
KB663993	+	KB663899	-	-500.095586181	0.123050900558	0.75	12
KB663993	+	KB663802	-	-405.345817566	0.0500660415564	0.8	10
KB663993	+	KB663803	-	-401.868774414	0.119858843224	0.7	10
KB663993	+	KB664243	+	-444.240945816	0.108051523249	0.714285714286	7
KB664029	+	KB663965	+	154.695144653	0.190934006898	0.927835051546	97
KB664153	+	KB663897	+	69.4330673218	0.112761572671	0.869565217391	23
KB663670	+	KB664024	-	70.7995567322	0.170715448066	0.789473684211	19
KB663670	+	KB663850	-	60.6623821259	0.108584787343	0.869565217391	23
KB663634	-	KB664093	+	20.2983512878	0.17948801219	0.807692307692	26
KB664048	+	KB664107	-	74.8233947754	0.131631182795	0.761904761905	21
KB664217	-	KB663893	-	-463.378108978	0.0875426345128	0.836734693878	196
KB664053	+	KB663707	+	236.96579361	0.307235788442	0.875	32
KB664000	-	KB664258	+	-595.366292953	0.105812040808	0.84	25
KB663619	-	KB664187	+	-360.876674652	0.0979847076033	0.714285714286	7
KB664230	-	KB664110	+	-150.216205597	0.131592755616	0.75	8
KB664167	+	KB664110	+	-493.160190582	0.097963615851	0.866666666667	15
KB664204	-	KB664061	+	62.29637146	0.0971680138948	0.8	5
KB664204	-	KB664167	+	-589.325469971	0.0596883492985	0.8	5
KB664204	-	KB664211	+	-194.519241333	0.0661617282633	0.8	5
KB663937	+	KB663823	+	-135.72751236	0.162788035219	0.857142857143	28
KB664241	+	KB664167	+	-520.702880859	0.0367588551852	0.6	5
KB663743	+	KB664110	+	-158.546363831	0.11223442135	0.833333333333	12
KB663709	+	KB663975	-	-57.0667533875	0.115225709792	0.888888888889	99
KB663689	-	KB664245	-	-139.193412781	0.458050267239	0.235294117647	17
KB663704	+	KB663932	+	-491.298137546	0.0791156568245	0.777777777778	9
KB664053	-	KB663699	-	159.194268897	0.22841628277	0.8	10
KB663866	-	KB664034	-	236.968938291	0.205702747053	0.6	5
KB664245	+	KB663687	+	-178.840396881	0.140111303182	0.85	20
KB664245	+	KB663729	-	-233.468456268	0.417650344642	0.4	10
KB663920	+	KB663838	-	181.645633698	0.174720691248	0.785714285714	14
KB664158	+	KB663804	-	236.956428528	0.341672450586	0.714285714286	14
KB663801	+	KB664061	+	-289.576137543	0.0812669661775	0.714285714286	7
KB663801	+	KB664211	+	-452.181781769	0.0763002409503	0.7	10
KB664029	-	KB663965	-	236.967300415	0.207166707448	0.76	25
KB663865	+	KB663899	-	-467.136662602	0.0969024154032	0.6	5
KB663865	+	KB663803	-	-371.382049561	0.104694747767	0.769230769231	13
KB663865	+	KB663802	-	-374.967168808	0.0507673905241	0.875	8
KB663865	+	KB664243	+	-413.528123856	0.0706385755456	0.777777777778	9
KB664055	+	KB664077	-	-552.912060976	0.229794862741	0.728571428571	70
KB664178	+	KB664110	+	-408.616588593	0.0989649632697	0.866666666667	15
KB664132	+	KB663838	-	14.7495045662	0.123406120923	0.8	10
KB664274	+	KB663800	+	-587.207852364	0.0569896717506	0.705882352941	17
KB663858	+	KB663728	-	148.756370544	0.10871040282	0.625	8
KB664199	+	KB664274	+	-322.328423023	0.100657482019	0.8	5
KB664262	+	KB663734	+	56.4505519867	0.172031224459	0.85	20
KB663943	-	KB663648	+	0.277641031891	0.112774068287	0.714285714286	7
KB664070	-	KB664110	+	-37.4423189163	0.131505900504	0.866666666667	15
KB664272	+	KB663864	-	-384.390258789	0.0547239221484	0.6	5
KB664272	+	KB663699	-	-403.95930022	0.049081562912	0.666666666667	6
KB663802	+	KB663777	+	162.622651339	0.123728619778	0.666666666667	6
KB663720	-	KB664110	+	-412.887777805	0.0922752744659	0.666666666667	6
KB663838	+	KB663891	-	236.967439651	0.161665243228	0.666666666667	6
KB663838	+	KB663975	+	177.46213913	0.188449657442	0.833333333333	12
KB664121	-	KB663651	-	-443.269768238	0.913324270143	0.6	5
KB663731	-	KB664110	+	-209.581686497	0.103794414677	0.833333333333	12
KB664266	-	KB663719	+	-605.533578146	0.122706024449	0.666666666667	6
KB663719	+	KB663830	-	-574.331222534	0.102907523537	0.8	15
KB664263	-	KB663681	-	-175.975304604	0.698090726985	0.25	16
KB663772	-	KB663977	+	-236.927557468	0.0696520026402	0.666666666667	6
KB663691	+	KB663665	+	-611.113512993	0.177453459141	0.8	10
KB663971	+	KB663899	-	-445.203334332	0.1230119034	0.625	8
KB663971	+	KB663932	+	-341.514051318	0.0536823968547	0.666666666667	6
KB663971	+	KB664243	+	-394.334361553	0.084807914933	0.833333333333	12
KB664062	+	KB663794	+	84.9260101318	0.183558355727	0.666666666667	9
KB664077	+	KB663803	-	236.963069916	0.153337054108	0.666666666667	6
