contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
KB666781	1366	6961837.2	206299.0	177.0	No
KB666937	1221	5725529.7	169664.0	177.0	No
KB666715	1420	4624230.3	137029.0	177.0	No
KB666824	1337	4457442.5	132087.0	177.0	No
KB667135	1113	4076542.0	120800.0	177.0	No
KB666975	1169	3717883.2	110172.0	177.0	No
KB666501	1714	2118349.2	62773.0	177.0	No
KB666418	1819	884465.0	26209.0	177.0	No
KB667240	1082	323238.7	9578.0	177.0	No
KB666659	1513	314419.4	9317.0	177.0	No
KB667345	1081	276835.6	8203.0	177.0	No
KB666727	1397	268707.9	7963.0	177.0	No
KB667291	1010	138305.1	4098.0	177.0	No
KB666749	1426	130882.0	3878.0	177.0	No
KB666584	1651	79938.1	2369.0	177.0	No
KB665726	4590	61491.5	1822.0	177.0	No
KB666701	1438	46823.3	1388.0	177.0	No
KB667068	1197	40848.5	1210.0	177.0	No
KB667661	37520	26418.9	783.0	177.0	No
KB666182	2496	25447.6	754.0	177.0	No
KB666382	1909	21454.6	636.0	177.0	No
KB667287	1986564	20787.5	616.0	177.0	No
KB666235	9392	18132.1	537.0	177.0	No
KB667201	1045	15447.3	458.0	177.0	No
KB666618	1599	13440.8	398.0	177.0	No
KB667057	1141	13233.0	392.0	177.0	No
KB666495	1724	13154.6	390.0	177.0	No
KB666892	1270	12533.5	371.0	177.0	No
KB667550	49905	12470.2	370.0	177.0	No
KB666822	1401	11629.1	345.0	177.0	No
KB668219	30858	11577.8	343.0	177.0	No
KB668153	24983	10966.0	325.0	177.0	No
KB667180	1074	10648.2	316.0	177.0	No
KB667909	11323	10223.3	303.0	177.0	No
KB666359	2098	10092.6	299.0	177.0	No
KB666739	1441	10037.5	297.0	177.0	No
