contig_accession	length	coverage	cov/mean_cov(exp number of placements)	lib_mean	placable
AXCP01009812	1140	8121824.8	111630.0	165.0	No
AXCP01009641	1697	1539839.4	21164.0	165.0	No
AXCP01009730	1487	78694.4	1082.0	165.0	No
AXCP01009863	1050	42984.9	591.0	165.0	No
KI422249	23691	36054.2	496.0	165.0	No
AXCP01009832	1203	16728.2	230.0	165.0	No
AXCP01009622	1764	16028.5	220.0	165.0	No
KI422411	7106	11760.1	162.0	165.0	No
AXCP01009858	1093	11529.3	158.0	165.0	No
KI422167	59334	10441.1	144.0	165.0	No
AXCP01009231	3460	10280.2	141.0	165.0	No
