scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_010581203.1	+	NW_010583155.1	-	15.2582330704	0.369912880984	0.818181818182	11
NW_010589502.1	+	NW_010658537.1	+	53.9562568665	0.626202644509	0.666666666667	6
NW_010584468.1	+	NW_010655713.1	-	12.1610889435	0.521320064325	0.75	8
NW_010577178.1	-	NW_010651684.1	-	31.6710891724	0.607292168205	0.4	5
NW_010577888.1	+	NW_010647643.1	+	15.3784790039	0.456011102901	0.666666666667	9
NW_010644540.1	+	NW_010580009.1	-	24.3371591568	0.666289045963	0.666666666667	6
NW_010619586.1	+	NW_010658750.1	-	53.9667434692	0.7679045443	0.666666666667	6
NW_010647782.1	+	NW_010581665.1	+	53.9590764046	0.593877238049	0.571428571429	7
NW_010644946.1	+	NW_010582603.1	-	45.4120674133	0.467428692661	0.8	5
NW_010589249.1	-	NW_010585301.1	+	19.8153061867	0.640283529917	0.818181818182	11
NW_010645473.1	-	NW_010580636.1	+	22.0834350586	0.334434394407	0.666666666667	6
NW_010636060.1	+	NW_010585035.1	-	53.9748807549	0.597539179795	0.857142857143	7
NW_010576419.1	+	NW_010590064.1	+	18.360809803	0.670364034371	0.6	5
NW_010586911.1	+	NW_010625126.1	-	-110.872695923	0.32855467512	0.8	5
NW_010640809.1	-	NW_010656415.1	-	53.9595336914	0.533220412987	0.6	5
NW_010577773.1	+	NW_010655824.1	+	-69.0875267982	0.351985339208	0.777777777778	9
NW_010583957.1	+	NW_010588559.1	+	53.9561468363	0.854293552918	0.6	5
NW_010589553.1	+	NW_010604171.1	+	19.3588725328	0.500147523076	0.833333333333	6
NW_010581296.1	-	NW_010604531.1	+	53.9601964951	0.467139408356	0.4	5
NW_010639879.1	-	NW_010622828.1	+	53.962890625	0.3405866535	0.818181818182	11
NW_010580208.1	-	NW_010585672.1	-	20.9916988015	0.398462367932	0.666666666667	6
NW_010617522.1	+	NW_010580625.1	+	14.6557416916	0.404808930303	0.833333333333	12
NW_010578828.1	+	NW_010658206.1	+	3.69785070419	0.500970734054	0.666666666667	6
NW_010579982.1	+	NW_010585394.1	+	-13.5603204966	0.839641060752	0.571428571429	7
NW_010587884.1	-	NW_010631192.1	+	6.31266200542	0.768743350301	0.75	8
NW_010586744.1	+	NW_010655820.1	+	16.6173911095	0.697701989162	0.75	8
NW_010606437.1	-	NW_010629676.1	-	18.8016357422	0.651451192069	0.782608695652	69
NW_010646746.1	+	NW_010650883.1	-	53.9665222168	0.680493859441	0.571428571429	7
NW_010581585.1	+	NW_010621109.1	-	-0.524749457836	0.356093716742	0.571428571429	7
NW_010579208.1	-	NW_010579092.1	+	-165.267773151	0.133344472377	0.666666666667	6
NW_010588285.1	+	NW_010656952.1	-	53.9598202705	0.875653554609	0.4	5
NW_010657713.1	-	NW_010587264.1	+	-5.06910705566	0.825638734384	0.5	6
NW_010583772.1	-	NW_010587591.1	+	31.6758933067	0.485757258492	0.8	5
NW_010658613.1	+	NW_010578467.1	+	37.9897232056	0.591191387129	0.777777777778	9
NW_010585937.1	+	NW_010581047.1	-	-102.361816406	0.289561544737	0.866666666667	15
NW_010641784.1	-	NW_010616594.1	+	53.963684082	0.447502684719	0.666666666667	6
NW_010641789.1	+	NW_010653685.1	+	53.9656219482	0.782936087358	0.666666666667	6
NW_010589810.1	-	NW_010641501.1	+	53.9659686089	0.856167609802	0.6	5
NW_010587760.1	-	NW_010609085.1	-	38.1741399765	0.677771671529	0.4	5
NW_010608151.1	+	NW_010589880.1	-	53.9634962082	0.771360874957	0.6	5
NW_010590024.1	-	NW_010590219.1	-	35.6445922852	0.848080784475	0.666666666667	9
NW_010588067.1	+	NW_010627743.1	+	6.71301269531	0.288743771169	0.666666666667	6
NW_010583144.1	-	NW_010589783.1	+	-113.60055995	0.690936054357	0.692307692308	13
NW_010583144.1	-	NW_010621761.1	+	0.719215393066	0.665807810384	0.6	5
NW_010648616.1	-	NW_010658653.1	-	53.964881897	0.559774393843	0.636363636364	11
NW_010583408.1	-	NW_010614432.1	+	11.4562709332	0.514843258817	0.625	8
NW_010656138.1	-	NW_010658519.1	-	53.9619674683	0.846845462878	0.6	10
NW_010604486.1	+	NW_010585205.1	+	14.2958679199	0.683274823138	0.714285714286	7
NW_010651626.1	-	NW_010578860.1	+	53.9551975727	0.457871139523	0.666666666667	6
NW_010625739.1	+	NW_010579960.1	+	5.14345169067	0.393622653787	0.555555555556	9
NW_010587177.1	+	NW_010641412.1	+	23.8632955551	0.3868617317	0.857142857143	7
NW_010623492.1	-	NW_010582523.1	-	25.0402641296	0.464854371138	0.8	5
NW_010580331.1	+	NW_010579250.1	-	-90.5375576019	0.24711714478	0.714285714286	7
NW_010577564.1	+	NW_010640570.1	+	-0.395301818848	0.366451086085	0.666666666667	6
NW_010589319.1	+	NW_010640282.1	-	30.1518630981	0.455246757916	0.6	5
NW_010586705.1	+	NW_010576766.1	-	-70.3570536375	0.272372234793	0.727272727273	11
NW_010581513.1	-	NW_010582290.1	-	41.4323358536	0.677187809877	0.666666666667	6
NW_010585785.1	+	NW_010582753.1	-	20.9865651131	0.848908189666	0.666666666667	6
NW_010583940.1	+	NW_010603223.1	+	2.89154052734	0.771595209372	0.666666666667	6
NW_010641624.1	+	NW_010619234.1	+	27.9435424805	0.55819863038	0.571428571429	7
NW_010648891.1	+	NW_010633752.1	-	53.973815918	0.67841262228	0.777777777778	9
NW_010584228.1	+	NW_010576959.1	-	-140.427280426	0.309716740447	0.714285714286	7
NW_010582682.1	-	NW_010577039.1	-	-2.1806344986	0.844520453146	0.571428571429	7
NW_010644072.1	+	NW_010588729.1	-	53.9629364014	0.786192813672	0.4	5
NW_010589704.1	-	NW_010636937.1	-	-141.203292847	0.238440761923	0.714285714286	7
NW_010630377.1	+	NW_010583445.1	-	53.9611952305	0.984897860256	0.857142857143	7
NW_010634882.1	-	NW_010631185.1	+	53.9624023438	0.614331605826	0.6	5
NW_010649359.1	-	NW_010584092.1	+	1.73115921021	0.72202022208	0.4	5
NW_010588342.1	-	NW_010580072.1	+	8.22018653154	0.420196101139	0.818181818182	11
NW_010646911.1	+	NW_010614937.1	+	53.9587097168	0.44707610796	0.625	8
NW_010628216.1	-	NW_010585776.1	-	53.9695248604	0.328391502373	0.6	5
NW_010579237.1	+	NW_010580317.1	-	-162.463050842	0.154352478266	0.866666666667	30
NW_010653450.1	-	NW_010582849.1	+	13.4291687012	0.57397652622	0.714285714286	7
NW_010642212.1	-	NW_010612280.1	-	11.98828125	0.40563469147	0.6875	16
NW_010579248.1	-	NW_010624749.1	-	50.0425344706	0.895948324995	0.571428571429	7
NW_010658545.1	+	NW_010590080.1	+	32.9560623169	0.60271688058	0.777777777778	9
NW_010584353.1	-	NW_010587136.1	-	47.1071181297	0.913335853605	0.777777777778	9
NW_010579575.1	+	NW_010583188.1	-	42.1833982468	0.400954524755	0.666666666667	6
