#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_maculatus	AXCL01024430	AMAM000001	-	399	2025	6	399-628:682-896:970-1092:1151-1236:1374-1789:1887-2025
Anopheles_maculatus	KI435023	AMAM000002	-	6687	7249	2	6687-6915:7005-7249
Anopheles_maculatus	AXCL01010547	AMAM000003	+	2434	2976	2	2434-2523:2605-2976
Anopheles_maculatus	AXCL01026087	AMAM000004	-	1063	2168	4	1063-1229:1286-1419:1495-1789:2057-2168
Anopheles_maculatus	AXCL01003115	AMAM000005	+	3675	4988	3	3675-4078:4286-4736:4896-4988
Anopheles_maculatus	AXCL01024744	AMAM000007	-	748	1168	2	748-1056:1076-1168
Anopheles_maculatus	AXCL01045314	AMAM000008	+	82	921	3	82-232:299-548:726-921
Anopheles_maculatus	AXCL01018860	AMAM000014	-	1	2708	4	1-1130:1194-1269:2376-2519:2595-2708
Anopheles_maculatus	KI438042	AMAM000015	+	89	3711	3	89-283:350-487:3043-3711
Anopheles_maculatus	AXCL01019488	AMAM000016	+	158	352	1	158-352
Anopheles_maculatus	KI437902	AMAM000017	-	250	3089	3	250-453:1864-2933:3017-3089
Anopheles_maculatus	AXCL01048316	AMAM000020	+	29	759	3	29-226:302-525:603-759
Anopheles_maculatus	AXCL01053031	AMAM000021	+	2	1030	1	2-1030
Anopheles_maculatus	AXCL01037545	AMAM000023	+	458	799	1	458-799
Anopheles_maculatus	AXCL01005575	AMAM000024	+	3496	4071	1	3496-4071
Anopheles_maculatus	AXCL01002049	AMAM000025	-	5050	7298	4	5050-5444:5608-6279:6375-6495:7257-7298
Anopheles_maculatus	AXCL01037460	AMAM000026	-	48	1238	1	48-1238
Anopheles_maculatus	AXCL01029972	AMAM000027	-	3	994	2	3-797:866-994
Anopheles_maculatus	AXCL01004228	AMAM000029	-	5927	6344	2	5927-6040:6123-6344
Anopheles_maculatus	KI435418	AMAM000031	-	286	1753	2	286-728:1750-1753
Anopheles_maculatus	AXCL01007862	AMAM000032	+	38	5294	6	38-85:1229-2278:3677-3928:4022-4330:4411-4796:4880-5294
Anopheles_maculatus	AXCL01033516	AMAM000035	+	33	950	1	33-950
Anopheles_maculatus	AXCL01008028	AMAM000038	-	507	1753	2	507-833:1583-1753
Anopheles_maculatus	AXCL01024862	AMAM000039	-	1512	2249	1	1512-2249
