scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCM01021055	+	AXCM01016856	-	-93.8866004944	0.696737918024	0.777777777778	9
AXCM01012663	+	AXCM01024169	-	-81.1522789001	0.612812545822	0.666666666667	3
AXCM01012663	+	KI423052	+	-85.557009697	0.631259626741	0.666666666667	3
AXCM01012663	+	AXCM01018106	-	-127.544662476	0.270282755963	0.666666666667	3
AXCM01012663	+	AXCM01022357	-	-196.18214798	0.313747182007	0.666666666667	3
AXCM01012663	+	AXCM01010767	-	-109.502458572	0.466810166168	0.333333333333	3
AXCM01012663	+	AXCM01017943	-	-89.1637420654	0.488163840244	0.666666666667	3
AXCM01012663	+	KI427198	+	-119.523277283	0.560471879656	0.666666666667	3
AXCM01012663	+	AXCM01022923	-	-122.81362915	0.884096880041	0.666666666667	3
AXCM01012663	+	AXCM01001804	-	-26.586605072	0.532981984646	0.333333333333	3
AXCM01004402	+	KI424793	+	-40.0937080383	0.218187290538	0.75	4
KI424182	-	AXCM01021742	+	-15.9078578949	0.986231592414	0.833333333333	6
AXCM01018244	+	KI422545	-	-101.447453022	0.541425460036	0.777777777778	9
AXCM01022825	-	AXCM01015776	+	6.95649719238	0.211768060677	0.5	4
AXCM01017460	-	AXCM01018404	+	-62.9617729187	0.38925715699	0.6	5
KI423050	-	AXCM01022923	-	-75.7628149986	0.968105776259	0.666666666667	3
AXCM01014375	+	AXCM01023329	+	-84.0694351196	0.346089729585	0.6	5
KI427688	-	KI425696	+	53.3106517792	0.829015648592	0.4	5
AXCM01019639	+	KI422954	-	-112.838602066	0.148209822419	0.666666666667	3
KI422591	+	AXCM01021496	+	-77.6377825737	0.602620530266	0.6	5
AXCM01022839	+	KI426711	+	-158.280212402	0.911366721677	0.333333333333	3
AXCM01019160	-	KI424022	-	58.653968811	0.893750480421	0.617647058824	34
AXCM01019160	-	AXCM01022943	+	-64.8114395142	0.484419504359	0.56	25
KI425132	-	AXCM01022212	+	-172.078550339	0.0983849150046	0.666666666667	6
