scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB677066	+	KB699175	+	15.8834686279	0.737431791323	0.6	5
KB679836	+	KB697996	+	11.0325431824	0.736198155226	0.75	8
KB679836	+	KB678391	-	-59.6094551086	0.495853536309	0.8	5
KB679836	+	KB698448	+	-70.7244548798	0.403203119561	0.8	5
KB699075	+	KB690747	-	14.002040863	0.35147938003	0.2	5
KB696905	-	KB687064	+	3.86953258514	0.778008410992	0.6	5
KB696905	-	KB688269	-	-22.5612277985	0.579538725172	0.714285714286	7
KB696905	-	KB696946	+	-103.107226372	0.275904732625	0.818181818182	11
KB696905	-	KB702424	+	-56.6338434219	0.572528744031	0.769230769231	13
KB696905	-	KB677576	-	-24.1254863739	0.595387017191	0.75	8
KB696905	-	KB688911	+	-74.2458209991	0.56551286089	0.727272727273	11
KB696905	-	KB687772	-	-19.0230350494	0.586344168806	0.714285714286	7
KB696905	-	KB686834	+	-83.9718914032	0.372389425157	0.714285714286	7
KB696905	-	KB676189	+	-4.29190540314	0.630730301034	0.666666666667	6
KB696905	-	KB700501	+	-112.376211166	0.13249473585	0.6	5
KB696905	-	KB682703	+	-54.9084196091	0.556335395513	0.785714285714	14
KB696905	-	KB698825	+	-60.7738857269	0.559123702795	0.8	15
KB696905	-	KB702768	-	-75.6933441162	0.543185044911	0.714285714286	7
KB696905	-	KB686395	-	-0.00539493560791	0.648240290885	0.666666666667	6
KB696905	-	KB674933	+	-20.3319816589	0.614664917358	0.666666666667	6
KB696905	-	KB698969	-	-102.13079834	0.438699976633	0.8	5
KB696905	-	KB703955	+	-15.4601287842	0.625885454671	0.666666666667	6
KB696905	-	KB675611	-	-35.6237230301	0.642805416242	0.714285714286	7
KB696905	-	KB702877	+	-90.6056880951	0.349405651248	0.818181818182	11
KB696905	-	KB692912	+	-18.7013120651	0.616138980287	0.666666666667	6
KB696905	-	KB700370	+	-85.1173143387	0.506137937049	0.727272727273	11
KB696905	-	KB675138	+	-46.9387769699	0.565690380801	0.769230769231	13
KB696905	-	KB678279	+	-42.2361602783	0.507538029134	0.625	8
KB696905	-	KB688916	+	-12.9076948166	0.632768147322	0.666666666667	6
KB696905	-	KB684587	-	2.1364812851	0.649680376156	0.714285714286	7
KB696905	-	KB677598	-	-62.1109046936	0.531338862419	0.727272727273	11
KB696905	-	KB675847	+	-17.8801221848	0.620014336809	0.666666666667	6
KB696905	-	KB693059	+	-36.4644632339	0.553264295423	0.75	12
KB696905	-	KB697902	-	-102.088799477	0.29482949973	0.833333333333	12
KB696905	-	KB698096	-	-89.691526413	0.542488582251	0.8125	16
KB696905	-	KB680576	-	-68.1545419693	0.572847517563	0.8125	16
KB696905	-	KB674118	-	-47.9346532822	0.395129441839	0.75	8
KB696905	-	KB676973	+	-83.8060779572	0.573609458422	0.8	10
KB696905	-	KB688351	-	4.53363800049	0.669725730621	0.666666666667	6
KB696905	-	KB675423	+	-10.1110286713	0.594632566812	0.666666666667	6
KB696905	-	KB701462	+	-1.19044780731	0.736380296889	0.8	5
KB696905	-	KB675410	+	-2.95808124542	0.695445940889	0.8	5
KB696905	-	KB699660	+	-12.9226703644	0.632725591897	0.666666666667	6
KB696905	-	KB698011	+	-85.3775844574	0.441307758846	0.727272727273	11
KB696905	-	KB697629	-	5.11015319824	0.695935828098	0.8	5
KB696905	-	KB674231	+	-68.2200632095	0.462361009764	0.785714285714	14
KB696905	-	KB673884	-	-22.5683689117	0.579526052496	0.714285714286	7
KB696905	-	KB699642	-	-2.15259933472	0.644002302696	0.666666666667	6
KB696905	-	KB679496	-	-82.3955688477	0.551742042339	0.714285714286	7
KB696905	-	KB702014	-	-56.6358737946	0.506544235632	0.75	12
KB696905	-	KB674402	-	-23.7773885727	0.577438542084	0.714285714286	7
KB696905	-	KB701266	-	-83.2930450439	0.603698001445	0.75	12
KB696905	-	KB683274	+	-49.3982658386	0.600350027455	0.75	12
KB696905	-	KB674183	-	-108.349009514	0.230393042312	0.8	10
KB696905	-	KB700912	-	-45.1760692596	0.698412352195	0.5	6
KB696905	-	KB680026	+	-54.3923358917	0.690862725547	0.666666666667	12
KB696905	-	KB687774	+	-92.2795782089	0.386957455681	0.8	10
KB696905	-	KB679566	+	-84.5715656281	0.583548714596	0.785714285714	14
KB696905	-	KB703179	+	-23.5018520355	0.58426279912	0.666666666667	6
KB696905	-	KB677056	+	-58.6345615387	0.607417047802	0.875	8
KB696905	-	KB696803	+	3.86823272705	0.778000857698	0.6	5
KB696905	-	KB673945	+	-33.7251625061	0.561906812397	0.7	10
KB696905	-	KB703208	+	-47.4774341583	0.616572373949	0.666666666667	9
KB696905	-	KB687960	+	-34.4158239365	0.574878187219	0.6	10
KB696905	-	KB696907	+	-73.2328872681	0.602212149266	0.6	5
KB696905	-	KB701684	+	-58.1341333389	0.442773835377	0.8	10
KB696905	-	KB703810	-	-66.0019044876	0.553991851899	0.8125	16
KB696905	-	KB697318	+	-63.8458013535	0.390352399228	0.75	8
KB696905	-	KB702602	+	-78.711192131	0.580017137927	0.8	15
KB696905	-	KB690406	-	-28.3890542984	0.5704554501	0.714285714286	7
KB696905	-	KB678373	-	-33.287812233	0.592487114497	0.666666666667	9
KB696905	-	KB687916	+	-74.2301931381	0.564341863999	0.8	15
KB696905	-	KB676998	+	-40.0582761765	0.5750388917	0.727272727273	11
KB696905	-	KB686425	+	-57.4636707306	0.56753909953	0.769230769231	13
KB696905	-	KB691233	+	-28.4450597763	0.592612133071	0.75	8
KB678192	-	KB695516	+	20.568939209	0.321415487676	0.333333333333	9
KB676040	-	KB697008	+	41.3599433899	0.57490578441	0.714285714286	14
KB695361	+	KB695069	-	0.235214233398	0.854212749412	0.764705882353	17
KB678895	+	KB684916	-	-29.7332229614	0.50684794314	0.931407942238	277
