scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB664629	-	KB664435	+	-1993	0.231538371856	0.777777777778	9
KB664794	+	KB664738	-	-4162.76250966	0.0354747402885	0.333333333333	3
KB664596	+	KB664433	+	-100.674628104	0.439909039594	0.75	8
KB664911	-	KB664878	+	-1705	0.415920450278	0.5	4
KB664450	-	KB664601	-	-952.92547395	0.429961135712	0.666666666667	3
KB665011	-	KB664882	+	591.016285661	0.280914727799	0.666666666667	3
KB664789	-	KB664887	+	-4299.76250966	0.389742277853	0.333333333333	3
KB664789	-	KB664861	-	-2633.76250966	0.722941205157	0.5	14
KB664780	+	KB664476	+	-1974	0.235525802893	0.8	10
KB665067	-	KB664893	-	1009	0.609735832713	0.285714285714	7
KB665056	-	KB664860	-	-3142.76250966	0.537745782812	0.333333333333	3
KB664475	-	KB665150	-	3224	0.876755097966	0.2	5
KB664490	+	KB664825	+	-3997.76250966	0.721726180941	0.333333333333	3
KB664429	-	KB664744	-	-1896	0.0516604142735	0.666666666667	3
KB664539	-	KB664459	-	-356.614811032	0.236797926939	0.666666666667	3
KB664577	+	KB664684	-	-1889	0.150268561169	0.666666666667	3
KB664623	-	KB664580	-	-1984	0.157390459301	0.846153846154	13
KB664584	-	KB664652	+	-4385.76250966	0.0882029271389	0.666666666667	3
KB664459	-	KB664500	+	4381.89845825	0.0742980092443	0.75	4
KB664650	-	KB664700	-	-3010.76250966	0.357418663758	0.5	4
KB664323	-	KB664560	-	-3096.76250966	0.637635311738	0.8125	16
KB664914	-	KB664879	+	4867.57247772	0.512742957584	0.333333333333	3
KB664914	-	KB664830	+	4436	0.993284388296	0.333333333333	3
KB664914	-	KB664822	+	-1308.86041655	0.926815609366	0.5	6
KB665354	+	KB664858	-	-2451.76250966	0.0301675472107	0.666666666667	3
KB664830	-	KB664825	+	-622.080729393	0.278522684899	0.133333333333	15
KB664830	-	KB664678	+	-4465.76250966	0.00244266549035	0.5	8
KB664830	-	KB665053	-	1548.47935501	0.26893710575	0.25	4
KB664830	-	KB664731	+	-1150	0.481735860859	0.4	5
KB664420	+	KB664810	-	2699.92478889	0.208074543211	0.333333333333	3
KB664420	+	KB664437	+	542.108798542	0.972405959841	0.5	4
KB664420	+	KB664799	-	1190.66242646	0.402046875917	0.666666666667	3
KB664420	+	KB664545	-	1469.93341724	0.244677246759	0.333333333333	3
KB665221	+	KB664462	-	-695.766619607	0.586283995899	0.833333333333	6
KB664694	-	KB664727	+	-3981.76250966	0.35162549373	0.5	4
KB664468	-	KB664636	+	172.742663297	0.804281505606	0.5	4
KB664581	+	KB664491	+	-1775	0.478216943434	0.847826086957	46
KB664488	+	KB664608	+	-2246.76250966	0.415058346408	0.833333333333	18
KB664532	+	KB664572	-	-4295.76250966	0.299562539753	0.807692307692	26
KB664686	-	KB665299	-	4505.70685136	0.00474231862389	0.5	8
KB664886	+	KB664840	+	-992.156285229	0.191082088629	0.75	4
KB664625	+	KB664440	-	-2586.76250966	0.506984251673	0.884615384615	26
KB664659	-	KB664749	+	-2454.76250966	0.572550247408	0.85	20
KB665165	-	KB664679	+	-2997.76250966	0.443462936983	0.777777777778	18
KB664881	-	KB664727	+	-4164.76250966	0.244370088954	0.5	6
KB664881	-	KB664800	+	3112	0.602452229905	0.333333333333	3
KB664466	-	KB664432	+	-3054.76250966	0.451764325471	0.75	16
KB664920	+	KB664889	+	-4099.76250966	0.272868456702	0.666666666667	3
KB664920	+	KB664837	+	-1239.23355409	0.25893679275	0.666666666667	3
KB664855	+	KB664521	+	-813	0.963608618879	0.833333333333	18
KB664543	-	KB664765	-	-2012	0.350603902899	0.8125	16
KB665132	+	KB664747	+	3592.38310056	0.634314687577	0.666666666667	3
KB664858	-	KB665000	-	-3936.76250966	0.121939474822	0.5	6
KB664858	-	KB664444	+	-3985.76250966	0.202255207485	0.6	5
KB664858	-	KB664442	+	-4399.76250966	0.346558040558	0.333333333333	3
KB664876	-	KB665079	+	871.683923216	0.723144208832	0.333333333333	3
