scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009662820.1	+	NW_009691981.1	+	-663.842476547	0.102761001875	0.6	5
NW_009662820.1	+	NW_009665426.1	-	-79.4508579075	0.669849619926	0.625	16
NW_009662111.1	-	NW_009666278.1	+	-681.12402308	0.0735110083113	0.8	5
NW_009664159.1	+	NW_009664180.1	+	63.3452381492	0.241294249811	0.769230769231	13
NW_009661773.1	-	NW_009661410.1	-	122.405635893	0.0969510193897	0.857142857143	7
NW_009664009.1	+	NW_009665390.1	+	-317.736192942	0.552720743823	0.272727272727	11
NW_009664009.1	+	NW_009663156.1	-	-208.078140259	0.354385333194	0.5	6
NW_009666257.1	+	NW_009663962.1	+	-233.278076172	0.073275234702	0.8	5
NW_009663711.1	+	NW_009662424.1	-	-56.4059056044	0.131751704473	0.846153846154	26
NW_009665550.1	+	NW_009662929.1	+	29.4387550354	0.379870033254	0.789473684211	19
NW_009666277.1	+	NW_009662819.1	-	10.1643298194	0.0905013919895	0.857142857143	14
NW_009665983.1	+	NW_009662926.1	+	-564.406880707	0.0555761624306	0.714285714286	7
NW_009692630.1	-	NW_009664521.1	+	3.25974979997	0.102068119096	0.904761904762	21
NW_009662474.1	-	NW_009664150.1	+	-472.209802255	0.914291944817	0.714285714286	7
NW_009662474.1	-	NW_009662869.1	+	-436.601764679	0.0439599438176	0.6	5
NW_009662474.1	-	NW_009663524.1	-	-230.950224638	0.0643009005975	0.8	5
NW_009662474.1	-	NW_009665267.1	-	-452.221068859	0.110963529197	0.833333333333	12
NW_009662643.1	-	NW_009663301.1	+	514.826713115	0.293576203938	0.714285714286	7
NW_009663612.1	+	NW_009663291.1	+	66.7560799718	0.105095226509	0.90625	32
NW_009666189.1	-	NW_009689927.1	+	-39.527352348	0.0736990718464	0.92	25
NW_009691999.1	-	NW_009692134.1	-	43.2863693237	0.110283690927	0.888888888889	36
NW_009664299.1	-	NW_009691873.1	+	-505.531066895	0.119862277827	0.833333333333	6
NW_009664877.1	+	NW_009661897.1	-	355.324373595	0.184914566189	0.866666666667	15
NW_009663473.1	-	NW_009662429.1	+	80.8146972656	0.089644666178	0.75	8
NW_009661413.1	-	NW_009663629.1	-	48.085410051	0.125161442748	0.911764705882	34
NW_009690505.1	+	NW_009691423.1	-	517.952819824	0.209667242115	0.838709677419	31
NW_009663526.1	+	NW_009665272.1	-	81.4234728739	0.111956423023	0.904761904762	21
NW_009666226.1	+	NW_009661836.1	+	14.7199288607	0.0850378116906	0.625	8
NW_009665395.1	-	NW_009664368.1	-	4.17382363975	0.0950934284022	0.916666666667	24
NW_009663450.1	+	NW_009666192.1	-	-54.9940427616	0.653931271514	0.758620689655	29
NW_009665747.1	+	NW_009690158.1	-	55.9721277952	0.125225114386	0.85	20
NW_009665265.1	-	NW_009663219.1	-	80.9218587875	0.0599704281482	0.875	8
NW_009662664.1	+	NW_009664490.1	+	-575.312779129	0.0738009180285	0.666666666667	6
NW_009666209.1	-	NW_009666221.1	-	11.8968720287	0.15666503412	0.863636363636	22
