scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_005061703.1	+	NW_005055531.1	-	-167.224739075	0.168868820644	0.6	10
NW_005057258.1	-	NW_005054824.1	+	-196.384473324	0.1229014585	0.714285714286	7
NW_005064839.1	+	NW_005057183.1	+	-167.46043396	0.814134614391	0.3	10
NW_005066210.1	+	NW_005071248.1	+	92.9663085938	0.588181562805	0.666666666667	6
NW_005065263.1	-	NW_005057760.1	-	-166.253875732	0.724841579759	0.5	8
NW_005065263.1	-	NW_005055334.1	+	-161.915327072	0.570765922525	0.4	5
NW_005055891.1	-	NW_005055947.1	-	-248.13331604	0.463934488919	0.5	6
NW_005069890.1	-	NW_005072586.1	-	-192.366699219	0.141969133949	0.8	20
NW_005069890.1	-	NW_005065779.1	-	-195.893127441	0.16546001019	0.866666666667	15
NW_005069281.1	+	NW_005056069.1	-	-114.234329224	0.171703363639	0.666666666667	6
NW_005063921.1	-	NW_005055667.1	-	-196.347660065	0.140130868577	0.833333333333	6
NW_005063921.1	-	NW_005068639.1	+	-186.646728516	0.181429258019	0.875	8
NW_005060222.1	-	NW_005058874.1	-	92.9534912109	0.303672892489	0.6	5
NW_005066997.1	-	NW_005057337.1	+	92.9521331787	0.150722787309	0.714285714286	7
NW_005055081.1	+	NW_005055405.1	-	-218.402898788	0.541032224921	0.25	8
NW_005055693.1	-	NW_005056829.1	+	-212.22485733	0.490360972958	0.4	5
NW_005068438.1	-	NW_005071526.1	+	-132.38067627	0.868130676949	0.428571428571	7
NW_005064199.1	-	NW_005070234.1	-	-167.652618408	0.177938160032	0.851851851852	27
NW_005054316.1	-	NW_005054802.1	-	-177.832549855	0.156332046939	0.666666666667	6
NW_005055769.1	+	NW_005059953.1	+	92.9704818726	0.388288315236	0.6	5
NW_005054528.1	+	NW_005054847.1	+	92.9706088603	0.269361393282	0.8	5
NW_005062529.1	-	NW_005058980.1	-	-53.6197357178	0.283379130525	0.75	8
NW_005063861.1	+	NW_005055079.1	+	-176.466300964	0.122464699043	0.8	5
NW_005068850.1	-	NW_005054729.1	-	-244.036040068	0.465069919335	0.817073170732	82
NW_005068850.1	-	NW_005070316.1	+	-53.8491821289	0.119631787197	0.8	5
NW_005072084.1	+	NW_005073755.1	-	92.9569702148	0.34213757073	0.8125	16
NW_005054756.1	-	NW_005054505.1	-	92.9630868435	0.289167098442	0.6	5
NW_005056828.1	-	NW_005060510.1	-	92.9679641724	0.371528952223	0.733333333333	15
NW_005070684.1	+	NW_005062529.1	-	-172.079406738	0.163924393439	0.545454545455	11
NW_005071454.1	-	NW_005066277.1	+	-146.174926758	0.109608616907	0.6	5
NW_005056210.1	+	NW_005066708.1	+	92.9647598267	0.298378154119	0.8	5
NW_005054637.1	-	NW_005054491.1	-	-203.839896888	0.161876146154	0.714285714286	14
NW_005069013.1	+	NW_005057593.1	+	-131.144561768	0.125901473442	0.833333333333	6
NW_005070660.1	+	NW_005054962.1	-	-266.351909637	0.105472081752	0.714285714286	14
NW_005060492.1	-	NW_005073378.1	+	-212.291778564	0.143209067538	0.666666666667	9
NW_005067526.1	+	NW_005072126.1	-	92.9701538086	0.402316466164	0.714285714286	7
NW_005073805.1	-	NW_005064006.1	+	92.9647521973	0.382170637946	0.724137931034	29
NW_005072989.1	+	NW_005066106.1	-	92.9686889648	0.266810636028	0.777777777778	9
NW_005063545.1	+	NW_005064612.1	+	92.9744110107	0.281562441021	0.583333333333	24
NW_005061933.1	+	NW_005065254.1	+	84.6038818359	0.23382202741	0.833333333333	6
NW_005062699.1	-	NW_005060136.1	-	92.9644470215	0.351106856221	0.75	8
