scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB704657	+	KB704554	+	-8512.86782074	0.00394167141799	0.48275862069	29
KB704657	+	KB704399	-	2032.70005798	0.00747921489509	0.470588235294	34
KB704657	+	KB704995	+	1515.89635026	0.39883885708	0.0333333333333	30
KB704657	+	KB704586	-	-8657.80021572	0.00637468339799	0.478260869565	46
KB704657	+	KB704450	-	-1915.29029608	0.00120177762236	0.375	8
KB704657	+	KB704711	-	-6022.22667885	0.00837580057073	0.5	60
KB704657	+	KB704674	+	-6140.6685186	0.0702787885335	0.0555555555556	36
KB704657	+	KB704495	-	157.586712837	0.00368978949509	0.454545454545	22
KB704657	+	KB704374	+	-3352.20149443	0.00583878186983	0.477272727273	44
KB704657	+	KB704407	+	282.006121129	0.00671899737504	0.5	42
KB704657	+	KB704546	+	-2393.0671463	0.000778002982292	0.5	6
KB704657	+	KB704215	-	-4777.3881731	0.00233755509064	0.4375	16
KB704657	+	KB705051	-	2052.30045867	0.00203043736922	0.444444444444	9
KB704657	+	KB704406	+	1944.71861839	0.00410031163895	0.571428571429	21
KB704657	+	KB704436	-	-5167.27687883	0.00559998339417	0.472222222222	36
KB704657	+	KB704550	-	-5685.77767372	0.0010410765366	0.333333333333	6
KB704514	-	KB704702	-	-1941.23983812	0.370047855628	0.4	5
KB704514	-	KB704669	+	-3442.18036795	0.866739740503	0.625	8
KB704514	-	KB705273	-	-7491.4668808	0.259587868105	0.333333333333	6
KB704514	-	KB704595	+	2645.80226421	0.138512185185	0.4	5
KB704514	-	KB705295	-	-4886.76453531	0.384638309593	0.4	5
KB704514	-	KB704793	-	-1867.43350506	0.328250251409	0.4	5
KB704514	-	KB704748	-	-7252.2676425	0.17974462979	0.428571428571	7
KB704796	-	KB705073	+	-1946.03274584	0.381727197068	0.333333333333	6
KB704796	-	KB705317	-	-8102.70615393	0.345083057091	0.692307692308	13
KB704796	-	KB705006	+	-2864.6570938	0.454626630476	0.4	5
KB704796	-	KB704866	+	-3760.0898369	0.322422937715	0.4	5
KB704796	-	KB704513	-	1696.20098221	0.289187567999	0.2	5
KB704796	-	KB704382	+	-7262.71916419	0.264922290678	0.5	16
KB704513	+	KB704733	-	2499.26826334	0.580238122229	0.42	50
