scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCO01006425	+	AXCO01025393	+	-112.982753778	0.141103514546	0.555555555556	9
AXCO01006425	+	AXCO01016764	-	-55.5829958715	0.0963920510973	0.5	6
AXCO01006425	+	AXCO01025707	-	-39.3793552571	0.0515237185735	0.666666666667	3
AXCO01006425	+	AXCO01011011	-	-117.982753778	0.206094874294	0.666666666667	3
AXCO01006425	+	KI429186	-	-44.4462359281	0.0963920510973	0.5	6
AXCO01006425	+	AXCO01018022	-	-119.982753778	0.10725517312	0.333333333333	3
AXCO01006425	+	AXCO01017802	+	-92.9827537782	0.133365838792	0.4	5
AXCO01006425	+	AXCO01013922	-	-127.982753778	0.237612381253	0.5	8
AXCO01006425	+	KI428639	+	-119.982753778	0.209629815926	0.375	8
AXCO01006425	+	AXCO01007760	+	-55.696995248	0.232333315242	0.333333333333	3
AXCO01006425	+	AXCO01022306	-	-50.7477640887	0.14507903927	0.5	8
AXCO01006425	+	AXCO01020169	-	-123.982753778	0.122650982855	0.5	4
AXCO01006425	+	AXCO01017878	+	-36.7340642692	0.0515237185735	0.666666666667	3
AXCO01006425	+	AXCO01009618	+	-56.0916923528	0.216271062612	0.428571428571	7
AXCO01006425	+	KI432785	-	-40.1307249076	0.0787037801495	0.333333333333	3
AXCO01006425	+	AXCO01017863	+	-67.2232385419	0.248705368483	0.2	5
AXCO01006425	+	KI428470	-	-41.8403117281	0.0928857046096	0.333333333333	3
AXCO01006425	+	AXCO01026309	-	-60.8149938081	0.233231826136	0.454545454545	11
AXCO01006425	+	AXCO01020773	-	-121.982753778	0.283770514902	0.333333333333	3
AXCO01006425	+	KI427971	+	-104.982753778	0.168538485989	0.4	5
AXCO01006425	+	AXCO01015551	+	-57.0342571303	0.273609866111	0.4	5
AXCO01006425	+	AXCO01018997	-	-45.5489139602	0.0991078515046	0.4	5
AXCO01006425	+	AXCO01023626	+	-49.5124397916	0.141103514546	0.6	5
AXCO01006425	+	AXCO01013784	+	-54.0328357079	0.196679123998	0.375	8
AXCO01006425	+	AXCO01025552	-	-94.9827537782	0.14873616394	0.5	4
AXCO01006425	+	AXCO01016387	-	-138.982753778	0.0515237185735	0.666666666667	3
AXCO01006425	+	AXCO01017069	-	-97.9827537782	0.266660577576	0.5	8
AXCO01006425	+	AXCO01011131	+	-119.982753778	0.155995804783	0.5	10
AXCO01006425	+	AXCO01017690	+	-121.982753778	0.0665168346566	0.5	4
AXCO01006425	+	AXCO01000059	+	-50.8427127519	0.123011192097	0.4	5
AXCO01006425	+	AXCO01014914	-	-83.9827537782	0.323709739588	0.454545454545	11
AXCO01006425	+	KI428421	+	-41.9809538504	0.0665168346566	0.5	4
AXCO01006425	+	AXCO01011712	-	-108.982753778	0.200656055388	0.538461538462	13
AXCO01026932	-	AXCO01013891	+	-104.982753778	0.261454316416	0.333333333333	3
AXCO01026932	-	AXCO01015870	+	-96.9827537782	0.801727935151	0.4	5
AXCO01026932	-	KI432812	+	-130.982753778	0.0772855778602	0.666666666667	3
AXCO01022335	-	KI428945	+	-93.9827537782	0.0515237185735	0.666666666667	3
AXCO01022335	-	AXCO01020666	+	-89.9827537782	0.0879935012503	0.5	4
AXCO01022335	-	AXCO01017166	-	-95.9827537782	0.0515237185735	0.666666666667	3
AXCO01022335	-	KI429942	+	-55.8597953571	0.0665168346566	0.5	4
AXCO01022335	-	AXCO01026167	+	-141.982753778	0.0515237185735	0.666666666667	3
AXCO01022335	-	AXCO01019577	+	-80.7329234586	0.0787037801495	0.333333333333	3
AXCO01022335	-	KI432914	+	-47.5831129609	0.0515237185735	0.666666666667	3
AXCO01022335	-	KI431799	+	-47.5831129609	0.0515237185735	0.666666666667	3
AXCO01022335	-	AXCO01024466	+	-26.6758305367	0.0665168346566	0.5	4
AXCO01022335	-	KI433147	-	-73.8244505534	0.0515237185735	0.666666666667	3
AXCO01022335	-	AXCO01018362	-	-94.9827537782	0.0515237185735	0.666666666667	3
AXCO01022335	-	AXCO01027685	-	-136.982753778	0.0787037801494	0.333333333333	3
AXCO01022335	-	AXCO01025147	-	-96.9827537782	0.0515237185735	0.666666666667	3
AXCO01022335	-	AXCO01026495	+	-24.3417157873	0.0665168346566	0.5	4
AXCO01022335	-	AXCO01027629	+	-29.6618094579	0.10725517312	0.333333333333	3
AXCO01022335	-	AXCO01021804	-	-15.6840443447	0.0515237185735	0.666666666667	3
AXCO01022335	-	KI428066	+	-83.9827537782	0.745675458974	0.428571428571	7
AXCO01022335	-	AXCO01000111	-	3.95299336607	0.106196606476	0.333333333333	3
KI430536	-	AXCO01009679	-	-88.9827537782	0.326203874119	0.666666666667	3
AXCO01025958	-	AXCO01026606	+	-120.982753778	0.141885257451	0.666666666667	3
AXCO01025958	-	AXCO01026088	-	-125.982753778	0.271418029475	0.666666666667	3
AXCO01014390	+	KI432821	+	-111.982753778	0.10725517312	0.666666666667	3
AXCO01028788	+	AXCO01017679	+	-91.9827537782	0.312345944274	0.75	4
AXCO01014665	-	AXCO01027666	-	-65.3276118163	0.121745797179	0.666666666667	3
AXCO01014665	-	AXCO01026535	+	-92.9827537782	0.114343193326	0.8	5
AXCO01021541	-	AXCO01025102	-	-127.982753778	0.281553014241	0.555555555556	9
KI429465	+	AXCO01023390	+	-59.0643094284	0.529425534608	0.666666666667	3
AXCO01009003	+	AXCO01028155	+	-101.982753778	0.528798376795	0.666666666667	3
AXCO01009003	+	AXCO01015132	+	-109.982753778	0.146488132863	0.333333333333	3
AXCO01009003	+	AXCO01018104	-	-90.9827537782	0.685624291729	0.666666666667	3
AXCO01009003	+	AXCO01018963	+	-137.982753778	0.136318945967	0.666666666667	3
AXCO01009003	+	KI433355	-	-141.982753778	0.0439967506251	0.75	4
AXCO01009928	-	KI431034	+	-102.982753778	0.141103514546	0.555555555556	9
AXCO01013913	+	KI433159	-	-95.9827537782	0.566825955775	0.666666666667	9
AXCO01013913	+	AXCO01027188	+	-83.9827537782	0.464666630484	0.666666666667	3
AXCO01023439	-	KI428066	+	-132.982753778	0.0515237185735	0.666666666667	3
AXCO01023439	-	KI433147	-	-136.982753778	0.0515237185735	0.666666666667	3
AXCO01023439	-	AXCO01024466	+	-121.982753778	0.147803639613	0.25	4
AXCO01023175	-	AXCO01013062	+	-112.982753778	0.425135728454	0.666666666667	3
AXCO01006815	+	AXCO01025794	-	-79.6473486425	0.129665181573	0.75	4
KI429920	-	AXCO01019820	-	-59.9521910304	0.380738210283	0.461538461538	13
KI429920	-	AXCO01029054	+	-82.9827537782	0.434910240468	0.526315789474	19
KI429920	-	KI431154	-	-74.54303164	0.365761179832	0.461538461538	13
KI432641	-	KI433383	-	-91.9827537782	0.569458920083	0.571428571429	7
AXCO01012875	+	AXCO01018476	-	-88.9827537782	0.66236481865	0.470588235294	17
AXCO01012875	+	AXCO01021495	+	-121.982753778	0.255289497007	0.2	5
AXCO01012875	+	AXCO01008094	+	-90.9827537782	0.611403335875	0.333333333333	9
AXCO01012875	+	AXCO01017694	-	-134.982753778	0.151863920792	0.444444444444	9
AXCO01012875	+	AXCO01006120	+	-88.9827537782	0.643531038723	0.375	8
AXCO01012875	+	AXCO01023459	+	-130.982753778	0.111303953297	0.5	6
AXCO01012875	+	AXCO01013131	-	-87.9827537782	0.707513715313	0.5	4
AXCO01012875	+	AXCO01017248	+	-88.9827537782	0.684509617245	0.4	5
AXCO01012875	+	AXCO01018745	-	-88.9827537782	0.684509617245	0.4	5
AXCO01012875	+	KI428737	-	-88.9827537782	0.679969948667	0.5	22
AXCO01012875	+	AXCO01012473	-	-121.982753778	0.170884842312	0.545454545455	11
AXCO01012875	+	AXCO01023517	+	-92.9827537782	0.692736074591	0.5	8
AXCO01012875	+	AXCO01020708	-	-132.982753778	0.0963920510973	0.5	6
AXCO01012875	+	AXCO01025111	+	-88.9827537782	0.619714184612	0.25	4
AXCO01012875	+	AXCO01021654	-	-87.9827537782	0.555475311829	0.25	4
AXCO01012875	+	AXCO01014841	-	-87.9827537782	0.692606041786	0.4	5
AXCO01012875	+	KI427711	-	-87.9827537782	0.562861923276	0.272727272727	11
AXCO01012875	+	KI431716	+	-88.9827537782	0.59473213757	0.285714285714	7
