scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB672386	-	KB672424	+	-5280.1876866	0	1.0	3
KB672375	+	KB672417	+	-53281.4672496	0.891371295088	0.125	8
KB672417	+	KB672331	+	6027.57776645	0	1.0	4
KB672286	-	KB672342	-	24969.6320327	0.561851698177	0.5	8
KB672286	-	KB672397	+	-25251.6665549	0.513949666814	0.666666666667	3
KB672287	-	KB672457	-	-16156.3733264	0.429477102406	0.455741626794	1672
KB672404	-	KB672457	+	21298.4015168	0.79680754412	0.461538461538	13
KB672404	-	KB672419	-	-13229.7657072	0.0195230065467	0.333333333333	6
KB672404	-	KB672398	+	-26785.4757743	0.0001121674906	0.4	5
KB672407	+	KB672420	+	-17819.9746555	0.628414240253	0.25	8
KB672423	-	KB672416	-	-48791.2253617	0	1.0	12
KB672417	-	KB672411	-	-42589.0954661	0.239070698142	0.166666666667	6
KB672417	-	KB672420	+	-49895.9021937	0.000205868096213	0.666666666667	3
KB672417	-	KB672479	-	-24088.1028511	0	1.0	3
KB672417	-	KB672409	-	-24088.1003058	0	1.0	7
KB672286	+	KB672457	-	-17084.6522252	0.305612886075	0.359823399558	453
KB672386	+	KB672420	+	-34327.6336151	0.000621149647725	0.428571428571	7
KB672320	+	KB672298	+	31957.0952263	0.676675641546	0.478802992519	401
KB672375	-	KB672408	+	-31834.6810037	0.442727386273	0.333333333333	3
KB672408	-	KB672411	-	-4962.72393507	0	1.0	5
KB672408	-	KB672414	-	-20342.5848408	0.543159502134	0.333333333333	6
KB672408	-	KB672411	+	1107.82953304	0.732863176644	0.75	4
KB672408	-	KB672409	+	-5438.19393951	0	1.0	8
KB672404	+	KB672407	+	-28579.6655758	0.749035034419	0.5	6
KB672446	+	KB672457	-	-10878.6373492	0.102884113234	0.331983805668	1235
KB672479	-	KB672414	-	-34284.9784098	0	1.0	7
KB672419	-	KB672412	-	-33880.3757392	0	1.0	3
KB672419	-	KB672411	+	-19498.6914359	0	1.0	3
KB672415	-	KB672411	-	-15129.0054076	0.744176476212	0.5	10
KB672457	-	KB672435	-	53671.9552345	0	1.0	3
KB672410	-	KB672364	-	-33695.4587722	8.33836005553e-05	1.0	4
KB672415	+	KB672418	-	-19770.6169537	0.773650692207	0.4	5
KB672415	+	KB672412	+	-20304.7082632	0.303031075669	0.333333333333	3
KB672415	+	KB672414	+	-37716.2325376	0.000117781309722	0.333333333333	3
KB672353	-	KB672409	+	-21892.6766588	0.437604940482	0.75625	160
KB672411	+	KB672406	+	-49610.8995861	0	1.0	5
KB672468	-	KB672397	-	-38405.9558161	0.548139639808	0.6	5
KB672320	-	KB672412	+	-15109.2203654	0	1.0	4
KB672406	+	KB672420	+	-54411.0528596	0.410562812661	0.291666666667	24
KB672412	+	KB672421	+	-34592.6185693	0.536299361095	0.454545454545	11
KB672412	+	KB672411	+	-9.79411274195	0	1.0	4
KB672412	+	KB672420	+	-30863.0326645	0.769528453893	0.31914893617	47
KB672418	+	KB672468	-	-47552.2480612	0	1.0	12
KB672418	-	KB672420	+	-11865.5684079	0.000672296525039	0.5	8
KB672435	-	KB672407	+	-22520.398672	0.0853743105971	0.48275862069	58
KB672435	-	KB672420	+	-3179.42108363	0.000209651482586	0.666666666667	3
KB672331	-	KB672414	-	-41765.9306487	0.0185964097341	0.25	4
KB672414	+	KB672406	+	-48698.5590458	0.000179880198089	0.125	8
KB672420	-	KB672457	-	-13056.424169	0.552806490108	0.425	40
KB672420	-	KB672408	-	-12808.7922748	0.00128184657176	0.5	6
KB672420	-	KB672298	-	-58283.2828781	0.000316196431599	0.333333333333	3
KB672420	-	KB672409	-	-14591.3166239	0.943491914635	0.5	4
KB672457	+	KB672397	+	-10659.8374552	0.00147444863166	0.5	10
