scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_020109808.1	-	NW_020109786.1	-	-447.729532242	0.0824654535909	0.8	5
NW_020109776.1	+	NW_020109786.1	-	-189.187088013	0.103538218745	0.666666666667	6
NW_020109776.1	+	NW_020109779.1	-	-364.40353775	0.0742401502713	0.8	5
NW_020109812.1	+	NW_020109807.1	+	-451.378146172	0.0330504582289	0.6	5
NW_020110062.1	+	NW_020109954.1	-	-361.655164719	0.153600854084	0.761904761905	21
NW_020109974.1	-	NW_020110108.1	+	-4.97306251526	0.0570183786201	0.8	5
NW_020109787.1	-	NW_020109782.1	-	-421.947465897	0.0592809587548	0.8	5
NW_020109953.1	+	NW_020109969.1	+	-250.112033844	0.0795912877286	0.571428571429	7
NW_020109953.1	+	NW_020109759.1	-	-332.671657562	0.0748256245005	0.833333333333	6
NW_020109953.1	+	NW_020110074.1	+	-401.023738861	0.0749551265959	0.4	5
NW_020109813.1	+	NW_020109818.1	-	-279.468810081	0.0704624070885	0.4	5
NW_020109780.1	+	NW_020110138.1	+	-411.545765877	0.0690530108577	0.857142857143	7
NW_020110054.1	-	NW_020110094.1	+	-378.025727272	0.0511724683883	0.777777777778	9
NW_020109783.1	+	NW_020109782.1	+	-440.945987701	0.0795687122435	0.8	5
NW_020109796.1	-	NW_020109803.1	-	-231.153583527	0.247317804747	0.8	5
NW_020109796.1	-	NW_020109781.1	+	-403.339300156	0.0598436250656	0.833333333333	18
NW_020109796.1	-	NW_020109812.1	+	-290.6298666	0.0558296634115	0.75	8
NW_020109812.1	-	NW_020109810.1	+	-319.376297951	0.0561119668901	0.833333333333	12
NW_020109812.1	-	NW_020109826.1	-	146.211699486	0.0663091157269	0.666666666667	6
NW_020109812.1	-	NW_020109820.1	+	-323.851664543	0.0548404770254	0.818181818182	11
NW_020109987.1	+	NW_020110107.1	+	-242.898933411	0.0374550890551	0.833333333333	6
NW_020110117.1	+	NW_020109854.1	+	-407.585426331	0.754715214536	0.2	5
NW_020110117.1	+	NW_020110092.1	+	-233.141934395	0.0373824805048	0.714285714286	7
NW_020110107.1	-	NW_020110092.1	+	-176.799665451	0.0485584104153	0.8	5
NW_020110079.1	+	NW_020109954.1	-	-364.21387291	0.0350721366353	0.714285714286	7
NW_020110045.1	-	NW_020109982.1	+	-272.333456039	0.0471969940992	0.8	5
NW_020110126.1	-	NC_006100.5	-	-440.70344869	0.0596234132483	0.857142857143	14
NW_020109787.1	+	NW_020109786.1	-	-427.525230408	0.0714769641522	0.818181818182	11
NW_020109781.1	-	NW_020109810.1	+	-432.167390823	0.0643633825535	0.9	20
NW_020109781.1	-	NW_020109820.1	+	-438.316157341	0.0550419049594	0.909090909091	33
NW_020109775.1	+	NW_020109786.1	-	-244.292934418	0.0630938111751	0.909090909091	11
NW_020109792.1	+	NW_020109818.1	-	-252.759384155	0.084813078969	0.6	5
NW_020109954.1	+	NW_020110123.1	-	-424.142436028	0.0474241804292	0.6875	16
NW_020109811.1	+	NW_020109786.1	-	-304.734638214	0.0566142552901	0.857142857143	7
NW_020109798.1	-	NW_020109818.1	-	-179.44268322	0.0413354984299	0.8	5
NW_020109798.1	-	NW_020109782.1	-	-429.934423447	0.103590118142	0.6	5
NC_006098.5	+	NW_020109745.1	+	-448.679580905	0.050236489311	0.857142857143	7
NW_020109818.1	+	NW_020109775.1	+	-237.672969818	0.0253672887139	0.6	5
NW_020109818.1	+	NW_020109778.1	+	-256.120925903	0.0550367808885	0.5	6
NW_020109818.1	+	NW_020109776.1	+	-201.027276993	0.0451944304765	0.5	6
NW_020109811.1	-	NW_020110138.1	+	-460.875019073	0.0203599224601	0.9	10
NW_020110031.1	-	NW_020110094.1	+	-395.834124565	0.0617658039936	0.777777777778	9
NW_020109779.1	+	NW_020109786.1	+	-417.617988586	0.0660756978295	0.8	5
NW_020110108.1	-	NW_020110163.1	+	-148.520042956	0.0407311486538	0.857142857143	7
NW_020109972.1	+	NW_020110000.1	-	-299.45728302	0.0584785187812	0.875	8
NW_020109826.1	-	NW_020109786.1	-	-408.234154701	0.0264261617882	0.666666666667	6
NW_020109823.1	+	NW_020109785.1	+	-405.21909523	0.0612379359495	0.714285714286	7
NW_020109790.1	+	NW_020110138.1	+	-355.793586731	0.0554512997718	0.833333333333	6
