scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009276637.1;NW_009276247.1	+;+	NW_009276381.1	-	23.796043396	0.211964572669	0.5	6
NW_009271307.1	+	NW_009271682.1	+	-22.4346343577	0.200725265853	0.875	16
NW_009276484.1	-	NW_009275859.1	+	-3.40751647949	0.17957312627	0.777777777778	9
NW_009271207.1	-	NW_009270388.1	+	-143.903726757	0.422910804212	0.75	28
NW_009276019.1	-	NW_009270487.1	-	14.4103941917	0.164197793438	0.866666666667	15
NW_009274330.1;NW_009276105.1;NW_009272647.1;NW_009275762.1;NW_009272333.1;NW_009275000.1;NW_009274724.1;NW_009276770.1;NW_009272915.1;NW_009274311.1;NW_009274570.1;NW_009270809.1;NW_009275790.1	+;+;+;+;+;+;+;+;+;+;+;+;+	NW_009270392.1	+	58.6393904835	0.226266364421	0.8	10
NW_009270966.1	-	NW_009271250.1	-	-20.9114706516	0.239422850721	0.8	5
NW_009274567.1;NW_009274705.1;NW_009273868.1;NW_009270756.1	+;+;+;+	NW_009276701.1	-	-21.2349159718	0.20390977324	0.888888888889	18
NW_009276915.1;NW_009270563.1	-;-	NW_009272072.1	-	58.722309107	0.319026156837	0.652631578947	95
NW_009271296.1	-	NW_009271899.1	+	-18.2961061001	0.291172516072	0.888888888889	9
NW_009276447.1	-	NW_009276307.1	-	33.9144287109	0.208285874619	0.6	5
NW_009270500.1	-	NW_009271531.1	+	-140.864255324	0.145363779644	0.894736842105	19
NW_009276463.1	-	NW_009276179.1	-	-19.5973815918	0.189855723364	0.918918918919	37
NW_009271026.1	+	NW_009276650.1	-	-20.7023806572	0.213623012241	0.846153846154	13
NW_009271136.1	-	NW_009271395.1	-	145.463667355	0.185253667414	0.818181818182	11
NW_009271327.1	+	NW_009272093.1	+	-51.9457154274	0.118780811407	0.846153846154	13
NW_009270092.1	-	NW_009271939.1	-	-21.7918586731	0.152553128721	0.916666666667	12
NW_009271943.1	-	NW_009270114.1	+	60.8055801392	0.263687935639	0.818181818182	11
NW_009270306.1	-	NW_009271367.1	-	103.657208383	0.23872185338	0.714285714286	7
NW_009271512.1	+	NW_009270298.1	+	-8.88114139438	0.152241649881	0.88	25
NW_009270501.1	+	NW_009270154.1	-	24.7553844675	0.163877322504	0.818181818182	11
NW_009276886.1	+	NW_009276520.1;NW_009276301.1	-;-	-12.4098167419	0.197068309204	0.903225806452	31
NW_009272098.1	-	NW_009271708.1	-	24.632142067	0.204144422309	0.928571428571	14
NW_009276909.1	-	NW_009271968.1	-	6.15265046805	0.168819726157	0.913043478261	23
NW_009276669.1	-	NW_009275821.1	-	149.602050781	0.187792545313	0.894736842105	19
NW_009270789.1	-	NW_009276910.1	-	-95.3484506682	0.297755261663	0.533333333333	15
NW_009271855.1	+	NW_009271895.1	-	98.9630335569	0.305621475729	0.857142857143	7
NW_009271288.1	-	NW_009270163.1	+	-65.4763598442	0.2434900267	0.875	16
NW_009275523.1;NW_009274982.1	+;+	NW_009276030.1	-	59.6303710938	0.198594486462	0.907894736842	76
NW_009270930.1	+	NW_009270546.1	-	181.839857012	0.313200376748	0.6	5
NW_009271574.1	+	NW_009271891.1	-	65.2902778983	0.197141894787	0.842105263158	19
NW_009276079.1	+	NW_009276335.1	-	86.9320983887	0.152283846804	0.666666666667	6
NW_009276079.1	+	NW_009270906.1	-	-28.1699790955	0.208034285622	0.909090909091	11
NW_009270160.1	-	NW_009271133.1	+	137.777941801	0.166558106711	0.666666666667	6
NW_009275952.1	+	NW_009270483.1	-	-18.2616944313	0.158828545335	0.909090909091	22
NW_009276550.1	+	NW_009270115.1	-	-24.6494903564	0.207683440898	0.888888888889	18
NW_009270798.1	-	NW_009272142.1	+	79.1844679117	0.282199568532	0.818181818182	11
NW_009270630.1	+	NW_009271188.1	+	-206.563857138	0.782225456117	0.272727272727	22
NW_009271075.1	+	NW_009270165.1	-	-115.039491605	0.232343981675	0.625	8
NW_009271350.1	-	NW_009276110.1	+	-19.3392452598	0.180598774802	0.769230769231	13
NW_009271238.1	+	NW_009271903.1	-	-145.875637174	0.155828033187	0.833333333333	12
NW_009275907.1	+	NW_009271860.1	+	-25.9254760742	0.180230722797	0.857142857143	14
NW_009275858.1;NW_009273464.1	+;+	NW_009276692.1;NW_009275840.1	-;-	98.2348403931	0.192280611309	0.94696969697	132
NW_009270754.1	-	NW_009276264.1	+	-15.8459625244	0.1952062337	0.75	8
NW_009270091.1;NW_009271585.1	+;+	NW_009270951.1	+	-16.3590942621	0.148638232453	0.9	10
NW_009275737.1	+	NW_009276298.1	+	30.4860992432	0.209287264234	0.945454545455	55
NW_009272087.1	-	NW_009270580.1	+	-256.236563683	0.712510234842	0.5	6
NW_009272087.1	-	NW_009270268.1	+	-118.917907715	0.160386731181	0.857142857143	7
NW_009276702.1	-	NW_009276576.1	-	-3.0424041748	0.1974205738	0.925925925926	27
NW_009276744.1	-	NW_009276737.1	-	8.09773254395	0.190606579865	0.921568627451	51
NW_009270234.1	+	NW_009276473.1	-	-20.4959602356	0.233733552291	0.833333333333	12
NW_009275741.1	-	NW_009270704.1;NW_009272020.1	+;+	-21.197268039	0.232173741816	0.75	8
NW_009275728.1;NW_009275638.1	+;+	NW_009275951.1	-	-11.1828460693	0.192735173443	0.923076923077	65
NW_009276792.1	+	NW_009276651.1	-	-1.28450012207	0.154547514458	0.903225806452	31
NW_009270200.1	+	NW_009271284.1	+	10.2286664248	0.132702756345	0.777777777778	9
NW_009276703.1	+	NW_009276881.1	+	2.97769165039	0.133627550266	0.8	5
NW_009275796.1	+	NW_009275859.1	-	145.252197266	0.185774124084	0.846153846154	13
NW_009271934.1	-	NW_009275705.1	-	11.8036738932	0.108902568145	0.818181818182	11
NW_009276182.1	-	NW_009272081.1	+	-10.0823646784	0.190018926296	0.894736842105	19
NW_009276595.1	-	NW_009276319.1	+	27.0361480713	0.248120856992	0.888888888889	9
NW_009275905.1	+	NW_009276853.1	+	122.684150696	0.384488112188	0.916666666667	36
NW_009271497.1	+	NW_009270091.1;NW_009271585.1	+;+	-17.3098359108	0.201306643814	0.891891891892	37
NW_009276068.1	+	NW_009276870.1	+	-18.6223449707	0.191850043786	0.818181818182	11
NW_009276678.1	+	NW_009275724.1	-	22.5971374512	0.118688755471	0.857142857143	7
NW_009276914.1	+	NW_009270493.1	+	28.4497287776	0.193382489423	0.866666666667	15
NW_009276705.1;NW_009274439.1;NW_009276391.1	+;+;+	NW_009271677.1	-	-10.7755126953	0.180257753921	0.928571428571	56
NW_009270332.1	+	NW_009270578.1	-	151.684841871	0.205337725656	0.846153846154	13
NW_009275835.1;NW_009272654.1;NW_009276670.1;NW_009276352.1	-;-;-;-	NW_009276151.1	+	86.606300354	0.264032268113	0.857142857143	28
NW_009270771.1	-	NW_009271906.1	-	130.683412403	0.244144798886	0.857142857143	7
NW_009270908.1	-	NW_009276333.1	+	-0.0843893289566	0.178573485802	0.909090909091	11
NW_009271307.1	-	NW_009276910.1	+	-23.7977315038	0.214380561463	0.8	15
NW_009271183.1	+	NW_009276293.1	-	-2.6742401123	0.231160590135	0.8	5
NW_009276737.1	-	NW_009271929.1	-	33.8155822754	0.187735176138	0.882352941176	17
NW_009270785.1	+	NW_009270561.1	+	-0.187025696039	0.182597619797	0.857142857143	7
NW_009275943.1	-	NW_009271620.1	-	80.7431006134	0.188692680084	0.916666666667	12
NW_009271308.1	+	NW_009271566.1	-	-12.6461901665	0.16770522652	0.833333333333	6
NW_009276359.1	+	NW_009275963.1	-	7.41554260254	0.142905307107	0.9	20
NW_009270488.1	+	NW_009271395.1	+	80.84038461	0.181477386441	0.666666666667	6
NW_009276912.1	+	NW_009272079.1	+	-22.3269685507	0.172016494115	0.9375	16
NW_009271953.1	+	NW_009276093.1	-	-9.21849656105	0.253121601156	0.9	20
