scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB670404	+	KB670930	-	191.961875916	0.224589020187	0.411764705882	34
KB670111	-	KB670478	+	83.1378650665	0.696565618831	0.5	6
KB671609	+	KB670518	-	-106.984776914	0.0767331270028	0.666666666667	6
KB671199	-	KB670199	-	-493.703178406	0.221633149328	0.692307692308	13
KB670317	+	KB670686	+	-263.895709991	0.151202521463	0.666666666667	6
KB671940	+	KB670044	-	191.965183258	0.237321626205	0.666666666667	12
KB670013	+	KB670605	+	-203.211582184	0.128199299486	0.833333333333	18
KB671649	-	KB669740	+	-335.983564138	0.265117904455	0.666666666667	6
KB670662	+	KB671471	+	191.962089539	0.148361988723	0.75	8
KB670662	+	KB671088	-	-430.965665817	0.0652077456059	0.875	8
KB670662	+	KB671341	+	-153.553634644	0.0593268182704	0.818181818182	11
KB670098	+	KB672102	+	-195.72061348	0.213635687582	0.666666666667	12
KB670261	-	KB671262	-	191.970560074	0.18758711258	0.6	5
KB670901	-	KB671628	-	-432.660383463	0.0796227066833	0.6	5
KB670182;KB671397;KB670920	+;+;+	KB670661	+	-228.900678635	0.795744605681	0.666666666667	12
KB670700	+	KB671451	-	-134.954154968	0.0991837001875	0.785714285714	14
KB672115	-	KB670461	-	-27.602189064	0.126471291598	0.666666666667	6
KB670218	+	KB671298	-	-110.866424561	0.146526106159	0.866666666667	30
KB670401	-	KB671072	+	45.7109470367	0.206789267612	0.714285714286	7
KB669790	+	KB671341	+	167.029998779	0.945210536759	0.666666666667	9
KB669790	+	KB671854	-	-182.258738637	0.0871433330665	0.857142857143	7
KB671010	+	KB671541	-	-217.415069222	0.119601160175	0.833333333333	6
KB669881	-	KB672124	-	-203.075529575	0.121232190785	0.571428571429	7
KB671155	+	KB670593	+	-58.3152294159	0.653557619906	0.4	5
KB671155	+	KB670298	-	-44.8945884705	0.639417967878	0.428571428571	7
KB670346	+	KB671021	-	-12.364156723	0.19872716627	0.75	8
KB670600	+	KB670821	+	-162.015235901	0.109703289861	0.5	14
KB671348	-	KB670664	+	-322.564170837	0.102123959327	0.818181818182	11
KB670497	+	KB671132	+	-222.266448975	0.382875098743	0.8	5
KB670091	-	KB670199	-	-352.444570541	0.143153851822	0.814814814815	27
KB669629	+	KB670121	+	-147.428870201	0.0297408091867	0.8	5
KB671800	-	KB672027	+	-211.110643864	0.423624147116	0.4	5
KB669665	-	KB669879	-	-424.415984631	0.691149947347	0.363636363636	11
KB671394	-	KB671309	+	-162.321624756	0.230493878945	0.625	8
KB669967	-	KB670819	-	35.1897983551	0.56966273699	0.4	5
KB669967	-	KB670298	-	-186.996477127	0.717351287183	0.5	6
KB669967	-	KB670593	+	-200.690923691	0.74865614573	0.5	6
KB669967	-	KB670478	+	-55.294675827	0.780557201037	0.6	5
KB671027	-	KB671541	-	-432.005150676	0.113440246197	0.833333333333	6
KB671751	-	KB671628	-	107.536211014	0.153215270864	0.666666666667	6
KB671298	+	KB672241	+	-267.048915863	0.183202344519	0.571428571429	7
KB670121	-	KB672219	-	-368.783242226	0.0315049065804	0.8	5
KB670121	-	KB669948	+	-108.894613862	0.732329324622	0.6	5
KB670249	-	KB671248	-	-466.217954636	0.13018031023	0.8	10
KB670002	-	KB669761	-	-6.17024517059	0.348334576011	0.5	12
KB671043	+	KB670200	-	-72.1899166107	0.127826157088	0.625	8
KB670673	+	KB671748	+	72.984351635	0.25946402722	0.903225806452	93
KB672263	-	KB671628	-	-354.846596003	0.0892190692837	0.6	5
KB670961	+	KB669643	+	-504.802530289	0.0425080751472	0.714285714286	7
KB670399	-	KB671628	-	-322.632451296	0.0832495194991	0.666666666667	6
KB670433	+	KB671840	-	191.96047163	0.292424956384	0.857142857143	7
KB670914	+	KB672059	+	-280.907546997	0.0948865784459	0.6	5
KB671323	+	KB669898	-	-104.010837555	0.203424886373	0.736842105263	19
KB670579	+	KB670483	+	-500.992391586	0.112597267845	0.75	12
KB671634	-	KB671807	+	191.973324895	0.573434635362	0.787878787879	33
KB670478	-	KB671045	+	34.6689491272	0.731663011491	0.6	5
KB670478	-	KB669787	-	109.402468681	0.855005966677	0.5	6
KB670478	-	KB671130	+	98.8892288208	0.781228198674	0.4	5
KB670478	-	KB670368	+	-421.371751785	0.87318129067	0.4	5
KB670698	+	KB670517	-	-489.979103088	0.0582163131853	0.8	5
KB670698	+	KB671296	-	-257.256477356	0.0563907870588	0.833333333333	6
KB670795	-	KB670518	-	-227.092437744	0.0425837220568	0.6	5
KB670819	+	KB669938	-	23.4087781906	0.0895618732624	0.8	5
KB671237	-	KB671007	+	-503.245880127	0.152741579181	0.571428571429	7
KB671237	-	KB669763	-	-268.677715302	0.200704811603	0.652173913043	23
KB670442	-	KB671393	+	-407.703849792	0.142449208933	0.8	15
KB671341	-	KB670095	-	-201.599996567	0.0611451655683	0.769230769231	13
KB671341	-	KB669720	+	26.5577449799	0.302382116098	0.333333333333	6
KB671341	-	KB670405	+	-204.135070801	0.631048656293	0.4	5
KB671341	-	KB671061	-	191.955764771	0.162673038185	0.846153846154	13
KB671341	-	KB671445	+	96.7963256836	0.122659944787	0.777777777778	9
KB671341	-	KB672122	-	173.949677467	0.749060786335	0.8	5
KB670961	-	KB669809	+	-481.205207825	0.094205598633	0.666666666667	6
KB672191	-	KB670655	+	-225.654203415	0.130626438921	0.818181818182	11
KB670649	-	KB670806	-	-494.614608765	0.110375266191	0.75	8
KB670649	-	KB671983	+	-378.172352314	0.120293698726	0.666666666667	6
KB670285	+	KB670696	-	105.302324295	0.209324061087	0.8	5
KB670285	+	KB670111	-	-22.6006851196	0.0899626061522	0.6	5
KB672265	+	KB670752	+	-249.832304001	0.101296220731	0.666666666667	6
KB672265	+	KB671052	+	-286.953170776	0.092283568318	0.666666666667	6
KB672265	+	KB670218	+	-294.634021759	0.55007091488	0.8	5
KB670312	-	KB672277	-	-160.301039696	0.263728009045	0.5	6
KB669980	+	KB670095	-	-451.725354195	0.202464133682	0.5	6
KB669980	+	KB669948	+	-328.206914842	0.618772006889	0.4	5
KB669980	+	KB669842	-	19.1057367325	0.0311025707356	0.8	5
KB671296	+	KB670095	-	-170.538387299	0.671967780733	0.692307692308	13
KB671296	+	KB669842	-	-449.421535492	0.0206811057501	0.8	5
KB671296	+	KB672058	+	-379.055804729	0.0559245946355	0.833333333333	6
KB671296	+	KB671445	+	120.687606812	0.782067136475	0.5	6
KB671296	+	KB670405	+	-103.709781647	0.0498093911607	0.8	5
KB669848	-	KB671646	-	-77.9193573594	0.552269032284	0.48	25
KB671435	+	KB671960	-	-458.966145039	0.0869652094704	0.714285714286	7
KB669740	-	KB669839	+	-360.49495697	0.0524895346311	0.75	8
KB671167	-	KB670790	-	-387.950534821	0.0718877542673	0.6	5
KB670527	-	KB670687	+	-9.08882522583	0.104969206893	0.666666666667	6
KB670954	-	KB670239	+	-387.758201599	0.735572380181	0.4	5
KB670954	-	KB670026	-	-482.748134613	0.39330909038	0.625	8
KB670199	+	KB672225	+	-181.084387779	0.156103723454	0.8	10
KB670199	+	KB671042	-	-263.129959106	0.201351857834	0.740740740741	27
KB670199	+	KB670093	-	-146.465286255	0.176312504188	0.666666666667	12
KB670199	+	KB671653	+	104.545752525	0.228107710527	0.8	10
KB670199	+	KB672089	-	-403.779657364	0.159998519443	0.857142857143	14
KB670393	-	KB671072	+	-366.031024933	0.0837127110631	0.8	5
KB670179	+	KB670725	+	191.965314358	0.228731471074	0.6	5
KB671551	-	KB670100	+	191.973189116	0.512448293758	0.571428571429	7
KB671428	+	KB670004	+	-50.4286460876	0.13319155232	0.714285714286	7
KB669814	+	KB671621	+	-41.3636624217	0.924915028328	0.5	14
KB671488	-	KB672104	-	19.0192368031	0.958525529068	0.571428571429	7
KB669721	-	KB670763	+	160.42325592	0.321876205719	0.625	8
KB670200	+	KB670730	+	-60.723947525	0.141699867273	0.6	5
KB671825	+	KB671744	-	-35.4683148861	0.0367901850966	0.6	5
KB670636	-	KB670095	-	-452.600560784	0.0544027783381	0.823529411765	17
KB670636	-	KB669720	+	-207.634481549	0.0617450850302	0.714285714286	7
KB670636	-	KB671293	-	62.2791200876	0.796390667541	0.666666666667	6
KB670636	-	KB670405	+	-442.865576029	0.0596794202625	0.714285714286	7
KB670074	-	KB670821	+	-75.9216270447	0.102955925919	0.5	12
KB670971	+	KB670821	+	-200.877817154	0.106300558388	0.5	14
KB670964	+	KB671437	-	-0.36360168457	0.757471764183	0.75	8
KB671567	-	KB671741	+	-6.09678912163	0.183245406723	0.6	5
KB671291	+	KB671628	-	172.812628269	0.16389219026	0.666666666667	6
KB670546	-	KB670518	-	-135.32267189	0.0809462017347	0.6	5
KB670157	+	KB670518	-	-150.506289482	0.0739311646856	0.666666666667	6
KB671231	+	KB669809	+	-477.788446426	0.10492119463	0.8	5
KB670487	+	KB670424	+	31.702835083	0.427657034507	0.8	5
KB671088	+	KB669720	+	12.2213573456	0.115660819714	0.8	5
KB671088	+	KB672040	-	44.3445124626	0.725081744064	0.333333333333	6
KB671088	+	KB671061	-	66.0604248047	0.873897648313	0.666666666667	9
KB671088	+	KB670405	+	-283.315004349	0.119121549898	0.6	5
KB671088	+	KB671445	+	-80.0475349426	0.14923489543	0.6	5
KB671747	-	KB671188	+	-110.967749834	0.72620634307	0.666666666667	9
KB671118	+	KB671132	+	-373.257797241	0.353492213055	0.666666666667	6
KB670508	+	KB670996	+	-222.226844788	0.093164351905	0.833333333333	6
KB672156	+	KB670006	-	-33.6746006012	0.668449362252	0.4375	16
KB670113	+	KB669761	-	33.1631979942	0.179427530834	0.5	6
KB671249	+	KB670810	+	-141.120227814	0.618543064224	0.428571428571	7
KB669938	+	KB670298	-	-211.142324448	0.752808960112	0.4	5
KB669938	+	KB670593	+	-181.681070328	0.800937606999	0.4	5
KB670700	-	KB670026	-	-474.633415222	0.0988441493241	0.833333333333	6
KB670459	+	KB672046	-	-196.341639519	0.782577375601	0.4	5
KB670809	+	KB669746	+	-238.412664413	0.165683787741	0.8	5
KB671451	-	KB671144	-	-302.742176056	0.450216875936	0.571428571429	7
KB669790	-	KB670510	+	-126.820865631	0.545070821483	0.571428571429	7
KB671577	+	KB671628	-	128.825788498	0.156986594701	0.6	5
KB671400	-	KB670996	+	-189.912994385	0.0920149806418	0.8	5
KB671094	+	KB669736	-	-159.692481995	0.388250911692	0.736842105263	19
KB670518	-	KB669757	+	-182.467941284	0.135243188524	0.777777777778	9
KB669629	-	KB669812	-	-15.0899839401	0.0914303233999	0.8	5
KB671088	-	KB669809	+	-194.650414467	0.101617947719	0.8	5
KB670232	+	KB670775	+	-433.448078156	0.0657926696854	0.6	5
KB671313	-	KB671345	+	-156.059234619	0.121554939052	0.714285714286	7
KB670285	-	KB669706	+	-291.610744953	0.745145057525	0.6	5
KB671672	-	KB671611	+	-43.9509460926	0.242816533275	0.926877470356	506
KB670373	-	KB670744	+	-121.511577606	0.0821358992143	0.6	5
KB671984	-	KB671541	-	43.4368585348	0.180596103605	0.833333333333	6
KB669708	+	KB671198	-	-260.164300919	0.0259371913744	0.8	5
KB671117	-	KB669835	+	65.3139038086	0.17614050962	0.758620689655	29
KB670888	-	KB670426	-	-310.180698395	0.117151930646	0.6	5
KB670032	+	KB671611	+	106.727614403	0.347213008454	0.93281075028	893
KB671318	+	KB670930	-	191.950317383	0.342609118874	0.694244604317	1668
KB670930	+	KB671044	+	191.966346741	0.352278347508	0.818101153505	1127
KB670831	-	KB670620	-	-113.128257751	0.152755261248	0.4	5
KB670319	+	KB670842	-	-228.897674561	0.0747783558496	0.5	6
KB669649	-	KB670707	+	-394.401420593	0.10098654122	0.8	5
KB670216	-	KB672134	+	-324.775939941	0.440916181446	0.571428571429	7
KB671909	+	KB671628	-	166.228022873	0.177557251889	0.666666666667	6
KB671040	-	KB671840	-	191.961657524	0.0810333779304	0.84375	96
KB670229	+	KB671541	-	33.1766970158	0.176160745458	0.833333333333	6
KB670996	-	KB670557	-	-398.175521851	0.0984384238159	0.8	5
KB670996	-	KB670899	+	-297.832637787	0.0904744977061	0.833333333333	6
KB670996	-	KB670298	-	-143.992603302	0.769680895401	0.4	10
KB670996	-	KB670593	+	-133.18277359	0.772725613474	0.5	10
KB670996	-	KB671030	+	-404.268501282	0.0962952020231	0.8	5
KB671965	-	KB672134	+	-337.401563108	0.460596441742	0.625	8
KB670005	+	KB669714	+	191.972526193	0.559052484347	0.833333333333	6
KB671641	-	KB669895	-	191.965423346	0.957128256422	0.333333333333	6
KB669801	+	KB671072	+	-256.121064186	0.133688444257	0.714285714286	7
KB669916	+	KB672177	+	-274.306942463	0.0529712565365	0.6	5
KB670518	+	KB671119	+	-503.029602051	0.0650293936475	0.666666666667	6
KB670518	+	KB671113	+	-96.7898826599	0.0779056277877	0.666666666667	6
KB670100	-	KB669733	-	-79.3655109406	0.966674867569	0.5	6
KB670100	-	KB671658	-	67.1150071621	0.171351145148	0.764705882353	17
KB670619	+	KB670950	-	37.1567344666	0.184847158096	0.878787878788	33
KB670139	+	KB669627	+	-411.276751518	0.229265358203	0.794117647059	34
KB671246	+	KB670343	+	-347.690689087	0.337487054707	0.785714285714	14
KB670943	+	KB670744	+	19.0128364563	0.107952422191	0.5	6
KB669761	+	KB670343	-	16.0311565399	0.211903693591	0.5	8
KB670637	+	KB672026	+	89.4394540787	0.56724372962	0.7	10
KB671105	-	KB669726	-	-242.338971257	0.140799130738	0.714285714286	7
KB670539	-	KB671311	-	-35.4663085938	0.134073906904	0.8	5
KB670526	-	KB669625	-	-69.6616973877	0.402274079353	0.529411764706	17
KB671855	+	KB671650	+	191.950510025	0.625310268979	0.666666666667	6
