scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB664422	-	KB664877	-	3315.58170247	0.812472359135	0.764705882353	17
KB664558	+	KB664678	-	-9215.99977958	0.472798775115	0.930555555556	144
KB664570	-	KB664483	-	-5638.8535735	0.713633449289	0.875	40
KB664389	+	KB664816	+	-9710.54248887	0.973249206916	0.375	8
KB664389	+	KB664816	-	3421.2971248	0.804681931777	0.8	45
KB664546	+	KB664416	+	-9561.33877623	0.563379324438	0.893333333333	75
KB664488	-	KB664453	-	-2957.54611179	0.363454317934	0.4	5
KB664488	-	KB664831	+	-8386.52337882	0.442278619289	0.714285714286	7
KB664636	+	KB664741	-	-10548.5932654	0.418157309696	0.945652173913	92
KB664475	+	KB664535	+	-2056.0391745	0.783298025977	0.844155844156	77
KB664629	-	KB664435	+	-8766.32440969	0.601201867981	0.935483870968	93
KB664417	-	KB664770	-	-8837.38478333	0.540899299454	0.91935483871	62
KB664646	+	KB664707	-	-11061.1366692	0.389746407138	0.909090909091	44
KB664794	+	KB664704	+	-5399.78456235	0.403506845875	0.5	8
KB664794	+	KB664957	-	-8422.70787382	0.722093505304	0.6	5
KB664794	+	KB664882	+	-4767.00051785	0.508793385567	0.6	5
KB664794	+	KB664847	-	-11103.0310106	0.225104520434	0.8	5
KB664794	+	KB664504	+	945.296386063	0.0958413589616	0.666666666667	6
KB664794	+	KB664738	-	-1925.60312438	0.7516633614	0.5	6
KB664794	+	KB664885	+	-10508.7689161	0.259062469925	0.444444444444	9
KB664794	+	KB664867	+	3665.24261761	0.42799440193	0.2	5
KB665000	+	KB664858	+	-4659.58239841	0.16503457801	0.5	6
KB665000	+	KB664444	+	1283.60574707	0.317031440121	0.166666666667	6
KB665000	+	KB664514	-	-8717.17441988	0.21115147564	0.52380952381	21
KB665000	+	KB664889	-	-9545.94666862	0.264456291524	0.571428571429	7
KB664851	-	KB665014	+	-6332.94841194	0.107000459304	0.666666666667	6
KB664851	-	KB664831	+	-3849.74956942	0.390594139567	0.4	5
KB664851	-	KB664803	-	6514.97233343	0.728041251289	0.357142857143	28
KB664851	-	KB664767	-	-7637.20851183	0.320816592653	0.285714285714	7
KB664851	-	KB664860	-	-693.032025337	0.458855718828	0.583333333333	12
KB664887	+	KB664831	+	-9317.82006073	0.244573303177	0.714285714286	7
KB664887	+	KB664851	-	-7440.63174343	0.411103930325	0.6	5
KB664596	+	KB664433	+	2201.88583519	0.819132138348	0.705882352941	17
KB664774	-	KB664451	-	-6089.11594272	0.580897371073	0.936708860759	158
KB664911	-	KB664878	+	-7100.58129501	0.348400144302	0.611111111111	18
KB664500	+	KB664822	+	-726.725532651	0.624334085368	0.375	8
KB664500	+	KB664750	-	-8773.43630016	0.750423568878	0.8	5
KB664500	+	KB664727	+	-6583.38994706	0.386815499839	0.333333333333	6
KB664500	+	KB664885	+	-10290.7175915	0.188426277118	0.4	5
KB664500	+	KB664613	-	-6276.64059258	0.384808280945	0.714285714286	7
KB664401	-	KB664607	-	-1483.85829449	0.827313695769	0.787878787879	33
KB664416	+	KB665332	-	-10124.2095134	0.414243233516	0.925619834711	121
KB664621	-	KB664472	+	-11260.8842455	0.338368956241	0.923076923077	65
KB664480	+	KB664772	+	1874.45409101	0.387492283206	0.6	5
KB664682	-	KB665077	+	-10880.695436	0.47937335795	0.928571428571	168
KB664649	-	KB664425	-	837.782180727	0.912506462743	0.678571428571	28
KB664450	-	KB664601	-	1409.38677216	0.988636313039	0.703703703704	27
KB664795	-	KB664887	+	-4754.5802536	0.502459311752	0.470588235294	17
KB664795	-	KB664803	+	-11616.0317469	0.190743767092	0.6	5
KB664479	+	KB664728	+	3860.09794515	0.909056183037	0.727272727273	33
KB664443	-	KB664613	-	6514.96194559	0.839128737209	0.4	5
KB664609;KB665336	+;+	KB664652	+	-7822.53624201	0.857189992609	0.5	10
KB664609;KB665336	+;+	KB665005	-	-4739.45100331	0.35909766377	0.5	6
KB664609;KB665336	+;+	KB664750	-	-8166.66182208	0.490447396142	0.6	15
KB664609;KB665336	+;+	KB664876	-	5688.21499777	0.988828271802	0.5	6
KB664609;KB665336	+;+	KB664885	+	-11088.356431	0.293920472138	0.655172413793	29
KB664609;KB665336	+;+	KB664914	+	-1576.49886084	0.788489538468	0.5	6
KB664609;KB665336	+;+	KB664704	-	-3425.75661075	0.433119356241	0.5	10
KB664789	-	KB664869	-	-10397.6896844	0.672639480208	0.555555555556	9
KB664789	-	KB664555	+	-10297.4261753	0.737101745238	0.5	8
KB664789	-	KB664740	-	-6956.8217957	0.565211537975	0.4	5
KB664789	-	KB664803	-	-10681.3190055	0.5147081563	0.470588235294	17
KB664789	-	KB664504	+	-10080.2410408	0.61252340451	0.489795918367	98
KB664789	-	KB664678	+	-11503.4562082	0.00535316113054	0.5	18
KB664789	-	KB664495	+	-11067.2375301	0.403104525373	0.545454545455	11
KB664789	-	KB664825	+	-9064.8342371	0.725429651902	0.489361702128	47
KB664789	-	KB664444	+	-7874.03395662	0.550733823301	0.7	10
KB664789	-	KB664824	-	-10724.2629995	0.491949502979	0.3875	160
KB664789	-	KB664738	-	-10704.1458445	0.448506859624	0.681102362205	508
KB664789	-	KB664734	-	-11184.0876737	0.124032030215	0.375	8
KB664789	-	KB664896	+	-4087.84009361	0.818531659466	0.4	5
