scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
50030__len__18619	+	107475__len__9988	-	27.5467443466	0.288112036608	0.714285714286	7
31422__len__6366	+	6388__len__4342	+	-3.39688110352	0.762210223939	0.625	8
36527__len__11210	-	38014__len__7278	+	111.5570755	0.450749980443	0.4	5
36527__len__11210	-	22181__len__25742	-	-22.5035381317	0.294182927524	0.4	5
36527__len__11210	-	2515__len__9917	-	59.4990062714	0.595730908281	0.375	8
36527__len__11210	-	35101__len__5837	-	11.4759960175	0.394178148577	0.285714285714	7
36527__len__11210	-	3944__len__11630	-	53.9558639526	0.802311241338	0.333333333333	12
103921__len__11729	-	51706__len__5443	-	7.04261779785	0.325698278773	0.666666666667	6
2722__len__11488	-	4011__len__16870	+	144.972967148	0.207987092781	0.6	5
8352__len__5364	+	69087__len__4657	+	-22.2388725281	0.752362209804	0.833333333333	18
61435__len__1913	+	12591__len__1925	+	-18.3446044922	0.796248277053	0.823529411765	34
40454__len__20658	-	23022__len__9410	+	75.5480117798	0.940638273133	0.806451612903	31
116548__len__7060	+	41209__len__12425	+	-16.752538681	0.967099280675	0.8	15
163605__len__1545	+	1127__len__9213	+	24.5223464966	0.691463400377	0.763157894737	38
4608__len__25723	-	26164__len__18711	-	-20.3471622467	0.592463661617	0.714285714286	21
33849__len__11615	+	49279__len__29734	+	-35.7500314713	0.33436226845	0.6	5
33849__len__11615	+	1527__len__45191	-	-72.2206277847	0.567508211717	0.75	8
45258__len__4594	-	12612__len__7361	-	51.285282135	0.691485786655	0.722222222222	18
109575__len__6653	+	32136__len__5678	-	-89.9192848206	0.280340929826	0.545454545455	11
109575__len__6653	+	144988__len__4205	+	40.8611221313	0.660470512841	0.8	5
109575__len__6653	+	48063__len__11984	+	-27.5726947784	0.873387317057	0.428571428571	21
124364__len__1602	-	1353__len__7903	-	49.4321975708	0.804766158688	0.4	5
91804__len__7246	+	5368__len__3526	-	-69.5481872559	0.398030068487	0.846153846154	13
91804__len__7246	+	43197__len__5162	+	18.3181610107	0.457970325274	0.4	5
9741__len__14687	+	74326__len__2605	+	-27.8698730469	0.677071334778	0.636363636364	11
9741__len__14687	+	59044__len__10517	-	-51.9566497803	0.4202306631	0.666666666667	6
97875__len__13153	+	24226__len__13762	-	15.845533371	0.749410272378	0.8	5
97875__len__13153	+	30989__len__41375	+	-16.5262918472	0.670842798744	0.790909090909	110
97875__len__13153	+	5027__len__17916	+	27.9556341171	0.673201872496	0.333333333333	6
38332__len__3828	+	43018__len__9092	+	44.79637146	0.693700158957	0.739130434783	23
36589__len__48259	+	31700__len__29543	-	-40.1319742203	0.529109354957	0.900662251656	151
7855__len__8114	+	29234__len__6476	+	-14.6303901672	0.548571684951	0.8	20
32374__len__1826	-	27190__len__6733	+	84.2583427429	0.581547668888	0.8	5
7953__len__14036	+	23449__len__15767	+	52.7497701645	0.221442954365	0.5	6
70767__len__3895	-	74105__len__3361	-	-1.87294006348	0.279525881143	0.6	5
70767__len__3895	-	114031__len__2960	+	67.3928871155	0.44044598845	0.448275862069	29
70767__len__3895	-	5518__len__1340	+	22.3539810181	0.444484813972	0.625	8
137109__len__730	-	178455__len__1789	-	60.396270752	0.599521234264	0.666666666667	6
137109__len__730	-	100968__len__6185	-	58.5643539429	0.976274262853	0.733333333333	15
1956__len__9610	+	44620__len__5705	-	-49.3055553436	0.663550672644	0.75	12
58502__len__18799	-	57867__len__8655	+	40.0291996002	0.827466597017	0.583333333333	12
58502__len__18799	-	11686__len__3026	+	72.8153324127	0.769832473452	0.714285714286	7
58502__len__18799	-	133180__len__8922	-	32.0844297409	0.558884702758	0.625	8
58502__len__18799	-	25387__len__13693	+	91.319732666	0.60710408806	0.625	8
58502__len__18799	-	24274__len__6089	+	-79.4907722473	0.782371329276	0.75	8
16578__len__10485	-	11686__len__3026	+	70.4615688324	0.544792882375	0.6	5
16578__len__10485	-	57867__len__8655	+	52.0028839111	0.750609102103	0.8	10
15766__len__24170	-	104246__len__20064	-	-27.2782802582	0.652179480569	0.8	20
42869__len__13256	+	46674__len__8473	+	26.077753067	0.684918529026	0.7	40
5426__len__1823	-	52742__len__16467	-	20.1573219299	0.692982915998	0.333333333333	6
5426__len__1823	-	30989__len__41375	+	43.8898944855	0.726094644521	0.756097560976	41
5426__len__1823	-	24226__len__13762	-	80.9409313202	0.738956067489	0.6	5
5426__len__1823	-	5027__len__17916	+	103.648733139	0.698059508914	0.757575757576	33
81180__len__11954	-	57867__len__8655	+	96.6393527985	0.338430103777	0.6	5
60270__len__7981	-	5368__len__3526	+	19.8084068298	0.4215287524	0.4	5
20156__len__4580	-	111908__len__4193	+	46.509601593	0.646838689083	0.785714285714	14
31537__len__24103	+	3436__len__77444	-	-13.9486145973	0.163004615123	0.4	5
84030__len__10251	-	111908__len__4193	+	48.518371582	0.517812567964	0.714285714286	14
4109__len__7035	-	98315__len__4568	-	25.9258918762	0.668666618891	0.75	28
27282__len__1545	-	19040__len__9913	-	-17.6290092468	0.672027820513	0.857142857143	21
14542__len__12209	+	35101__len__5837	-	-10.1138381958	0.358754423345	0.428571428571	7
31179__len__4082	+	57867__len__8655	+	7.96586990356	0.631335548318	0.8	5
70957__len__15612	+	67727__len__16343	+	9.83469867706	0.335066927662	0.5	8
68930__len__4124	-	18854__len__7410	-	-37.8002853394	0.946367176714	0.8	5
68930__len__4124	-	54424__len__33075	+	-1.63274002075	0.798067695829	0.5	8
68930__len__4124	-	26209__len__9883	+	-6.00424766541	0.925168468514	0.4	5
31688__len__34584	-	4603__len__6850	-	-37.7018260956	0.435783611412	0.666666666667	6
27190__len__6733	-	4141__len__22915	-	-13.1319999695	0.715618042999	0.2	5
27190__len__6733	-	62787__len__7649	-	-32.74477005	0.852382666762	0.6	15
27190__len__6733	-	72174__len__3903	-	14.4614257812	0.57935213219	0.75	8
