scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
NW_009647591.1	+	NW_009646355.1	-	-16.0516068935	0.137588088691	0.818181818182	11
NW_009649955.1	+	NW_009646846.1	+	-27.6728281081	0.0812867009337	0.909090909091	11
NW_009646865.1	+	NW_009649204.1	-	-19.0976409912	0.164733348741	0.777777777778	9
NW_009646622.1	-	NW_009649717.1	+	-5.72771511227	0.326783461775	0.818181818182	11
NW_009646257.1	+	NW_009647398.1	-	-125.367770433	0.198438942713	0.8	5
NW_009650002.1	-	NW_009648759.1	+	-144.115684509	0.140228643104	0.714285714286	7
NW_009650002.1	-	NW_009649453.1	-	32.8136115074	0.150705020393	0.75	8
NW_009650002.1	-	NW_009649230.1	-	-182.478030205	0.149177037228	0.666666666667	6
NW_009659695.1	-	NW_009647632.1	+	60.2000198364	0.1185822308	0.8	10
NW_009646420.1	+	NW_009649568.1	+	164.149525151	0.0749943325882	0.875	8
NW_009648966.1	-	NW_009650190.1	+	100.180621624	0.182176142566	0.833333333333	12
NW_009646755.1	-	NW_009648067.1	+	-381.34980011	0.121629312077	0.76	25
NW_009647738.1	+	NW_009647740.1	-	-6.04877769202	0.311167721837	0.884615384615	26
NW_009649739.1	+	NW_009648534.1	-	-62.9915542603	0.212341861808	0.666666666667	6
NW_009649582.1	-	NW_009647595.1	+	-143.459049486	0.765707066095	0.714285714286	21
NW_009646525.1;NW_009648369.1	-;-	NW_009649458.1	+	-42.2434908487	0.826369764787	0.823529411765	17
NW_009650160.1	-	NW_009660711.1	-	-27.3932762146	0.078423028552	0.857142857143	7
NW_009659391.1	+	NW_009649499.1	+	38.7520141602	0.179076571541	0.875	8
NW_009648857.1	-	NW_009648575.1	+	84.06897825	0.14562497986	0.892857142857	28
NW_009660760.1;NW_009655482.1;NW_009651495.1;NW_009660165.1	+;+;+;+	NW_009648259.1	-	-81.7501411438	0.674167748695	0.571428571429	7
NW_009648043.1	+	NW_009660375.1	+	57.4038845412	0.166258878398	0.869565217391	23
NW_009646506.1	+	NW_009648253.1	-	-231.671926931	0.477865750398	0.655172413793	29
NW_009648874.1	-	NW_009648561.1	+	-41.6971187592	0.145271404012	0.8	10
NW_009648657.1	+	NW_009649566.1	+	25.5727800429	0.499486244242	0.892857142857	28
NW_009648807.1	+	NW_009646881.1	+	-103.830239445	0.947880675055	0.810810810811	37
NW_009646428.1	+	NW_009649038.1;NW_009647006.1	-;-	-20.4633933604	0.147088016841	0.785714285714	14
NW_009648681.1;NW_009646411.1	+;+	NW_009647512.1	-	-230.676345736	0.465923461235	0.647058823529	34
NW_009648784.1	-	NW_009649570.1	-	-360.483672462	0.0999144393722	0.5	6
NW_009650207.1	-	NW_009648350.1	+	23.2700461224	0.792905931942	0.75	8
NW_009646952.1	+	NW_009660184.1	+	-81.891285181	0.512587791717	0.714285714286	7
NW_009649062.1	-	NW_009647418.1	+	-168.810025144	0.442767846624	0.666666666667	30
NW_009646605.1;NW_009653192.1;NW_009655629.1;NW_009646842.1	+;+;+;+	NW_009647236.1	+	-52.7814927474	0.432795892439	0.885714285714	35
NW_009647336.1	-	NW_009648482.1	+	-230.554618835	0.101472561904	0.8	5
NW_009648079.1	+	NW_009649593.1	+	-19.6744299531	0.151918683644	0.866666666667	15
NW_009660842.1	-	NW_009658157.1;NW_009657090.1	+;+	6.24268341064	0.14489704853	0.892857142857	28
NW_009648346.1	-	NW_009649309.1;NW_009653512.1;NW_009649753.1	-;-;-	-12.8796585649	0.786895247011	0.583333333333	12
NW_009648172.1	+	NW_009648459.1	+	-10.840408802	0.0987475867065	0.8	5
NW_009648172.1	+	NW_009649227.1	-	-81.7089519501	0.0976350640121	0.75	8
NW_009650168.1	-	NW_009647830.1	-	129.218946721	0.165009363097	0.777777777778	18
NW_009647756.1	+	NW_009650068.1	-	-20.387529999	0.243430402178	0.846153846154	13
NW_009652966.1	-	NW_009646395.1	+	-324.514431864	0.358747443164	0.545454545455	11
NW_009655271.1;NW_009650842.1;NW_009658111.1	+;+;+	NW_009647419.1	+	-242.61104922	0.365652917449	0.722222222222	36
NW_009660902.1	+	NW_009661103.1	+	15.9947357178	0.429459176106	0.905660377358	53
NW_009647504.1	+	NW_009649239.1	+	-215.029549956	0.391467004117	0.714285714286	7
NW_009646382.1	-	NW_009648439.1	-	154.115980625	0.324118599175	0.666666666667	6
NW_009649341.1	+	NW_009647296.1	-	-448.428681374	0.0987513361327	0.833333333333	6
NW_009649705.1;NW_009647838.1	+;+	NW_009649167.1	+	-19.8863606676	0.146559319527	0.8	10
NW_009660660.1	+	NW_009647826.1	+	110.025695831	0.148061742413	0.857142857143	21
NW_009648150.1	-	NW_009647678.1	+	12.0339907259	0.199556642835	0.769230769231	13
NW_009647437.1	+	NW_009647419.1	-	-23.8452801034	0.155205122503	0.818181818182	11
NW_009648805.1	+	NW_009647398.1	-	-119.557734728	0.324293376675	0.8	5
NW_009648369.1;NW_009646525.1	+;+	NW_009647214.1;NW_009649193.1	-;-	-73.03861643	0.519149605525	0.818181818182	22
NW_009647258.1	-	NW_009649198.1	+	-162.755550385	0.12691540577	0.8	5
NW_009647258.1	-	NW_009650114.1	-	-331.766683578	0.0822894415779	0.833333333333	6
NW_009647258.1	-	NW_009649296.1	-	-297.674826622	0.134366409538	0.888888888889	9
NW_009646898.1	-	NW_009649208.1	-	-160.878094792	0.588264778272	0.724137931034	29
NW_009646639.1;NW_009647845.1	+;+	NW_009646878.1	-	-289.183518887	0.12519340272	0.901639344262	61
NW_009650249.1	-	NW_009649309.1;NW_009653512.1;NW_009649753.1	-;-;-	106.058449008	0.954454566721	0.4	5
NW_009646221.1	+	NW_009650103.1	-	-361.002126478	0.466091434767	0.5	6
NW_009646221.1	+	NW_009648658.1	-	-160.1770854	0.148260480636	0.909090909091	22
NW_009648780.1	+	NW_009649993.1	-	34.3911749125	0.139850074468	0.777777777778	9
NW_009660408.1;NW_009658737.1;NW_009648540.1	+;+;+	NW_009649927.1	-	-235.359251395	0.402353127161	0.5	12
NW_009649850.1	-	NW_009648795.1	-	66.5769138336	0.190410533402	0.6	5
NW_009659472.1	-	NW_009660141.1	+	33.6604003906	0.267684879182	0.857142857143	21
NW_009646408.1	+	NW_009649195.1	-	-274.695395708	0.422010454207	0.470588235294	17
NW_009660513.1	-	NW_009647055.1	+	31.6077466011	0.138694138182	0.9	10
NW_009649296.1	-	NW_009648796.1	-	-460.874207497	0.228688833033	0.8	5
NW_009649296.1	-	NW_009649453.1	-	194.447416306	0.280964095893	0.8	5
NW_009646744.1	+	NW_009654942.1;NW_009650172.1	-;-	-151.535829615	0.412861808267	0.56	25
NW_009661116.1	+	NW_009660993.1;NW_009649325.1	+;+	31.4857592583	0.183936367475	0.903225806452	31
NW_009648470.1	+	NW_009648241.1	+	-19.3979499936	0.127815336175	0.916666666667	24
NW_009648046.1	+	NW_009649606.1	+	-121.017266989	0.116568489816	0.882352941176	17
NW_009647989.1	+	NW_009646445.1	+	-20.9036626741	0.124629978283	0.866666666667	15
NW_009661310.1	+	NW_009648869.1	-	-20.9615507126	0.122121260122	0.882352941176	17
NW_009648050.1	-	NW_009649982.1	-	-111.86430636	0.48955613195	0.666666666667	21
NW_009646752.1	-	NW_009647467.1	+	-16.2775256038	0.184174886245	0.866666666667	15
NW_009654942.1;NW_009650172.1	-;-	NW_009646843.1	+	-21.0702704415	0.0896712704066	0.909090909091	11
NW_009647793.1	-	NW_009648147.1	+	-14.3793447018	0.161961894048	0.882352941176	17
NW_009646355.1	-	NW_009648046.1	+	-12.78820014	0.0638394180552	0.769230769231	13
NW_009647579.1	-	NW_009647050.1	+	48.5281972289	0.130770475431	0.857142857143	7
NW_009649187.1	+	NW_009649180.1	-	-20.6769082136	0.117058440499	0.857142857143	14
NW_009646511.1	+	NW_009648795.1	-	-359.432229996	0.104015055907	0.857142857143	7
NW_009648187.1	-	NW_009650186.1	-	-31.2350463867	0.0782484776484	0.8	5
NW_009648792.1	-	NW_009646860.1	-	-119.482561827	0.716595122634	0.545454545455	11
NW_009646327.1	-	NW_009648871.1	-	-76.9744377136	0.208216300197	0.666666666667	9
NW_009646327.1	-	NW_009647686.1	-	-420.229216099	0.202944841381	0.666666666667	9
NW_009646327.1	-	NW_009649459.1	-	-222.248254538	0.141118961788	0.666666666667	6
NW_009646327.1	-	NW_009649694.1	+	-163.944775581	0.474894749683	0.6	5
NW_009650072.1	+	NW_009649851.1	-	-307.421848565	0.132981635474	0.8	5
NW_009649928.1	+	NW_009647692.1	-	-13.6804834902	0.194941542159	0.869565217391	23
NW_009646935.1	-	NW_009647466.1;NW_009648246.1	+;+	-38.5727932379	0.121572137764	0.6	5
NW_009646935.1	-	NW_009647432.1	+	90.9520594552	0.209963872232	0.6	5
NW_009646935.1	-	NW_009649700.1	-	-335.400270469	0.178997150976	0.666666666667	9
