#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_darlingi	MT	ADAC010724	-	8104	9444	1	8104-9444
Anopheles_darlingi	scaffold_1	ADAC009669	+	47523	61809	12	47523-47527:48152-48242:48428-48637:48777-48900:51310-51546:53155-53250:54291-54876:55007-55183:55828-56192:56309-56401:58828-59005:60717-61809
Anopheles_darlingi	scaffold_1	ADAC009667	-	72631	88080	8	72631-73532:73618-73888:75033-75176:75560-75678:75979-76260:80357-80539:81826-81890:87920-88080
Anopheles_darlingi	scaffold_1	ADAC009690	-	118933	122263	5	118933-118974:120066-120350:120451-120975:121059-121857:121941-122263
Anopheles_darlingi	scaffold_1	ADAC009674	-	135263	143636	7	135263-135993:136686-136794:136881-137045:138513-138685:140742-140892:140992-141199:143569-143636
Anopheles_darlingi	scaffold_1	ADAC009712	+	156294	158168	3	156294-156365:156436-156680:157862-158168
Anopheles_darlingi	scaffold_1	ADAC009750	-	158318	158990	3	158318-158560:158641-158835:158901-158990
Anopheles_darlingi	scaffold_1	ADAC009717	-	159314	160915	4	159314-159515:159589-159647:159720-160073:160145-160915
Anopheles_darlingi	scaffold_1	ADAC009687	+	161361	164976	3	161361-161385:161465-164650:164735-164976
Anopheles_darlingi	scaffold_1	ADAC009704	-	167100	169476	2	167100-167735:167806-169476
Anopheles_darlingi	scaffold_1	ADAC009757	+	170291	170793	2	170291-170332:170419-170793
Anopheles_darlingi	scaffold_1	ADAC009677	-	171839	178883	9	171839-172012:172097-172950:173034-177113:177139-177884:177950-178220:178466-178484:178588-178611:178691-178777:178866-178883
Anopheles_darlingi	scaffold_1	ADAC009762	+	179611	179953	2	179611-179700:179780-179953
Anopheles_darlingi	scaffold_1	ADAC009680	-	180499	186442	5	180499-180634:180727-182883:182959-183197:183289-183423:186425-186442
Anopheles_darlingi	scaffold_1	ADAC009754	+	190465	191000	2	190465-190695:190782-191000
Anopheles_darlingi	scaffold_1	ADAC009723	-	191182	192445	4	191182-191202:191253-191668:191742-192062:192442-192445
Anopheles_darlingi	scaffold_1	ADAC009755	-	193059	193574	2	193059-193293:193357-193574
Anopheles_darlingi	scaffold_1	ADAC009761	-	193591	193980	2	193591-193879:193949-193980
Anopheles_darlingi	scaffold_1	ADAC009752	+	194243	194858	2	194243-194386:194448-194858
Anopheles_darlingi	scaffold_1	ADAC009675	-	233471	241810	4	233471-234375:234490-234767:238064-238111:241623-241810
Anopheles_darlingi	scaffold_1	ADAC009707	-	284782	286971	2	284782-284911:286676-286971
Anopheles_darlingi	scaffold_1	ADAC009738	-	293415	294294	3	293415-294018:294091-294211:294285-294294
Anopheles_darlingi	scaffold_1	ADAC009721	+	294891	296320	3	294891-294977:295221-295336:296224-296320
Anopheles_darlingi	scaffold_1	ADAC009701	+	299592	302108	1	299592-302108
Anopheles_darlingi	scaffold_1	ADAC009716	+	303590	305202	4	303590-303621:303701-304084:304157-304687:304779-305202
Anopheles_darlingi	scaffold_1	ADAC009714	+	305772	307550	3	305772-305831:305903-306362:306760-307550
Anopheles_darlingi	scaffold_1	ADAC009734	-	308722	309717	4	308722-308753:308854-309115:309189-309590:309658-309717
Anopheles_darlingi	scaffold_1	ADAC009746	-	309975	310712	2	309975-310625:310683-310712
Anopheles_darlingi	scaffold_1	ADAC009697	+	310919	313624	3	310919-311003:311131-311315:311378-313624
Anopheles_darlingi	scaffold_1	ADAC009768	+	314132	314362	1	314132-314362
Anopheles_darlingi	scaffold_1	ADAC009681	+	317199	322970	4	317199-317696:321166-321297:321370-321606:321702-322970
Anopheles_darlingi	scaffold_1	ADAC009745	-	326213	326973	2	326213-326527:326593-326973
Anopheles_darlingi	scaffold_1	ADAC009672	-	330168	342331	12	330168-330373:330458-330635:330726-330917:331037-331153:331236-331410:331508-331679:333982-334169:334251-334337:335653-335774:338196-338270:340416-340508:341879-342331
Anopheles_darlingi	scaffold_1	ADAC009689	-	346450	349782	3	346450-346575:346650-346935:349739-349782
Anopheles_darlingi	scaffold_1	ADAC009748	-	351186	351891	4	351186-351269:351324-351374:351446-351706:351778-351891
Anopheles_darlingi	scaffold_1	ADAC009742	+	409462	410247	5	409462-409561:409629-409703:409763-409849:409912-410062:410193-410247
Anopheles_darlingi	scaffold_1	ADAC009753	+	411121	411683	4	411121-411133:411203-411259:411322-411417:411499-411683
Anopheles_darlingi	scaffold_1	ADAC009668	-	412855	427885	10	412855-413055:413125-413815:413894-414465:414553-414948:416840-417292:418335-418483:421916-422030:424105-424254:425763-425924:427727-427885
Anopheles_darlingi	scaffold_1	ADAC009692	+	430732	433825	7	430732-430839:431567-431881:431949-432641:432709-432987:433072-433203:433295-433549:433637-433825
