#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_gambiae	2L	AGAP004677	-	157496	181213	4	157496-157623:157679-158297:159192-159366:180909-181213
Anopheles_gambiae	2L	AGAP004678	+	203866	204956	2	203866-203924:203981-204956
Anopheles_gambiae	2L	AGAP004679	+	208417	210276	5	208417-208581:208639-208824:208897-209394:209473-209816:209877-210276
Anopheles_gambiae	2L	AGAP004680	+	271285	271815	1	271285-271815
Anopheles_gambiae	2L	AGAP004681	-	358640	359145	2	358640-358881:358977-359145
Anopheles_gambiae	2L	AGAP004682	-	433503	461082	2	433503-434254:460185-461082
Anopheles_gambiae	2L	AGAP004683	-	485737	488369	2	485737-486245:486671-488369
Anopheles_gambiae	2L	AGAP004684	+	493039	493543	2	493039-493187:493252-493543
Anopheles_gambiae	2L	AGAP004685	-	493633	497560	9	493633-493935:493996-494641:494735-494928:494989-495406:495468-495873:495937-496801:496874-497093:497150-497286:497357-497560
Anopheles_gambiae	2L	AGAP004686	+	742521	747021	10	742521-742564:742850-742874:743770-743878:743959-744207:744304-744841:744909-745689:745768-746123:746259-746524:746622-746812:746878-747021
Anopheles_gambiae	2L	AGAP004688	-	1018044	1019196	3	1018044-1018091:1018162-1018560:1018621-1019196
Anopheles_gambiae	2L	AGAP004689	+	1052326	1056900	10	1052326-1052410:1052528-1052910:1053358-1053597:1054290-1054482:1054548-1054769:1054878-1055032:1055104-1055176:1055240-1055637:1055743-1055760:1056832-1056900
Anopheles_gambiae	2L	AGAP004690	-	1133189	1133669	2	1133189-1133593:1133661-1133669
Anopheles_gambiae	2L	AGAP004691	-	1272628	1290444	10	1272628-1272924:1273090-1273223:1275336-1275471:1277157-1277369:1288376-1288548:1288626-1288728:1288799-1288871:1288979-1289024:1289055-1289729:1290438-1290444
Anopheles_gambiae	2L	AGAP004692	+	1411761	1441196	5	1411761-1412760:1414264-1414369:1414438-1417987:1418272-1418717:1440965-1441196
Anopheles_gambiae	2L	AGAP004693	-	1527686	1533479	10	1527686-1527766:1527857-1527972:1528079-1528271:1528404-1529224:1529355-1529610:1529673-1529864:1529885-1529899:1529949-1530588:1531054-1531425:1532908-1533479
Anopheles_gambiae	2L	AGAP004694	-	1595176	1602225	6	1595176-1595335:1598471-1598584:1598661-1598737:1598809-1598965:1601453-1601762:1602081-1602225
Anopheles_gambiae	2L	AGAP004695	+	1834222	1835398	4	1834222-1834682:1834813-1834948:1835017-1835193:1835279-1835398
Anopheles_gambiae	2L	AGAP004696	-	1926924	1935682	6	1926924-1927205:1927301-1927448:1929117-1929227:1929293-1929473:1929618-1929731:1935430-1935682
Anopheles_gambiae	2L	AGAP004698	-	1969201	1970850	7	1969201-1969643:1969722-1969791:1969868-1969974:1970093-1970228:1970311-1970435:1970562-1970759:1970835-1970850
Anopheles_gambiae	2L	AGAP004699	+	1974042	1976357	4	1974042-1974298:1974415-1975054:1975180-1975329:1975401-1976357
Anopheles_gambiae	2L	AGAP004700	+	2013727	2014922	5	2013727-2013907:2013981-2014009:2014079-2014344:2014403-2014512:2014582-2014922
Anopheles_gambiae	2L	AGAP004701	+	2074972	2120041	12	2074972-2075068:2075795-2076373:2076859-2077120:2080681-2080723:2080817-2081776:2105673-2105855:2105929-2106087:2106153-2106362:2106431-2106584:2106655-2106825:2117104-2117281:2118934-2120041
Anopheles_gambiae	2L	AGAP004703	+	2248770	2253546	8	2248770-2248813:2248887-2249850:2249920-2250126:2250191-2251454:2251578-2252013:2252166-2252693:2252763-2253270:2253358-2253546
Anopheles_gambiae	2L	AGAP004704	-	2253748	2255415	4	2253748-2253970:2254037-2255104:2255178-2255299:2255383-2255415
