scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB677066	+	KB699175	+	7.26725769043	0.824446883458	0.6	5
KB679836	+	KB697996	+	3.25759506226	0.830424110412	0.75	8
KB679836	+	KB678391	-	-62.0764198303	0.607480049873	0.8	5
KB679836	+	KB698448	+	-72.9893512726	0.495169379219	0.8	5
KB699075	+	KB690747	-	5.72469711304	0.31330304038	0.2	5
KB696905	-	KB687064	+	-2.77662944794	0.889774651309	0.6	5
KB696905	-	KB680400	-	3.1232175827	0.679891375458	0.333333333333	3
KB696905	-	KB688269	-	-26.4558925629	0.693162845798	0.714285714286	7
KB696905	-	KB702424	+	-59.1890497208	0.700819068057	0.769230769231	13
KB696905	-	KB677576	-	-27.863527298	0.713547813949	0.75	8
KB696905	-	KB688911	+	-73.9354915619	0.483025290675	0.8	10
KB696905	-	KB687772	-	-23.1247615814	0.698091865534	0.714285714286	7
KB696905	-	KB686834	+	-82.0591678619	0.193397147505	0.6	5
KB696905	-	KB676189	+	-9.82234668732	0.732821698602	0.666666666667	6
KB696905	-	KB682703	+	-57.5317983627	0.680622615178	0.785714285714	14
KB696905	-	KB698825	+	-63.1841907501	0.685209940125	0.8	15
KB696905	-	KB681297	-	10.5850534439	0.749806413241	0.75	4
KB696905	-	KB702768	-	-75.0871505737	0.530566708285	0.666666666667	6
KB696905	-	KB686395	-	-6.07328510284	0.747099076571	0.666666666667	6
KB696905	-	KB674933	+	-24.3196907043	0.733149079259	0.666666666667	6
KB696905	-	KB684505	+	7.11607551575	0.737592634734	0.333333333333	3
KB696905	-	KB703955	+	-19.8142776489	0.741356002062	0.666666666667	6
KB696905	-	KB675611	-	-38.804772377	0.778839691839	0.714285714286	7
KB696905	-	KB702877	+	-86.9466991425	0.203333553762	0.6	5
KB696905	-	KB692912	+	-22.8789262772	0.733145396849	0.666666666667	6
KB696905	-	KB700370	+	-83.3849077225	0.352204795453	0.888888888889	9
KB696905	-	KB675138	+	-49.6833600998	0.689992630105	0.769230769231	13
KB696905	-	KB678279	+	-45.1845932007	0.617577041565	0.625	8
KB696905	-	KB688916	+	-17.5365152359	0.746382434051	0.666666666667	6
KB696905	-	KB684587	-	-4.17982959747	0.745883914691	0.714285714286	7
KB696905	-	KB683347	+	8.19210720062	0.760181625195	0.333333333333	3
KB696905	-	KB677598	-	-64.4876899719	0.651376843944	0.727272727273	11
KB696905	-	KB675847	+	-22.1136751175	0.736904285806	0.666666666667	6
KB696905	-	KB702348	+	3.65303421021	0.693946337963	0.333333333333	3
KB696905	-	KB693059	+	-39.6436605453	0.670740698239	0.75	12
KB696905	-	KB697136	-	-74.2848072052	0.553877928141	0.75	4
KB696905	-	KB690406	-	-31.9008436203	0.686838650611	0.714285714286	7
KB696905	-	KB677307	+	3.6544008255	0.693954160692	0.333333333333	3
KB696905	-	KB698096	-	-86.5663471222	0.328677904427	0.833333333333	12
KB696905	-	KB680576	-	-68.8039007187	0.597658920416	0.733333333333	15
KB696905	-	KB686558	-	-14.4224176407	0.996627522268	0.666666666667	3
KB696905	-	KB674118	-	-50.7017145157	0.482150357557	0.75	8
KB696905	-	KB676973	+	-80.881734848	0.28164932636	0.75	8
KB696905	-	KB688351	-	-2.18374633789	0.765084211329	0.666666666667	6
KB696905	-	KB675423	+	-15.005853653	0.698128008189	0.666666666667	6
KB696905	-	KB701462	+	-7.15234661102	0.850378320656	0.8	5
KB696905	-	KB684616	+	5.127576828	0.702649727432	0.333333333333	3
KB696905	-	KB675410	+	-8.60996341705	0.806160607888	0.8	5
KB696905	-	KB699660	+	-17.5453166962	0.74636172663	0.666666666667	6
KB696905	-	KB698011	+	-82.8061618805	0.232202498194	0.75	8
KB696905	-	KB697629	-	-1.69536590576	0.794128718037	0.8	5
KB696905	-	KB674231	+	-70.4934434891	0.56756292431	0.785714285714	14
KB696905	-	KB673884	-	-26.4363231659	0.693189181453	0.714285714286	7
KB696905	-	KB699642	-	-7.97060775757	0.745146789098	0.666666666667	6
KB696905	-	KB686654	+	-12.8501882553	0.912598276948	0.666666666667	3
KB696905	-	KB679496	-	-78.7887191772	0.363462296037	0.8	5
KB696905	-	KB702014	-	-59.2306346893	0.620038583072	0.75	12
KB696905	-	KB674402	-	-27.5917692184	0.691682559232	0.714285714286	7
KB696905	-	KB701266	-	-80.8184585571	0.350263584532	0.8	10
KB696905	-	KB683274	+	-52.1046104431	0.733026095775	0.75	12
KB696905	-	KB701549	-	0.295630455017	0.665234015957	0.333333333333	3
KB696905	-	KB700912	-	-47.9814472198	0.851169447177	0.5	6
KB696905	-	KB680026	+	-56.9381885529	0.845097633942	0.666666666667	12
KB696905	-	KB687774	+	-88.353058815	0.238684552864	0.6	5
KB696905	-	KB679566	+	-80.3997097015	0.324861981067	0.9	10
KB696905	-	KB698463	-	3.14758682251	0.680025668642	0.333333333333	3
KB696905	-	KB679902	+	-9.63876152039	0.940205151976	0.333333333333	3
KB696905	-	KB703179	+	-27.3221073151	0.699639726906	0.666666666667	6
KB696905	-	KB677056	+	-61.130651474	0.743959094265	0.875	8
KB696905	-	KB696803	+	-2.73840332031	0.889995040053	0.6	5
KB696905	-	KB687444	+	-1.04382419586	0.548372222721	0.666666666667	3
KB696905	-	KB673945	+	-37.0362739563	0.679779532915	0.7	10
KB696905	-	KB703208	+	-50.1903476715	0.752243383966	0.666666666667	9
KB696905	-	KB687960	+	-37.6358423233	0.695902495446	0.6	10
KB696905	-	KB696907	+	-75.446395874	0.739887673064	0.6	5
KB696905	-	KB701684	+	-60.6316003799	0.542231723725	0.8	10
KB696905	-	KB703810	-	-68.3667650223	0.679728245857	0.8125	16
KB696905	-	KB697318	+	-66.2482786179	0.478723646745	0.75	8
KB696905	-	KB702602	+	-77.5302209854	0.497267935117	0.769230769231	13
KB696905	-	KB678373	-	-36.5717134476	0.716556163779	0.666666666667	9
KB696905	-	KB687916	+	-73.2400789261	0.48538673345	0.846153846154	13
KB696905	-	KB676998	+	-43.0920763016	0.698815541693	0.727272727273	11
KB696905	-	KB686425	+	-60.0119800568	0.694878236714	0.769230769231	13
KB696905	-	KB691233	+	-31.9692316055	0.713540023596	0.75	8
KB696905	-	KB700392	+	-60.5670070648	0.985170329718	0.75	4
KB678192	-	KB695516	+	45.5840759277	0.982146110862	0.625	8
KB676040	-	KB697008	+	27.2200889587	0.617942849381	0.714285714286	14
KB695361	+	KB695069	-	-5.86128234863	0.98404894934	0.764705882353	17
KB678895	+	KB684916	-	-33.1946182251	0.611042980463	0.931407942238	277
KB678895	+	KB683731	+	8.39540863037	0.943655568765	0.81308411215	107
KB678895	+	KB700767	-	-6.00936126709	0.693472159466	0.864864864865	74
KB679380	-	KB702424	+	-71.464969635	0.674622197185	0.714285714286	7
KB679380	-	KB677576	-	-38.8491039276	0.393862751027	0.666666666667	3
KB679380	-	KB688911	+	-82.7978992462	0.449851859215	0.666666666667	3
KB679380	-	KB682703	+	-69.5262947083	0.672151348182	0.714285714286	7
KB679380	-	KB698825	+	-76.7299356461	0.670818628702	0.714285714286	7
KB679380	-	KB674933	+	-32.4080791473	0.396939867889	0.666666666667	3
KB679380	-	KB703955	+	-27.9890766144	0.39974325921	0.666666666667	3
KB679380	-	KB686983	+	-34.2249755859	0.604615233713	0.5	6
KB679380	-	KB675138	+	-63.786819458	0.67704242137	0.714285714286	7
KB679380	-	KB688916	+	-31.6432495117	0.518529759581	0.666666666667	9
