scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
KB673579	-	KB672928	+	-2588.64153838	0.667574522112	0.285714285714	7
KB672713	-	KB673535;KB672965	+;+	-5628.92120717	0.00456955056618	0.5	6
KB672838	-	KB673055	+	-6890.96042728	0.764425947168	0.4	5
KB672838	-	KB673303;KB673119;KB673077;KB672733;KB673587;KB673430;KB672702	+;+;+;+;+;+;+	-6781.67270398	0.420870814628	0.714285714286	7
KB673012;KB672997	+;+	KB672819	+	-1074.61791039	0.250920497279	0.6	5
KB673106	-	KB673679	+	-3155.97879887	0.408969634341	0.411764705882	17
KB673106	-	KB672988	-	-613.553315163	0.411729298655	0.583333333333	12
KB673106	-	KB672906	+	-5051.92894554	0.364148702794	0.4	5
KB672984;KB672827	+;+	KB672492	+	-1098.71082997	0.746434964475	0.333333333333	6
KB672802	+	KB672882	-	-5952.40552974	0.485316688177	0.2	5
KB672802	+	KB672976	-	418.902091481	0.409520778496	0.333333333333	9
KB673026	+	KB673679	-	-469.466582775	0.637544340698	0.6	10
KB673026	+	KB672893	-	-4313.2528677	0.378140267804	0.6	5
KB673026	+	KB672830	-	157.055837631	0.752125319747	0.166666666667	6
KB673177	+	KB673130	-	-4696.09494305	0.641524531045	0.6875	16
KB672876	-	KB672944	+	-6527.29550457	0.0582087150913	0.428571428571	7
KB672876	-	KB672954	+	-7597.86100197	0.0636402933988	0.28	25
KB672876	-	KB673016	-	-6879.4542141	0.554665722733	0.472222222222	72
KB672861;KB672956	-;-	KB673061	-	-5723.06160116	0.411381648098	0.5	6
KB673395	+	KB672851	+	5293.96568871	0.955378924006	0.375	8
KB672702;KB673430;KB673587;KB672733;KB673077;KB673119;KB673303	-;-;-;-;-;-;-	KB672821;KB672939;KB673468;KB672926;KB673609;KB672711;KB673294;KB673308;KB673041;KB672837	-;-;-;-;-;-;-;-;-;-	-1384.16706777	0.601284381827	0.652173913043	23
KB672702;KB673430;KB673587;KB672733;KB673077;KB673119;KB673303	-;-;-;-;-;-;-	KB672922	+	2121.60916471	0.582467411214	0.444444444444	9
KB672871	+	KB673075	+	-2317.61352634	0.725128768332	0.125	8
KB672988	+	KB673513	-	-2101.68974686	0.355902769205	0.375	8
KB672988	+	KB673435	-	-3869.16706777	0.67924323042	0.2	5
KB673679	+	KB673000	+	-5933.16753054	0.697746719013	0.636363636364	11
KB673679	+	KB672851	+	-2883.29947662	0.519000720513	0.4	10
KB672758	-	KB672851	+	-6338.52180099	0.471870965131	0.571428571429	35
KB673379	-	KB672830	+	-1214.54708529	0.392599076169	0.6	5
KB672932	+	KB672818	+	-7825.03920603	0.210935602886	0.666666666667	6
KB672865	+	KB673479	-	-8186.38772488	0.00581050928698	0.461538461538	13
KB673284	+	KB673723	+	-7757.74032879	0.426414055965	0.6	5
KB672951	+	KB672816	+	2722.82259369	0.674785037523	0.769230769231	13
KB672818	+	KB673146	-	-5576.88782704	0.740197476969	0.375	8
KB672818	+	KB673165	+	988.94912529	0.157468265764	0.555555555556	9
KB672871	-	KB672758	-	-4290.72978115	0.250488687909	0.31914893617	47
KB673424	+	KB672884;KB673143;KB672794;KB672632;KB673023	-;-;-;-;-	856.05450058	0.999490935843	0.4	5
KB673424	+	KB673075	+	-3768.33995509	0.564149634011	0.545454545455	11
