#species	ctg/scaff	gene	orientation_gene	start_gene	end_gene	#exons	exons_position
Anopheles_dirus	KB673312	ADIR000001	+	16246	18171	3	16246-16697:16758-17077:17798-18171
Anopheles_dirus	KB673312	ADIR000002	-	20516	26194	2	20516-21344:26172-26194
Anopheles_dirus	KB673312	ADIR000003	-	30147	32195	3	30147-30498:30556-32015:32088-32195
Anopheles_dirus	KB673312	ADIR000004	+	52740	61009	14	52740-53054:54350-54562:54646-55047:55112-55312:55393-55503:55571-55674:55868-56262:56630-56763:57027-57120:59688-59854:59985-60318:60399-60654:60724-60876:60982-61009
Anopheles_dirus	KB673312	ADIR000005	-	63766	82538	13	63766-63930:64021-64182:64254-64820:66119-66297:66362-66480:69367-69483:72600-72843:72966-73013:75974-76109:76209-76467:76544-76647:79906-80013:81918-82538
Anopheles_dirus	KB673312	ADIR000006	-	89310	100782	14	89310-89375:91355-91465:91545-91709:91880-91993:92256-92477:93868-96678:97466-97536:97609-97696:98352-98450:99060-99217:99441-99799:99887-100039:100113-100558:100642-100782
Anopheles_dirus	KB673312	ADIR000007	+	129809	130229	2	129809-129845:129940-130229
Anopheles_dirus	KB673312	ADIR000008	-	132282	136828	4	132282-132736:132811-133184:133803-135408:136747-136828
Anopheles_dirus	KB673312	ADIR000009	+	189633	193841	7	189633-191626:191689-191929:192001-192440:192565-192700:192775-193082:193151-193242:193303-193841
Anopheles_dirus	KB673312	ADIR000010	+	195711	196359	3	195711-195929:195991-196150:196292-196359
Anopheles_dirus	KB673312	ADIR000011	+	253838	266363	7	253838-253976:257708-257793:260456-260545:264097-264183:264325-264381:266123-266206:266307-266363
Anopheles_dirus	KB673312	ADIR000012	+	279080	279525	3	279080-279136:279236-279307:279382-279525
Anopheles_dirus	KB673312	ADIR000013	+	288999	297589	5	288999-289903:290535-291878:294456-294528:294671-295458:296449-297589
Anopheles_dirus	KB673312	ADIR000014	-	289448	291065	3	289448-289936:290646-290846:290853-291065
