scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
6203__len__92932;15704__len__16301;21092__len__5588	-;-;-	5205__len__32543;2218__len__52973	+;+	-7992.55646563	0.000976033635094	0.470588235294	17
6203__len__92932;15704__len__16301;21092__len__5588	-;-;-	10838__len__55552;1002__len__44458;3047__len__32461	-;-;-	-35580.7698336	0.000621811547452	0.4	5
19602__len__43121;13908__len__21344;1833__len__12894	-;-;-	19398__len__11063;21851__len__37961;24586__len__5271;17210__len__23059	-;-;-;-	12162.3828387	0.000558627372133	0.333333333333	6
633__len__48583;8358__len__22527;5409__len__12335	-;-;-	4574__len__14743;5445__len__118963	+;+	-52471.2727419	0.000452283734097	0.5	22
3775__len__33808;7678__len__81563	-;-	6582__len__80843;8493__len__19068	+;+	-65666.9340578	0.00105983543321	0.142857142857	7
2218__len__52973;5205__len__32543	-;-	3047__len__32461;1002__len__44458;10838__len__55552	+;+;+	-47019.9118445	0.297726941984	0.5	8
15804__len__24577;13577__len__61421;7087__len__10767	+;+;+	4574__len__14743;5445__len__118963	+;+	5850.94669735	0.799276842774	0.2	5
1576__len__11872;7543__len__18453;5394__len__44887;17257__len__39996	-;-;-;-	8493__len__19068;6582__len__80843	-;-	-1682.93666708	0.401246746917	0.789473684211	133
5410__len__81657;16292__len__30987;14594__len__26999	-;-;-	22985__len__34165;1380__len__22465;24970__len__7480;4690__len__24351	-;-;-;-	-2748.02410996	0.313477526477	0.692307692308	104
5377__len__53424;10128__len__26140	-;-	2487__len__34149;8177__len__2996;1617__len__47245	-;-;-	-51937.3048124	0.000101545497748	0.571428571429	7
3047__len__32461;1002__len__44458;10838__len__55552	+;+;+	4574__len__14743;5445__len__118963	+;+	-40766.4896299	0.909283690026	0.170212765957	47
8700__len__18302;8059__len__19514;9029__len__49738	-;-;-	1576__len__11872;7543__len__18453;5394__len__44887;17257__len__39996	-;-;-;-	-22627.1715698	0.00192757038253	0.444444444444	9
17210__len__23059;24586__len__5271;21851__len__37961;19398__len__11063	+;+;+;+	32404__len__9589;1887__len__88257	+;+	-66017.704042	0.000601910024232	0.571428571429	7
38605__len__11520;33609__len__12358;25641__len__6989;6400__len__23583;2416__len__29923	+;+;+;+;+	4574__len__14743;5445__len__118963	+;+	-22154.7212855	0.856244316518	0.0454545454545	22
5445__len__118963;4574__len__14743	-;-	15804__len__24577;13577__len__61421;7087__len__10767	+;+;+	-38062.6902367	0.00082177770672	0.421052631579	19
5445__len__118963;4574__len__14743	-;-	2487__len__34149;8177__len__2996;1617__len__47245	-;-;-	-66589.6507474	0.000235342599249	0.4	5
22182__len__21394;15002__len__4998;23122__len__17889;7555__len__26812;25647__len__16123	+;+;+;+;+	1975__len__21272;24623__len__74934	+;+	-3670.292997	0.00243380325021	0.3	10
