scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
352__len__20832	-	84147__len__36414	-	40.5365328789	0.982692901865	0.666666666667	15
1662__len__40751	-	84241__len__16245	-	15.6369624138	0.803261424185	0.6	5
1662__len__40751	-	36888__len__4832	+	52.8310050964	0.909058081828	0.6	5
166009__len__7990	+	64741__len__35434	+	-3.93187332153	0.968781499731	0.818181818182	11
55251__len__10360	+	1157__len__30170	+	-43.4120874405	0.680458417405	0.6	5
55251__len__10360	+	4662__len__14982	+	-0.53026008606	0.900607927667	0.666666666667	12
18011__len__2208	+	7157__len__5738	+	10.8918991089	0.198977428125	0.4	5
2449__len__9874	+	44494__len__20060	+	41.8747224808	0.456768817834	0.744186046512	43
2449__len__9874	+	96819__len__9491	-	-85.8171730042	0.549342538057	0.780487804878	41
117438__len__2609	-	191867__len__2721	-	-4.58374786377	0.798065120964	0.8	10
55562__len__3154	+	139876__len__4652	+	-1.4822883606	0.600578268759	0.666666666667	6
46637__len__11261	-	36793__len__16192	-	-17.2400493622	0.905052522285	0.8	15
23115__len__40444	+	63967__len__17662	-	-70.2501225471	0.562108297927	0.833333333333	18
34140__len__7193	+	4092__len__39149	+	25.8107833862	0.558451473508	0.5	8
60313__len__10552	+	114285__len__9238	+	29.6329135895	0.878207967335	0.5	8
38592__len__16352	-	211__len__35225	-	-15.6969890594	0.956542981002	0.8	5
151074__len__7311	-	96412__len__16568	-	17.8401870728	0.755133477344	0.5	6
94590__len__18045	+	63967__len__17662	-	-42.9117431641	0.377506006244	0.8	20
2236__len__42059	-	1326__len__69376	-	-20.1429252625	0.855775718792	0.666666666667	9
70673__len__2254	+	1488__len__30045	-	-41.9947967529	0.161853899817	0.6	5
3300__len__29189	+	123579__len__6128	+	27.1271686554	0.476221167925	0.714285714286	7
95681__len__8473	+	1450__len__49433	+	33.5630536079	0.639322985192	0.769230769231	13
113959__len__9059	-	80322__len__4911	-	-4.49266242981	0.941059471703	0.714285714286	14
115302__len__6322	-	114489__len__10123	+	-41.9970970154	0.161853861366	0.6	5
66333__len__22242	+	111160__len__25393	+	132.600090027	0.909973370417	0.857142857143	7
66333__len__22242	+	3234__len__35539	-	84.078127861	0.566016164323	0.571428571429	7
31504__len__21753	+	154527__len__4788	-	-53.5615758896	0.405169802446	0.4	5
136789__len__5437	+	84962__len__4495	+	-81.9219169617	0.642075437406	0.6	5
3417__len__23935	+	2017__len__22814	+	32.7438564301	0.777037612562	0.52380952381	21
1286__len__24377	+	122129__len__3992	+	34.5885906219	0.229601551379	0.6	5
92353__len__15689	+	86635__len__9818	-	-85.2188568115	0.523460846633	0.777777777778	9
191866__len__5659	-	61565__len__11809	-	-21.9341487885	0.75900481894	0.714285714286	7
133633__len__11065	-	122129__len__3992	+	68.7161216736	0.722386042519	0.619047619048	21
186506__len__1897	-	174080__len__7898	+	-92.3794250488	0.941998732156	0.625	8
186506__len__1897	-	39587__len__39365	-	-9.31728458405	0.914271256589	0.6	5
68201__len__13996	+	24214__len__14020	-	-47.6610956192	0.889376067879	0.777777777778	9
49546__len__8920	-	57351__len__18265	-	26.2634677887	0.670563152956	0.689655172414	29
38462__len__3081	+	8405__len__11405	+	-5.68055915833	0.474425251548	0.571428571429	7
2129__len__4032	-	1351__len__59665	+	77.7319498062	0.327418539733	0.5	6
2129__len__4032	-	114489__len__10123	+	80.3476257324	0.185500043096	0.6	5
2498__len__46273	+	1356__len__22491	-	-27.4029231071	0.336476085771	0.666666666667	6
2498__len__46273	+	5844__len__10967	+	18.3288283348	0.811531611083	0.666666666667	9
2498__len__46273	+	80031__len__6440	+	24.726805687	0.427184452438	0.666666666667	9
42409__len__6221	-	3363__len__24225	-	-110.089037895	0.315240312478	0.666666666667	9
92162__len__17881	+	5549__len__17270	-	-42.5593528748	0.529248630304	0.769230769231	13
31044__len__24223	+	4138__len__12507	-	62.3499746323	0.1994204918	0.4	5
73595__len__952	+	112869__len__3644	+	-2.55477142334	0.462778410154	0.8	10
63333__len__32544	+	45082__len__22487	+	2.55578231812	0.848560920014	0.571428571429	7
98154__len__4400	+	116136__len__9538	+	33.6293849945	0.725473297944	0.769230769231	13
42135__len__3431	+	8134__len__4615	+	-10.9659194946	0.916140107397	0.722222222222	18
27517__len__10390	-	184212__len__10926	-	65.5835170746	0.614999421402	0.5	8
11802__len__9750	+	92760__len__14912	+	93.3375701904	0.201906204551	0.6	5
38851__len__10113	+	118156__len__35799	+	-12.5185174942	0.862672397224	0.666666666667	15
83491__len__7039	-	17__len__42239	-	21.2044992447	0.157289250862	0.5	10
83491__len__7039	-	9__len__17630	-	22.2608032227	0.12732215872	0.5	8
83491__len__7039	-	93962__len__11382	-	14.3527374268	0.763406259548	0.692307692308	26
14504__len__4586	-	2441__len__21483	-	-5.99922561646	0.428514468119	0.823529411765	17
3803__len__15041	-	1416__len__16360	-	30.0690898895	0.898931746346	0.785714285714	14
924__len__22647	+	122275__len__2663	-	-48.5256557465	0.482008037456	0.6	5
181269__len__12402	-	121863__len__8187	-	-3.79829216003	0.741860235945	0.75	12
181689__len__3106	-	85787__len__924	-	-16.8558807373	0.644247823834	0.5	6
93418__len__9316	-	84349__len__40952	-	28.2563581467	0.761969615513	0.625	8
2759__len__44349	-	642__len__47364	-	-7.32496738434	0.83855689341	0.666666666667	6
95103__len__10506	-	98033__len__7096	-	29.3896083832	0.832827379136	0.642857142857	14
2717__len__4963	-	37540__len__17100	-	46.2243881226	0.595420532185	0.625	8
