scf1/ctg1	o1	scf2/ctg2	o2	gap	link_variation_score	link_dispersity_score	number_of_links
AXCN01002837	+	KI421853	+	118.974113464	0.508587407261	0.75	8
AXCN01002570	-	KI421593	+	25.1017925441	0.416978429981	0.842105263158	19
KI421667	+	AXCN01002654	-	-113.965068579	0.239779079843	0.714285714286	42
KI421667	+	KI421755	+	-96.1236418486	0.259041333925	0.625	16
AXCN01002709	-	KI421678	-	-86.0873744488	0.237757730755	0.736842105263	19
AXCN01002709	-	KI421628	-	113.297646165	0.609228337961	0.5	8
AXCN01002709	-	AXCN01002323	-	66.0919232368	0.434243017958	0.6	10
AXCN01002129	-	AXCN01002490	-	-102.34875536	0.269845103883	0.75	8
KI421662	-	KI421553	+	-25.6327451766	0.497610652552	0.796875	64
KI421662	-	KI421600	-	-71.9105871618	0.216008624942	0.714285714286	14
KI421662	-	AXCN01001997	-	-52.2260138392	0.420094260934	0.818181818182	11
KI421755	-	AXCN01002653	-	-63.4800541401	0.333380154258	0.72	25
KI421755	-	KI421566	-	45.0412600487	0.64689895954	0.620689655172	29
KI421755	-	KI421630	+	62.0989766717	0.402670748428	0.68	25
KI421755	-	KI421580	-	78.6142886579	0.481979395603	0.647058823529	17
AXCN01001997	+	KI421605	+	-32.3231833875	0.408604000969	0.769230769231	13
AXCN01001997	+	KI421631	-	-52.326900661	0.610483081328	0.75	12
KI421704	+	KI421850	-	-26.051179409	0.21289861075	0.888888888889	18
AXCN01002866	-	AXCN01002794	+	-100.346969604	0.168184511951	0.888888888889	27
KI421811	+	AXCN01002789	-	118.969964981	0.268175132871	0.75	8
KI421628	+	KI421664	-	-136.440021008	0.866817165455	0.75	12
KI421628	+	KI421678	+	-146.547919959	0.8976808126	0.727272727273	11
KI421628	+	KI421720	-	-75.4763495028	0.194000600664	0.727272727273	11
KI421628	+	KI421587	+	-117.433327645	0.878601606345	0.75	12
AXCN01002770	+	AXCN01002788	+	81.0819015503	0.907755404551	0.8	25
KI421646	-	KI421547	-	33.571709305	0.327046540296	0.769230769231	13
AXCN01002273	-	KI421755	-	12.5114176273	0.285843274671	0.833333333333	12
KI421648	-	KI421765	+	-24.4475728273	0.121414922874	0.333333333333	6
KI421670	+	KI421819	+	118.973888099	0.32092510232	0.428571428571	7
KI421628	-	KI421822	-	77.593188405	0.319998009926	0.8125	16
AXCN01002814	-	AXCN01002839	+	107.457458496	0.34626396019	0.666666666667	18
KI421605	-	KI421553	+	-0.825064778328	0.504679590711	0.842105263158	57
KI421605	-	KI421600	-	-54.5769927204	0.214432786042	0.75	16
KI421688	+	AXCN01002773	-	118.96004343	0.339133685647	0.833333333333	6
KI421550	+	KI421804	+	6.23217427731	0.825542978386	0.4	10
AXCN01002598	+	AXCN01002359	-	-70.6582527161	0.258645799521	0.85	20
AXCN01002359	+	AXCN01002597	-	-96.6706581116	0.213715258297	0.842105263158	19
AXCN01002359	+	AXCN01002598	+	-75.0770225525	0.210760607831	0.833333333333	18
AXCN01002359	+	AXCN01002597	+	-73.4869346619	0.249404738035	0.85	20
KI421799	-	KI421814	+	2.52413654327	0.245663186509	0.6	5
KI421799	-	AXCN01002272	+	-56.1569104195	0.23870718798	0.7	10
KI421678	-	AXCN01002323	-	-136.845230699	0.127861550937	0.75	8
KI421678	-	KI421688	+	-106.957640231	0.124150153007	0.823529411765	17
